Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFP,2001,A5-11,RCOT5-FALP,,150,100,4
3,02KXU,2001,J5-17,VO6X0.5(B)-FALP,,470,100,4
3,01PFH,2026,A2-06,RCOT10-FALP,,70,100,2
3,01PFH,2026,A2-37,RCOT10-FALP,,240,100,2
3,01PFP,2026,A6-07,RCOT5-FALP,,70,100,2
3,02KXW,2026,K5-30,VO10X0.5(B)-FALP,,135,100,2
3,02KXX,2026,L1-06,VO12X0.5(B)-FALP,WITH SLIT,335,100,2
3,02KXX,2026,L2-04,VO12X0.5(B)-FALP,WITH SLIT,480,100,2
3,02KXX,2026,L3-21,VO12X0.5(B)-FALP,,135,100,2
3,01PFP,2102,A5-13,RCOT5-FALP,,160,100,2
3,01PFQ,2102,F1-04,RCOT7-FALP,,60,100,2
3,01PFQ,2102,E1-01,RCOT7-FALP,,100,100,2
3,02KXX,2102,L3-26,VO12X0.5(B)-FALP,,180,100,2
3,02KXX,2102,L3-02,VO12X0.5(B)-FALP,,520,100,2
3,02KXV,2102,K1-18,VO8X0.5(B)-FALP,,205,100,2
3,17539,2102,O2-01,VS50,,30,100,2
3,17539,2102,O2-32,VS50,,300,100,2
3,01PFH,2104,A1-03,RCOT10-FALP,,280,100,3
3,01PFI,2104,B6-24,RCOT13-FALP,,275,100,3
3,01PFP,2104,A6-02,RCOT5-FALP,,45,100,3
3,01PFP,2104,A6-03,RCOT5-FALP,,50,100,2
3,01PFP,2104,A5-01,RCOT5-FALP,,100,100,4
3,01PFP,2104,A5-03,RCOT5-FALP,,110,100,2
3,01PFP,2104,A5-06,RCOT5-FALP,,125,100,3
3,01PFP,2104,A5-19,RCOT5-FALP,,190,100,2
3,01PFQ,2104,F1-11,RCOT7-FALP,,95,100,3
3,01PFQ,2104,E1-09,RCOT7-FALP,,140,100,3
3,02KXW,2104,K5-22,VO10X0.5(B)-FALP,,90,100,3
3,02KXW,2104,K5-23,VO10X0.5(B)-FALP,,95,100,2
3,02KXW,2104,K5-24,VO10X0.5(B)-FALP,,100,100,2
3,02KXW,2104,K6-04,VO10X0.5(B)-FALP,,160,100,2
3,02KXW,2104,K6-05,VO10X0.5(B)-FALP,,165,100,2
3,02KXX,2104,L3-15,VO12X0.5(B)-FALP,,105,100,2
3,02KXX,2104,L3-31,VO12X0.5(B)-FALP,,240,100,3
3,02KXU,2104,J5-25,VO6X0.5(B)-FALP,,115,100,2
3,02KXU,2104,J5-26,VO6X0.5(B)-FALP,,120,100,3
3,02KXU,2104,J5-32,VO6X0.5(B)-FALP,,150,100,2
3,02KXU,2104,J5-42,VO6X0.5(B)-FALP,,195,100,2
3,02KXU,2104,J5-44,VO6X0.5(B)-FALP,,210,100,2
3,02KXU,2104,J4-06,VO6X0.5(B)-FALP,,255,100,2
3,02KXU,2104,J4-09,VO6X0.5(B)-FALP,,275,100,3
3,02KXU,2104,J4-12,VO6X0.5(B)-FALP,,290,100,2
