Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
1,08146,3006,F5-08,HCOT10(GR),,45,100,2
1,23270,3006,F4-12,HCOT5(GR),,155,100,2
3,00343,3006,D4-06,NCOT10,,55,100,2
1,00343,3006,D4-07,NCOT10,,335,100,2
1,00343,3006,D4-08,NCOT10,,350,100,2
1,01LUR,3006,I2-01,NCOT10-FALP,,55,100,2
3,01LUR,3006,I2-19,NCOT10-FALP,,295,100,2
3,19015,3006,D4-05,NCOT5,,400,100,2
1,01LUT,3006,H3-38,NCOT5-FALP,,385,100,2
3,01PFQ,3006,E1-05,RCOT7-FALP,,120,100,2
3,01PFQ,3006,E1-23,RCOT7-FALP,,210,100,2
3,01PFQ,3006,F2-04,RCOT7-FALP,,615,100,2
1,01PFQ,3006,F3-07,RCOT7-FALP,,655,100,2
3,08146,3018,F5-13,HCOT10(GR),,290,100,2
3,00354,3018,F5-21,HCOT7(GR),,165,100,2
3,01PFH,3018,A2-35,RCOT10-FALP,,230,100,11
3,01PFQ,3018,E1-17,RCOT7-FALP,,180,100,6
3,01PFP,3020,A6-07,RCOT5-FALP,,70,100,2
3,01PFP,3020,A5-01,RCOT5-FALP,,100,100,2
3,01PFP,3020,A5-08,RCOT5-FALP,,135,100,2
3,01PFP,3020,A5-24,RCOT5-FALP,,215,100,2
3,01PFP,3020,A5-28,RCOT5-FALP,,235,100,2
3,01PFP,3020,A5-39,RCOT5-FALP,,290,100,2
1,01PFP,3020,A4-08,RCOT5-FALP,,335,100,2
1,01PFP,3020,A4-17,RCOT5-FALP,,380,100,2
3,01PFP,3020,A4-19,RCOT5-FALP,,390,100,2
3,01PFP,3020,A4-29,RCOT5-FALP,,440,100,2
3,01PFQ,3020,F2-16,RCOT7-FALP,,645,100,2
3,01PFQ,3020,F3-06,RCOT7-FALP,,845,100,2
1,01PFH,3021,A1-05,RCOT10-FALP,,300,100,2
3,01PFP,3031,A6-12,RCOT5-FALP,,95,100,4
3,01PFP,3031,A5-15,RCOT5-FALP,,170,100,2
3,01PFP,3031,A5-30,RCOT5-FALP,,245,100,4
3,01PFP,3031,A6-21,RCOT5-FALP,,650,100,2
3,01PFP,3032,A5-17,RCOT5-FALP,,180,100,3
3,01PFQ,3032,E1-02,RCOT7-FALP,,105,100,4
3,01PFH,3107,A2-03,RCOT10-FALP,,50,100,3
3,01PFH,3107,A2-06,RCOT10-FALP,,70,100,2
3,01PFH,3107,A2-09,RCOT10-FALP,,85,100,2
1,01PFH,3107,A2-10,RCOT10-FALP,,90,100,2
3,01PFH,3107,A2-12,RCOT10-FALP,,100,100,2
3,01PFH,3107,A2-13,RCOT10-FALP,,105,100,2
3,01PFH,3107,A2-14,RCOT10-FALP,,110,100,2
