Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,23270,1004,F4-23,HCOT5(GR),,285,100,2
3,00354,1004,F5-20,HCOT7(GR),,85,100,2
3,07778,1004,E3-17,POX10X0.4(GR),WITH SLIT,205,100,2
3,26189,1004,E3-25,POX12X0.4(GR),WITH SLIT,195,100,2
3,07780,1004,E4-13,POX14X0.4(GR),WITH SLIT,125,100,3
1,07780,1004,E4-14,POX14X0.4(GR),WITH SLIT,300,100,2
1,07784,1004,E4-15,POX17X0.9(GR),WITH SLIT,65,100,2
3,07773,1004,E3-37,POX6X0.35(GR),WITH SLIT,210,100,2
3,07773,1004,E3-38,POX6X0.35(GR),WITH SLIT,395,100,2
3,07773,1004,E3-34,POX6X0.35(GR),,115,100,2
3,07773,1004,E3-35,POX6X0.35(GR),,175,100,2
3,07773,1004,E3-36,POX6X0.35(GR),,235,100,2
3,07776,1004,E4-02,POX8X0.4(GR),,125,100,4
1,07776,1004,E4-05,POX8X0.4(GR),,245,100,2
3,01PFH,1004,A2-02,RCOT10-FALP,,40,100,2
3,01PFH,1004,A2-06,RCOT10-FALP,,70,100,2
3,01PFH,1004,A2-14,RCOT10-FALP,,110,100,2
3,01PFH,1004,A2-16,RCOT10-FALP,,120,100,2
3,01PFH,1004,B1-06,RCOT10-FALP,,260,100,2
1,01PFH,1004,A1-04,RCOT10-FALP,,285,100,2
3,01PFH,1004,A1-08,RCOT10-FALP,,320,100,2
3,01PFI,1004,B6-02,RCOT13-FALP,,70,100,2
3,01PFI,1004,C6-15,RCOT13-FALP,,115,100,2
3,01PFI,1004,B6-20,RCOT13-FALP,,215,100,2
3,01PFJ,1004,B3-03,RCOT15-FALP,,70,100,2
1,01PFJ,1004,B4-03,RCOT15-FALP,,525,100,2
3,01PFJ,1004,B3-19,RCOT15-FALP,,555,100,2
3,01PFK,1004,C2-02,RCOT19-FALP,,60,100,2
3,01PFK,1004,C2-03,RCOT19-FALP,,65,100,2
3,01PFK,1004,C2-06,RCOT19-FALP,,145,100,2
3,01PFK,1004,C3-06,RCOT19-FALP,,180,50,2
3,01PFK,1004,C2-08,RCOT19-FALP,,245,50,2
3,01PFP,1004,A5-06,RCOT5-FALP,,125,100,2
3,01PFP,1004,A5-27,RCOT5-FALP,,230,100,2
3,01PFP,1004,A5-29,RCOT5-FALP,,240,100,2
1,01PFP,1004,A5-34,RCOT5-FALP,,265,100,2
1,01PFP,1004,A4-32,RCOT5-FALP,,455,100,2
3,02KXW,1004,L5-22,VO10X0.5(B)-FALP,WITH SLIT,85,100,2
3,02KXW,1004,L5-29,VO10X0.5(B)-FALP,WITH SLIT,120,100,2
3,02KXW,1004,L4-27,VO10X0.5(B)-FALP,WITH SLIT,150,100,2
3,02KXW,1004,L4-07,VO10X0.5(B)-FALP,WITH SLIT,165,100,2
1,02KXW,1004,L4-17,VO10X0.5(B)-FALP,WITH SLIT,220,100,2
1,02KXW,1004,L4-19,VO10X0.5(B)-FALP,WITH SLIT,235,100,2
3,02KXW,1004,L4-18,VO10X0.5(B)-FALP,WITH SLIT,295,100,2
1,02KXW,1004,L5-04,VO10X0.5(B)-FALP,WITH SLIT,535,50,2
1,02KXX,1004,L2-26,VO12X0.5(B)-FALP,WITH SLIT,165,100,2
1,02KXX,1004,L2-34,VO12X0.5(B)-FALP,WITH SLIT,235,100,2
