Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
1,16834,4004,F4-44,HNCOT7-GR,,245,100,2
3,01PFP,4004,A6-02,RCOT5-FALP,,45,100,2
3,01PFP,4004,A5-13,RCOT5-FALP,,160,100,2
3,01PFP,4004,A5-29,RCOT5-FALP,,240,100,2
1,01PFP,4004,A5-33,RCOT5-FALP,,260,100,2
3,01PFP,4004,A4-16,RCOT5-FALP,,375,100,2
1,01PFP,4004,A4-32,RCOT5-FALP,,455,100,2
1,01PFP,4004,A4-38,RCOT5-FALP,,485,100,2
1,01PFP,4004,A6-15,RCOT5-FALP,,520,100,2
1,01PFQ,4004,F1-21,RCOT7-FALP,,340,100,2
1,23886,4102,F4-39,HNCOT5-GR,,220,100,2
1,23886,4102,F4-40,HNCOT5-GR,,315,100,2
3,01PFH,4102,A2-05,RCOT10-FALP,,65,100,2
3,01PFH,4102,A2-14,RCOT10-FALP,,110,100,2
3,01PFH,4102,A2-20,RCOT10-FALP,,140,100,2
3,01PFH,4102,A2-21,RCOT10-FALP,,145,100,2
3,01PFH,4102,A2-22,RCOT10-FALP,,150,100,2
3,01PFH,4102,A2-26,RCOT10-FALP,,175,100,2
3,01PFH,4102,A2-27,RCOT10-FALP,,180,100,2
3,01PFH,4102,A2-35,RCOT10-FALP,,230,100,2
3,01PFH,4102,A2-37,RCOT10-FALP,,240,100,2
3,01PFH,4102,A1-02,RCOT10-FALP,,270,100,2
3,01PFH,4102,A1-14,RCOT10-FALP,,400,100,2
1,01PFH,4102,A1-16,RCOT10-FALP,,410,100,2
1,01PFH,4102,A1-17,RCOT10-FALP,,415,100,2
1,01PFH,4102,A1-19,RCOT10-FALP,,475,100,2
3,01PFH,4102,B2-04,RCOT10-FALP,,740,100,2
1,01PFH,4102,B2-07,RCOT10-FALP,,1365,100,2
3,01PFI,4102,B6-05,RCOT13-FALP,,90,100,2
3,01PFI,4102,B6-06,RCOT13-FALP,,95,100,2
3,01PFI,4102,B6-08,RCOT13-FALP,,105,100,2
3,01PFI,4102,B6-09,RCOT13-FALP,,110,100,2
3,01PFI,4102,B6-11,RCOT13-FALP,,140,100,2
3,01PFI,4102,B6-22,RCOT13-FALP,,230,100,2
1,01PFI,4102,C6-03,RCOT13-FALP,,345,100,2
1,01PFI,4102,C6-04,RCOT13-FALP,,385,100,2
3,01PFJ,4102,B3-14,RCOT15-FALP,,270,100,2
1,01PFJ,4102,B3-17,RCOT15-FALP,,470,100,2
1,01PFJ,4102,B3-20,RCOT15-FALP,,645,100,2
1,01PFK,4102,C3-10,RCOT19-FALP,,240,50,2
3,01PFK,4102,C3-11,RCOT19-FALP,,260,50,2
3,01PFP,4102,A6-03,RCOT5-FALP,,50,100,2
3,01PFP,4102,A6-06,RCOT5-FALP,,65,100,2
3,01PFP,4102,A6-08,RCOT5-FALP,,75,100,2
3,01PFP,4102,A6-10,RCOT5-FALP,,85,100,2
