Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01LUV,5117,E6-17,VS100X0.3FP,,50,100,2
3,01LUV,5123,E6-17,VS100X0.3FP,,50,100,2
3,02KXU,5117,J3-17,VO6X0.5(B)-FALP,With Slit,40,100,2
3,02KXU,5123,J3-17,VO6X0.5(B)-FALP,With Slit,40,100,2
3,02KXV,5018,J1-28,VO8X0.5(B)-FALP,,80,100,2
3,02KXV,5117,K1-04,VO8X0.5(B)-FALP,,115,100,2
3,02KXV,5123,K1-05,VO8X0.5(B)-FALP,,115,100,2
3,02KXW,5117,L5-24,VO10X0.5(B)-FALP,With Slit,95,100,2
3,02KXW,5123,L5-24,VO10X0.5(B)-FALP,With Slit,95,100,2
3,02KXX,5117,L1-17,VO12X0.5(B)-FALP,,150,100,2
3,02KXX,5123,L1-17,VO12X0.5(B)-FALP,,150,100,2
3,02KY0,5117,M2-11,VO16X0.6(B)-FALP,,50,100,2
3,02KY0,5123,M2-11,VO16X0.6(B)-FALP,,50,100,2
3,08159,5119,F5-29,HCOT13(GR),,100,100,2
3,08159,5124,F5-29,HCOT13(GR),,100,100,2
3,38914,5117,L6-31,VO6X0.5(Y) WKPH,,40,100,2
3,38914,5123,L6-31,VO6X0.5(Y) WKPH,,40,100,2
3,38914,5117,L6-32,VO6X0.5(Y) WKPH,,50,100,2
3,38914,5123,L6-32,VO6X0.5(Y) WKPH,,50,100,2
3,01MNP,5112,H1-19,NCOT7-FALP,,145,100,2
3,02HY5,Suzuki Initial,F6-45,VS30NT-FP,,30,500,1
3,02KXW,1118,L5-19,VO10X0.5(B)-FALP,With Slit,75,100,2
,,,,,,,,
