Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,02KXU,2112,J5-33,VO6X0.5(B)-FALP,,155,100,1
3,02KXV,2112,K1-21,VO8X0.5(B)-FALP,,190,100,1
3,02KXU,2113,J5-33,VO6X0.5(B)-FALP,,155,100,1
3,02KXV,2113,K1-21,VO8X0.5(B)-FALP,,190,100,1
3,02KXV,2114,J1-20,VO8X0.5(B)-FALP,,40,100,2
3,02KXV,2114,J1-24,VO8X0.5(B)-FALP,,60,100,1
3,8877,2120,O2-46,VS100,,95,100,1
3,8878,2120,O1-12,VS70,,105,100,1
3,8878,2120,O1-32,VS70,,235,100,1
3,02KXU,2122,J5-25,VO6X0.5(B)-FALP,,115,100,2
3,02KXV,2122,J1-28,VO8X0.5(B)-FALP,,80,100,2
3,02KXV,2122,K1-12,VO8X0.5(B)-FALP,,150,100,5
3,17539,2122,O2-07,VS50,,110,100,1
3,17539,2122,O2-16,VS50,,180,100,1
3,02KXV,2123,K2-03,VO8X0.5(B)-FALP,,320,100,1
3,02KXV,2125,K1-13,VO8X0.5(B)-FALP,,155,100,2
3,8878,2125,O1-22,VS70,,180,100,1
3,02KXU,2127,J5-13,VO6X0.5(B)-FALP,,95,100,3
