Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01LUR,7109,I5-08,NCOT10-FALP,,105,100,3
3,07495,7109,G2-30,VO18X0.6(B),,165,100,3
3,07161,7109,G2-31,VO6X0.5(B),,320,100,3
3,01LUR,7110,I5-08,NCOT10-FALP,,105,100,3
3,07495,7110,G2-30,VO18X0.6(B),With slit,165,100,3
3,07161,7110,G2-31,VO6X0.5(B),,320,100,3
3,01MNP,7114,H3-31,NCOT7-FALP,,275,100,3
3,07161,7114,G4-35,VO6X0.5(B),With slit,510,100,3
3,07291,7114,G4-29,VO8X0.5(B),,70,100,3
3,07291,7114,G3-32,VO8X0.5(B),With slit,335,100,3
3,07291,7114,G3-33,VO8X0.5(B),With slit,485,100,3
