Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01LUT,7105,H3-05,NCOT5-FALP,,90,100,2
3,01LUT,7106,H3-05,NCOT5-FALP,,90,100,2
3,01LUT,7107,H3-05,NCOT5-FALP,,90,100,2
3,01LUT,7108,H3-05,NCOT5-FALP,,90,100,2
3,01LUT,7101,H3-32,NCOT5-FALP,,260,100,2
3,01LUT,7102,H3-33,NCOT5-FALP,,260,100,2
3,01LUT,7103,H3-34,NCOT5-FALP,,260,100,2
3,01LUT,7104,H3-35,NCOT5-FALP,,260,100,2
3,01LUT,7105,H3-36,NCOT5-FALP,,260,100,2
3,01LUT,7106,H3-37,NCOT5-FALP,,260,100,2
3,01LUT,7107,H3-38,NCOT5-FALP,,260,100,2
3,01LUT,7108,H3-39,NCOT5-FALP,,260,100,2
3,01LUT,7101,H2-22,NCOT5-FALP,,270,100,2
3,01LUT,7102,H2-22,NCOT5-FALP,,270,100,2
3,01LUT,7103,H2-22,NCOT5-FALP,,270,100,2
3,01LUT,7104,H2-22,NCOT5-FALP,,270,100,2
3,01LUT,7105,H2-22,NCOT5-FALP,,270,100,2
3,01LUT,7106,H2-22,NCOT5-FALP,,270,100,2
3,01LUT,7107,H2-22,NCOT5-FALP,,270,100,2
3,01LUT,7108,H2-22,NCOT5-FALP,,270,100,2
3,01MNP,7105,H1-06,NCOT7-FALP,,75,100,2
3,01MNP,7106,H1-06,NCOT7-FALP,,75,100,2
3,01MNP,7107,H1-06,NCOT7-FALP,,75,100,2
3,01MNP,7108,H1-06,NCOT7-FALP,,75,100,2
3,01MNP,7105,I1-04,NCOT7-FALP,,400,100,2
3,01MNP,7106,I1-04,NCOT7-FALP,,400,100,2
3,01MNP,7107,I1-04,NCOT7-FALP,,400,100,2
3,01MNP,7108,I1-04,NCOT7-FALP,,400,100,2
3,07161,7101,G6-09,VO6X0.5(B),With Slit,95,100,2
3,07161,7101,G6-38,VO6X0.5(B),With Slit,50,100,2
3,07161,7101,G6-38,VO6X0.5(B),With Slit,50,100,2
3,07162,7102,G6-10,VO6X0.5(B),With Slit,95,100,2
3,07163,7103,G6-11,VO6X0.5(B),With Slit,95,100,2
3,07164,7104,G6-12,VO6X0.5(B),With Slit,95,100,2
3,07161,7105,G6-54,VO6X0.5(B),With Slit,160,100,2
3,07161,7106,G6-54,VO6X0.5(B),With Slit,160,100,2
3,07161,7105,G6-21,VO6X0.5(B),With Slit,180,100,2
3,07161,7106,G6-21,VO6X0.5(B),With Slit,180,100,2
3,07161,7107,G6-21,VO6X0.5(B),With Slit,180,100,2
3,07161,7108,G6-21,VO6X0.5(B),With Slit,180,100,2
3,07161,7101,G6-55,VO6X0.5(B),With Slit,190,100,2
3,07161,7102,G6-55,VO6X0.5(B),With Slit,190,100,2
3,07161,7103,G6-55,VO6X0.5(B),With Slit,190,100,2
3,07161,7104,G6-55,VO6X0.5(B),With Slit,190,100,2
3,07161,7101,G4-33,VO6X0.5(B),With Slit,290,100,2
3,07161,7102,G4-33,VO6X0.5(B),With Slit,290,100,2
3,07161,7103,G4-33,VO6X0.5(B),With Slit,290,100,2
3,07161,7104,G4-33,VO6X0.5(B),With Slit,290,100,2
3,07161,7101,G4-34,VO6X0.5(B),With Slit,295,100,2
3,07161,7102,G4-34,VO6X0.5(B),With Slit,295,100,2
3,07161,7103,G4-34,VO6X0.5(B),With Slit,295,100,2
3,07161,7104,G4-34,VO6X0.5(B),With Slit,295,100,2
3,07161,7105,G4-35,VO6X0.5(B),With Slit,410,100,2
3,07161,7106,G4-35,VO6X0.5(B),With Slit,410,100,2
3,07161,7105,G4-37,VO6X0.5(B),With Slit,540,100,2
