Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,23270,5116,F4-08,HCOT5(GR),,115,100,1
3,23270,5116,F4-23,HCOT5(GR),,285,100,1
3,01LUR,5116,I2-06,NCOT10-FALP,,85,100,2
3,01LUR,5116,I2-20,NCOT10-FALP,,310,100,1
3,01N0P,5116,I6-03,NCOT15-FALP,,75,100,1
3,01N0P,5116,I6-04,NCOT15-FALP,,215,100,1
3,01N0P,5116,I6-08,NCOT15-FALP,,285,100,1
3,01N0Q,5116,J6-01,NCOT19-FALP,,50,100,1
3,01N0Q,5116,J6-03,NCOT19-FALP,,145,100,2
3,01NY6,5116,J6-09,NCOT25-FALP,,325,50,2
3,01LUT,5116,H3-17,NCOT5-FALP,,120,100,1
3,01LUT,5116,H3-31,NCOT5-FALP,,275,100,1
3,01LUT,5116,H3-42,NCOT5-FALP,,315,100,1
3,01MNP,5116,H1-03,NCOT7-FALP,,55,100,1
3,01MNP,5116,H1-04,NCOT7-FALP,,70,100,1
3,01MNP,5116,H1-11,NCOT7-FALP,,100,100,1
3,01MNP,5116,H1-33,NCOT7-FALP,,230,100,1
3,7778,5116,E3-15,POX10X0.4(GR),,85,100,1
3,7773,5116,E3-32,POX6X0.35(GR),,110,100,1
3,7776,5116,E4-01,POX8X0.4(GR),,30,100,1
3,02KXW,5116,L5-22,VO10X0.5(B)-FALP,WITH SLIT,85,100,1
3,02KXW,5116,K5-27,VO10X0.5(B)-FALP,,120,100,1
3,02KXW,5116,K5-30,VO10X0.5(B)-FALP,,135,100,1
3,24493,5116,E3-06,VO10X0.5(G),,95,100,1
3,02KY2,5116,N2-17,VO20X0.6(B)-FALP,,95,100,1
3,02KXV,5116,J1-22,VO8X0.5(B)-FALP,,50,100,1
3,02KXV,5116,J1-24,VO8X0.5(B)-FALP,,60,100,2
3,02KXV,5116,J1-27,VO8X0.5(B)-FALP,,75,100,1
3,02KXV,5116,J1-29,VO8X0.5(B)-FALP,,85,100,1
3,02KXV,5116,K1-01,VO8X0.5(B)-FALP,,100,100,1
3,02KXV,5116,K1-05,VO8X0.5(B)-FALP,,120,100,1
3,02KXV,5116,K1-16,VO8X0.5(B)-FALP,,170,100,1
3,01LUV,5116,O4-17,VS100X0.3FP,,95,100,1
3,01LUX,5116,O4-10,VS120X0.3FP,,200,100,1
3,01LV5,5116,O4-47,VS70X0.3FP,,55,100,1
3,01LV5,5116,O4-48,VS70X0.3FP,,80,100,2
3,02KXW,5108,L5-28,VO10X0.5(B)-FALP,WITH SLIT,115,100,1
3,02KXW,5108,K5-27,VO10X0.5(B)-FALP,,120,100,2
3,02KXU,5108,J5-11,VO6X0.5(B)-FALP,,85,100,2
3,02KXU,5108,J5-20,VO6X0.5(B)-FALP,,530,100,1
3,02KXV,5108,J1-29,VO8X0.5(B)-FALP,,85,100,1
3,02KXV,5108,K1-15,VO8X0.5(B)-FALP,,165,100,1
3,02KXV,5108,K1-09,VO8X0.5(B)-FALP,,200,100,1
3,02KXV,5108,K1-25,VO8X0.5(B)-FALP,,220,100,2
3,02KXV,5108,K2-11,VO8X0.5(B)-FALP,,380,100,2
3,17774,5108,E2-37,VOX-W8.3X0.35-GR,,145,100,1
3,7230,5108,O1-68,VS70X0.3,,290,100,1
3,02KXV,5128,J1-30,VO8X0.5(B)-FALP,,90,100,2
3,38821,5105,D6-30,NCOT19-DFPH,,310,50,1
3,38821,5105,D6-31,NCOT19-DFPH,,315,50,2
0,38821,5105,Special Kanban,NCOT19-DFPH,,325,30,1
3,8159,5119,F5-29,HCOT13(GR),,100,100,1
