Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFP,4105,A5-02,RCOT5-FALP,,105,100,1
0,02KY1,4105,Temp. Location,VO18X0.6(B)-FALP,WITH SLIT,140,100,1
0,02KY1,4105,Temp. Location,VO18X0.6(B)-FALP,WITH SLIT,380,100,1
0,02KY1,4105,Temp. Location,VO18X0.6(B)-FALP,WITH SLIT,390,100,1
0,02KYA,4105,Temp. Location,VO18X1(B)-FALP,WITH SLIT,240,100,1
3,02KY2,4105,N2-02,VO20X0.6(B)-FALP,WITH SLIT,40,100,1
3,02KY2,4105,N2-10,VO20X0.6(B)-FALP,WITH SLIT,135,100,1
3,02KY2,4105,N2-18,VO20X0.6(B)-FALP,WITH SLIT,150,100,1
3,02KXU,4105,J2-05,VO6X0.5(B)-FALP,WITH SLIT,195,100,1
3,02KXV,4105,K3-13,VO8X0.5(B)-FALP,WITH SLIT,75,100,1
3,01JJU,4105,O3-13,VSC100BS,,110,100,1
3,01JJU,4105,O3-18,VSC100BS,,115,100,1
3,01JJU,4105,O3-19,VSC100BS,,250,100,1
3,01JJS,4105,O3-21,VSC50BS,,75,100,1
3,01JJS,4105,O3-28,VSC50BS,,105,100,1
3,01JJS,4105,O3-24,VSC50BS,,110,100,1
0,01JJS,4105,Special Kanban,VSC50BS,,135,30,1
3,01JJS,4105,O3-30,VSC50BS,,240,100,1
0,01JJS,4105,Temp. Location,VSC50BS,,450,100,1
3,01JJS,4105,O3-25,VSC50BS,,175,100,1
0,01JJT,4105,Temp. Location,VSC70BS,,130,100,1
0,01JJT,4105,Special Kanban,VSC70BS,,135,30,1
3,01JJT,4105,O3-34,VSC70BS,,145,100,1
0,01JJT,4105,Temp. Location,VSC70BS,,155,100,1
3,01JJT,4105,O3-37,VSC70BS,,220,100,1
0,01JJT,4105,Temp. Location,VSC70BS,,285,100,1
0,01JJT,4105,Temp. Location,VSC70BS,,340,100,1
3,02KXW,4106,L5-19,VO10X0.5(B)-FALP,WITH SLIT,75,100,1
0,02KY0,4106,Temp. Location,VO16X0.6(B)-FALP,WITH SLIT,140,100,1
0,02KY9,4106,Temp. Location,VO16X1(B)-FALP,WITH SLIT,240,100,1
3,02KY1,4106,M1-03,VO18X0.6(B)-FALP,WITH SLIT,40,100,1
