Production Lot,Parts Code,Line No,Stock Address,Parts Name,With Slit,Length (mm),Quantity,Required Kanban
3,01PFQ,3032,A5-01,RCOT5-FALP,,100,100,6
3,01PFQ,3032,A5-04,RCOT5-FALP,,115,100,7
3,01PFQ,3032,A5-14,RCOT5-FALP,,165,100,10
3,01PFQ,3032,A5-20,RCOT5-FALP,,195,100,12
3,01PFQ,3031,A6-08,RCOT5-FALP,,75,100,11
3,01PFQ,3031,A5-09,RCOT5-FALP,,140,100,11
3,01PFQ,3031,A4-34,RCOT5-FALP,,465,100,11
3,01PFQ,3031,A4-35,RCOT5-FALP,,470,100,11
3,01PFQ,3031,A5-01,RCOT5-FALP,,100,100,11
3,01PFQ,3031,A5-13,RCOT5-FALP,,160,100,11
3,01PFQ,3031,A4-26,RCOT5-FALP,,425,100,11
3,01PFQ,3031,A6-18,RCOT5-FALP,,545,100,11
