Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01LUR,5022,I2-08,NCOT10-FALP,,145,100,1
3,01LV3,5022,E6-66,VS50X0.3FP,,50,100,1
3,01LV3,5022,E6-68,VS50X0.3FP,,120,100,1
3,01LV3,5022,E6-69,VS50X0.3FP,,170,100,3
3,01LV3,5022,E6-70,VS50X0.3FP,,300,100,1
3,01LV5,5022,E6-55,VS70X0.3FP,,130,100,1
3,01LV5,5022,E6-50,VS70X0.3FP,,165,100,1
3,02KXU,5022,J3-29,VO6X0.5(B)-FALP,,100,100,1
3,02KXU,5022,J5-36,VO6X0.5(B)-FALP,,170,100,1
3,02KXV,5022,K1-03,VO8X0.5(B)-FALP,,110,100,2
3,02KXV,5022,K1-06,VO8X0.5(B)-FALP,,125,100,2
3,02KXV,5022,K1-17,VO8X0.5(B)-FALP,,175,100,2
3,02KY4,5022,J4-08,VO6X1(B)-FALP,,265,100,1
3,02KXV,5022,K1-21,VO8X0.5(B)-FALP,,190,100,1
,,,,,,,,
,,,,,,,,
