Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01LUS,5031,I5-06,NCOT13-FALP,,160,100,3
3,01LUS,5031,I6-17,NCOT13-FALP,,350,100,5
3,01MNP,5031,H1-15,NCOT7-FALP,,95,100,4
3,01MNP,5031,I1-22,NCOT7-FALP,,225,100,4
3,02KXV,5031,K1-17,VO8X0.5(B)-FALP,,175,100,4
3,02KXV,5031,J1-03,VO8X0.5(B)-FALP,,415,100,4
3,02KXW,5031,K5-16,VO10X0.5(B)-FALP,,60,100,4
3,01LUT,5130,H3-40,NCOT5-FALP,,395,100,6
3,01LV5,5130,O4-48,VS70X0.3FP,,80,100,4
3,01LV5,5130,O4-75,VS70X0.3FP,,210,100,6
3,01LV5,5130,O4-76,VS70X0.3FP,,325,100,6
3,01MNP,5130,H1-27,NCOT7-FALP,,170,100,6
3,01MNP,5130,I1-17,NCOT7-FALP,,590,100,6
3,02KXU,5130,J3-36,VO6X0.5(B)-FALP,WITH SLIT,140,100,3
3,02KXU,5130,J5-34,VO6X0.5(B)-FALP,,160,100,3
3,02KXU,5130,J4-25,VO6X0.5(B)-FALP,,315,100,2
3,02KXU,5130,J2-30,VO6X0.5(B)-FALP,WITH SLIT,505,100,6
3,02KXV,5130,K1-10,VO8X0.5(B)-FALP,,140,100,10
3,02KXV,5130,K1-19,VO8X0.5(B)-FALP,,180,100,6
3,02KXV,5130,K1-29,VO8X0.5(B)-FALP,,240,100,6
3,02KXV,5130,K4-06,VO8X0.5(B)-FALP,WITH SLIT,305,100,5
3,02KXX,5130,L2-17,VO12X0.5(B)-FALP,WITH SLIT,105,100,4
3,02KY4,5130,L6-25,VO6X1(B)-FALP,WITH SLIT,195,100,4
3,01LUT,5132,H2-22,NCOT5-FALP,,175,100,4
3,02KXV,5132,K1-13,VO8X0.5(B)-FALP,,155,100,9
3,02KYA,5132,H5-21,VO18X1(B)-FALP,WITH SLIT,170,100,9
3,07165,5132,E3-10,VO6X0.5(Y),,150,100,9
3,01LUR,5111,I2-04,NCOT10-FALP,,140,100,9
3,01LUR,5111,I3-11,NCOT10-FALP,,155,100,9
3,01LUR,5111,I3-12,NCOT10-FALP,,370,100,9
3,01LUR,5111,I3-13,NCOT10-FALP,,815,100,9
3,01LUT,5111,H3-01,NCOT5-FALP,,40,100,2
3,01LUT,5111,H3-11,NCOT5-FALP,,65,100,9
3,01LUT,5111,H3-22,NCOT5-FALP,,190,100,9
3,01LUT,5111,H3-23,NCOT5-FALP,,210,100,9
3,01LUT,5111,H2-23,NCOT5-FALP,,245,100,9
3,01LUT,5111,H3-28,NCOT5-FALP,,250,100,9
3,01LUT,5111,H3-34,NCOT5-FALP,,305,100,9
3,01LUT,5111,H2-24,NCOT5-FALP,,565,100,6
3,01LUT,5111,H2-07,NCOT5-FALP,,925,100,9
3,01LUT,5111,I3-15,NCOT5-FALP,,1260,100,9
3,02KXU,5111,J5-23,VO6X0.5(B)-FALP,,105,100,9
3,02KXU,5111,J5-25,VO6X0.5(B)-FALP,,115,100,9
3,02KXU,5111,J5-29,VO6X0.5(B)-FALP,,135,100,2
3,02KXU,5111,J5-31,VO6X0.5(B)-FALP,,145,100,9
3,02KXV,5111,J1-27,VO8X0.5(B)-FALP,,75,100,9
3,02KXW,5111,K6-10,VO10X0.5(B)-FALP,,185,100,9
3,02KXW,5111,K6-11,VO10X0.5(B)-FALP,,190,100,9
3,02KXW,5111,L6-31,VO10X0.5(B)-FALP,,260,100,9
3,02KXX,5111,L3-12,VO12X0.5(B)-FALP,WITH SLIT,90,100,6
3,02KXX,5111,L2-18,VO12X0.5(B)-FALP,,110,100,9
3,07290,5111,E3-08,VO8X0.5(Y),,70,100,9
3,07290,5111,E3-09,VO8X0.5(Y),,110,100,9
3,23270,5111,F4-47,HCOT5(GR),,80,100,2
3,23270,5111,F4-07,HCOT5(GR),,85,100,4
3,23270,5111,F5-30,HCOT5(GR),,175,100,3
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,  ,,,,,
