Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFP,Honda TKRA Initial,A6-10,RCOT5-FALP,,85,100,3
3,01PFP,Honda TKRA Initial,A5-03,RCOT5-FALP,,110,100,3
3,01PFP,Honda TKRA Initial,A5-04,RCOT5-FALP,,115,100,4
3,01PFP,Honda TKRA Initial,A5-06,RCOT5-FALP,,125,100,6
3,01PFP,Honda TKRA Initial,A5-14,RCOT5-FALP,,165,100,2
3,01PFP,Honda TKRA Initial,A4-10,RCOT5-FALP,,345,100,2
3,01PFP,Honda TKRA Initial,A6-14,RCOT5-FALP,,510,100,2
3,01PFP,Honda TKRA Initial,A6-18,RCOT5-FALP,,545,100,3
3,01PFP,Honda TKRA Initial,A3-07,RCOT5-FALP,,1215,100,6
3,01PFP,Honda TKRA Initial,A3-08,RCOT5-FALP,,1400,100,4
3,01PFP,Honda TKRA Initial,A4-06,RCOT5-FALP,,325,100,5
3,01PFP,Honda TKRA Initial,A5-02,RCOT5-FALP,,105,100,4
3,01PFP,Honda TKRA Initial,A5-01,RCOT5-FALP,,100,100,4
3,01PFP,Honda TKRA Initial,A5-18,RCOT5-FALP,,185,100,4
3,01PFP,Honda TKRA Initial,A6-08,RCOT5-FALP,,75,100,4
