Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,02KXU,1004,J5-22,VO6X0.5(B)-FALP,,100,100,2
3,02KXU,1004,J4-14,VO6X0.5(B)-FALP,,300,100,2
3,02KXU,1004,J4-15,VO6X0.5(B)-FALP,,310,100,2
3,02KXU,1004,J3-21,VO6X0.5(B)-FALP,WITH SLIT,60,100,2
3,02KXU,1004,J2-25,VO6X0.5(B)-FALP,WITH SLIT,350,100,2
3,02KXW,1004,K5-30,VO10X0.5(B)-FALP,,135,100,2
3,02KXW,1004,L4-12,VO10X0.5(B)-FALP,WITH SLIT,285,100,2
3,02KXV,1004,K2-11,VO8X0.5(B)-FALP,,380,100,2
3,02KXV,1004,K1-05,VO8X0.5(B)-FALP,,120,100,2
3,02KXV,1004,K1-08,VO8X0.5(B)-FALP,,135,100,2
1,02KXV,1004,K3-32,VO8X0.5(B)-FALP,WITH SLIT,175,100,2
3,01PFP,1004,A5-04,RCOT5-FALP,,115,100,2
1,01PFP,1004,A4-08,RCOT5-FALP,,335,100,2
3,01PFP,1004,A3-12,RCOT5-FALP,,605,100,2
3,01PFP,1004,A5-21,RCOT5-FALP,,200,100,2
3,01PFP,1004,A5-15,RCOT5-FALP,,170,100,2
3,01PFP,1004,A5-20,RCOT5-FALP,,195,100,2
