Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01LUS,7101,I4-13,NCOT13-FALP,,315,100,2
3,01LUT,7101,H3-32,NCOT5-FALP,,260,100,2
3,01MNP,7101,H1-26,NCOT7-FALP,,185,100,2
0,07319,7101,Temp. Location,VO10X0.5(B),WITH SLIT,110,100,2
0,07319,7101,Temp. Location,VO10X0.5(B),WITH SLIT,180,100,2
0,07319,7101,Temp. Location,VO10X0.5(B),WITH SLIT,190,100,2
3,07319,7101,G4-12,VO10X0.5(B),WITH SLIT,210,100,2
0,07410,7101,Temp. Location,VO12X0.5(B),WITH SLIT,180,100,2
3,07410,7101,G3-12,VO12X0.5(B),WITH SLIT,210,100,2
3,07410,7101,G3-16,VO12X0.5(B),WITH SLIT,340,100,2
3,07452,7101,G2-04,VO14X0.5(B),WITH SLIT,125,100,2
3,07452,7101,G2-11,VO14X0.5(B),WITH SLIT,230,100,2
0,07452,7101,Temp. Location,VO14X0.5(B),WITH SLIT,340,100,2
3,07452,7101,G2-12,VO14X0.5(B),WITH SLIT,400,100,2
3,07473,7101,G1-08,VO16X0.6(B),WITH SLIT,250,100,2
3,07515,7101,G1-16,VO20X0.6(B),WITH SLIT,85,100,2
3,07515,7101,G1-20,VO20X0.6(B),WITH SLIT,295,100,2
3,07515,7101,G1-22,VO20X0.6(B),WITH SLIT,365,100,2
3,21429,7101,H5-01,VO22X0.6(B),WITH SLIT,85,100,2
3,21429,7101,H5-03,VO22X0.6(B),WITH SLIT,330,100,2
3,21429,7101,H5-06,VO22X0.6(B),WITH SLIT,520,100,2
3,07542,7101,H4-15,VO26X1(B),WITH SLIT,360,100,2
3,07540,7101,H4-09,VO28X1(B),WITH SLIT,330,100,2
3,07161,7101,G6-15,VO6X0.5(B),WITH SLIT,145,100,2
3,07161,7101,G6-21,VO6X0.5(B),WITH SLIT,180,100,2
0,07161,7101,Temp. Location,VO6X0.5(B),WITH SLIT,190,100,2
