Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01LUR,5113,I2-19,NCOT10-FALP,,295,100,2
3,01LUS,5113,I4-14,NCOT13-FALP,,345,100,2
3,01LUT,5113,H3-17,NCOT5-FALP,,120,100,2
3,02KXW,5113,K6-16,VO10X0.5(B)-FALP,,215,100,2
3,02KXW,5113,K6-17,VO10X0.5(B)-FALP,,225,100,2
3,02KXX,5113,L3-06,VO12X0.5(B)-FALP,,50,100,2
3,02KXY,5113,M6-15,VO14X0.5(B)-FALP,,185,100,2
3,02KYB,5113,N4-21,VO20X1(B)-FALP,WITH SLIT,180,100,2
3,02KXU,5113,J5-38,VO6X0.5(B)-FALP,,175,100,2
3,02KXU,5113,J5-44,VO6X0.5(B)-FALP,,210,100,2
3,02KXU,5113,J4-03,VO6X0.5(B)-FALP,,230,100,2
3,38914,5113,E2-06,VO6X0.5(Y)WKPH,,95,100,2
3,38914,5113,E2-07,VO6X0.5(Y)WKPH,,120,100,2
3,38914,5113,E2-12,VO6X0.5(Y)WKPH,,140,100,2
3,38914,5113,E2-13,VO6X0.5(Y)WKPH,,160,100,2
3,02KXV,5113,K3-12,VO8X0.5(B)-FALP,WITH SLIT,70,100,2
3,02KXV,5113,K3-16,VO8X0.5(B)-FALP,WITH SLIT,90,100,2
3,02KXV,5113,K1-04,VO8X0.5(B)-FALP,,115,100,2
3,02KXV,5113,K1-07,VO8X0.5(B)-FALP,,130,100,4
3,02KXV,5113,K1-18,VO8X0.5(B)-FALP,,205,100,2
3,02KXV,5113,K1-33,VO8X0.5(B)-FALP,,260,100,2
3,02KXV,5113,K2-04,VO8X0.5(B)-FALP,,325,100,2
3,38918,5113,E2-31,VO8X0.5(Y)WKPH,,285,100,2
3,01LUV,5113,O4-17,VS100X0.3FP,,95,100,2
3,01LUV,5113,O4-21,VS100X0.3FP,,110,100,2
3,01LUV,5113,O4-25,VS100X0.3FP,,135,100,2
3,01LUX,5113,O4-04,VS120X0.3FP,,70,100,2
3,01LUX,5113,O4-08,VS120X0.3FP,,135,100,2
3,01LV5,5113,O4-58,VS70X0.3FP,,110,100,2
3,01LV5,5113,O4-59,VS70X0.3FP,,165,100,2
3,01LV5,5113,O4-66,VS70X0.3FP,,195,100,2
3,01LV5,5113,O4-71,VS70X0.3FP,,235,100,2
3,01LUR,5114,I2-02,NCOT10-FALP,,70,100,2
3,01LUR,5114,I2-16,NCOT10-FALP,,280,100,4
3,01LUS,5114,I4-02,NCOT13-FALP,,80,100,4
3,01LUS,5114,I4-10,NCOT13-FALP,,250,100,4
3,01LUT,5114,H3-39,NCOT5-FALP,,320,100,4
3,02KXW,5114,K6-08,VO10X0.5(B)-FALP,,175,100,3
3,02KXW,5114,K6-15,VO10X0.5(B)-FALP,,210,100,2
3,02KXW,5114,K6-24,VO10X0.5(B)-FALP,,265,100,4
3,02KXX,5114,L3-07,VO12X0.5(B)-FALP,,55,100,4
3,02KXX,5114,L3-24,VO12X0.5(B)-FALP,,170,100,4
3,02KXY,5114,M6-13,VO14X0.5(B)-FALP,,170,100,2
3,02KYR,5114,N1-11,VO28X1(B)-FALP,WITH SLIT,120,100,4
3,02KXU,5114,J5-24,VO6X0.5(B)-FALP,,110,100,3
3,02KXU,5114,J5-38,VO6X0.5(B)-FALP,,175,100,2
3,02KXU,5114,J5-41,VO6X0.5(B)-FALP,,190,100,2
3,38914,5114,E2-14,VO6X0.5(Y)WKPH,,125,100,4
3,38914,5114,E2-12,VO6X0.5(Y)WKPH,,140,100,2
3,38914,5114,E2-15,VO6X0.5(Y)WKPH,,150,100,2
3,38914,5114,E2-13,VO6X0.5(Y)WKPH,,160,100,2
3,02KXV,5114,K1-10,VO8X0.5(B)-FALP,,140,100,4
3,02KXV,5114,K1-18,VO8X0.5(B)-FALP,,205,100,5
3,02KXV,5114,K1-35,VO8X0.5(B)-FALP,,270,100,3
3,02KXV,5114,K2-05,VO8X0.5(B)-FALP,,330,100,3
3,38918,5114,E2-28,VO8X0.5(Y)WKPH,,280,100,3
3,01LUV,5114,O4-17,VS100X0.3FP,,95,100,4
3,01LUV,5114,O4-12,VS100X0.3FP,,105,100,7
3,01LUV,5114,O4-22,VS100X0.3FP,,130,100,4
3,01LUV,5114,O4-30,VS100X0.3FP,,250,100,4
3,01LUV,5114,O4-33,VS100X0.3FP,,290,100,3
3,01LV5,5114,O4-51,VS70X0.3FP,,95,100,4
3,01LV5,5114,O4-66,VS70X0.3FP,,195,100,2
3,01LV5,5114,O4-65,VS70X0.3FP,,230,100,3
3,01LV5,5114,O4-70,VS70X0.3FP,,290,100,2
3,01LUR,5117,I2-06,NCOT10-FALP,,85,100,2
3,01MNP,5117,H1-10,NCOT7-FALP,,50,100,2
3,02KXW,5117,L5-24,VO10X0.5(B)-FALP,WITH SLIT,95,100,2
3,02KXX,5117,L3-16,VO12X0.5(B)-FALP,,110,100,2
3,02KXX,5117,L1-17,VO12X0.5(B)-FALP,,150,100,2
3,02KY0,5117,M2-11,VO16X0.6(B)-FALP,,50,100,2
