Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFP,Toyota Initial,A6-09,RCOT5-FALP,,80,100,2
3,01PFP,Toyota Initial,A5-24,RCOT5-FALP,,215,100,2
3,01PFP,Toyota Initial,A5-40,RCOT5-FALP,,295,100,2
3,02KXU,Toyota Initial,J5-22,VO6X0.5(B)-FALP,,100,100,2
3,02KXU,Toyota Initial,J4-12,VO6X0.5(B)-FALP,,290,100,2
3,02KXU,Toyota Initial,J4-14,VO6X0.5(B)-FALP,,300,100,2
3,02KXT,Toyota Initial,M2-20,VO4X0.5(B)-FALP,,620,100,2
3,02KXT,Toyota Initial,M2-19,VO4X0.5(B)-FALP,,170,100,2
1,02KXT,Toyota Initial,M2-21,VO4X0.5(B)-FALP,,180,100,2
3,20753,Suzuki YD1 Initial,E4-23,SOX-FZ3X0.25(B),,30,500,2
3,20753,Suzuki Initial,E4-23,SOX-FZ3X0.25(B),,30,500,2
3,20753,Suzuki Y2R Initial,E4-23,SOX-FZ3X0.25(B),,30,500,2
3,38914,Suzuki Initial,E2-03,VO6X0.5(Y)WKPH,,70,100,2
3,38914,Suzuki Initial,E2-09,VO6X0.5(Y)WKPH,,110,100,4
3,02KXV,Suzuki Initial,K1-32,VO8X0.5(B)-FALP,,255,100,5
3,38918,Suzuki Initial,E2-21,VO8X0.5(Y)WKPH,,35,100,3
3,38918,Suzuki YD1 Initial,E2-24,VO8X0.5(Y)WKPH,,45,100,2
3,38918,Suzuki Initial,E2-22,VO8X0.5(Y)WKPH,,50,100,3
3,38918,Suzuki YD1 Initial,E2-23,VO8X0.5(Y)WKPH,,70,100,2
3,38918,Suzuki Initial,E2-29,VO8X0.5(Y)WKPH,,185,100,10
3,17495,Suzuki YD1 Initial,O3-01,VS30-NT,,30,500,2
3,17495,Suzuki Initial,O3-01,VS30-NT,,30,500,2
3,17495,Suzuki Y2R Initial,O3-01,VS30-NT,,30,500,2
3,02HY5,Suzuki Initial,O4-36,VS30-NTFP,,30,500,2
3,02HY5,Suzuki YD1 Initial,O4-36,VS30-NTFP,,30,500,2
3,02HY5,Suzuki Y2R Initial,O4-36,VS30-NTFP,,30,500,2
3,07291,Subaru Initial,G5-44,VO8X0.5(B),,265,100,2
3,17495,Subaru Initial,O3-01,VS30-NT,,30,500,8
3,38818,Nissan Initial,D6-02,NCOT10-DFPH,,70,100,2
3,38826,Nissan Initial,D5-02,NCOT5-DFPH,,135,100,2
3,01S69,Mazda J12 Initial,C5-07,RCOT5-NC-FALP,,130,100,2
3,07640,Mazda J12 Initial,E4-28,SOX-S8X0.3(B),,30,500,2
3,02KXW,Mazda J12 Initial,K6-14,VO10X0.5(B)-FALP,,200,100,2
3,02KXX,Mazda J12 Initial,L3-22,VO12X0.5(B)-FALP,,145,100,5
3,02KXX,Mazda J12 Initial,L3-27,VO12X0.5(B)-FALP,,200,100,4
3,02KXX,Mazda J12 Initial,L3-28,VO12X0.5(B)-FALP,,205,100,2
3,02KXX,Mazda J12 Initial,L3-30,VO12X0.5(B)-FALP,,225,100,2
3,02KXU,Mazda J12 Initial,J5-34,VO6X0.5(B)-FALP,,160,100,2
3,02KXU,Mazda J12 Initial,J5-37,VO6X0.5(B)-FALP,,200,100,2
3,02KXU,Mazda J12 Initial,J4-04,VO6X0.5(B)-FALP,,235,100,2
3,02KXU,Mazda J12 Initial,J4-09,VO6X0.5(B)-FALP,,275,100,5
3,02KXU,Mazda J12 Initial,J4-11,VO6X0.5(B)-FALP,,285,100,4
3,38914,Mazda J12 Initial,E2-10,VO6X0.5(Y)WKPH,,135,100,7
3,38914,Mazda J12 Initial,E2-11,VO6X0.5(Y)WKPH,,170,100,7
3,02KXV,Mazda J12 Initial,K1-11,VO8X0.5(B)-FALP,,145,100,3
3,02KXU,Mazda J12 Initial,J5-22,VO6X0.5(B)-FALP,,100,100,8
3,02KXU,Mazda J12 Initial,J5-29,VO6X0.5(B)-FALP,,135,100,5
3,02KXU,Mazda J12 Initial,J5-33,VO6X0.5(B)-FALP,,155,100,5
3,02KXU,Mazda J12 Initial,J4-12,VO6X0.5(B)-FALP,,290,100,5
3,17495,Mazda Merge Initial,O3-01,VS30-NT,,30,500,13
3,36649,Honda Initial,E4-21,SOXB8-1.2X0.1GR,,60,500,5
3,36649,Honda Initial,E4-22,SOXB8-1.2X0.1GR,,70,500,2
3,23240,Honda Initial,E4-31,SOX-SF2Z1.5X0.2B,,60,500,4
1,23240,Honda Initial,E4-32,SOX-SF2Z1.5X0.2B,,75,500,2
3,36649,Honda TKRA Initial,E4-21,SOXB8-1.2X0.1GR,,60,500,3
3,23240,Honda TKRA Initial,E4-31,SOX-SF2Z1.5X0.2B,,60,500,13
3,17495,Honda TKRA Initial,O3-01,VS30-NT,,30,500,8
3,02KXT,D01L/D54L Initial,M2-14,VO4X0.5(B)-FALP,,95,100,2
3,02KXT,D01L/D54L Initial,M2-15,VO4X0.5(B)-FALP,,120,100,5
3,17495,D01L/D54L Initial,O3-01,VS30-NT,,30,500,11
