Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,23270,5006,F4-22,HCOT5(GR),,245,100,2
3,38826,5006,D5-01,NCOT5-DFPH,,70,100,2
3,38826,5006,D5-07,NCOT5-DFPH,,295,100,2
3,38826,5006,D5-08,NCOT5-DFPH,,770,100,4
3,38826,5006,D5-09,NCOT5-DFPH,,810,100,2
1,38827,5006,D5-25,NCOT7-DFPH,,220,100,2
3,38827,5006,D5-31,NCOT7-DFPH,,460,100,2
3,02KXU,5006,J5-40,VO6X0.5(B)-FALP,,185,100,2
3,10326,5006,O1-72,VS100X0.3,,70,100,2
3,07230,5006,O1-62,VS70X0.3,,120,100,2
3,16840,5009,F4-34,HNCOT19-GR,,250,50,6
1,01LUR,5009,I2-18,NCOT10-FALP,,350,100,2
3,01LUS,5009,I4-17,NCOT13-FALP,,900,100,2
3,01LUS,5009,I5-01,NCOT13-FALP,,905,100,2
3,01LUS,5009,I5-02,NCOT13-FALP,,955,100,2
3,01N0P,5009,I6-02,NCOT15-FALP,,110,100,3
3,38827,5009,D5-11,NCOT7-DFPH,,50,100,2
3,38827,5009,D5-27,NCOT7-DFPH,,250,100,2
3,38827,5009,D5-28,NCOT7-DFPH,,290,100,2
3,38827,5009,D5-29,NCOT7-DFPH,,315,100,2
3,01MNP,5009,H1-36,NCOT7-FALP,,260,100,3
0,00354,5015,Special Kanban,HCOT7(GR),,460,30,2
3,01LUT,5015,H3-11,NCOT5-FALP,,65,100,2
3,01MNP,5015,H1-13,NCOT7-FALP,,90,100,3
1,01MNP,5015,I3-10,NCOT7-FALP,,1080,100,2
1,07778,5015,E3-11,POX10X0.4(GR),,35,100,2
1,07773,5015,E3-31,POX6X0.35(GR),,75,100,2
1,07776,5015,E4-07,POX8X0.4(GR),WITH SLIT,40,100,2
1,02KXW,5015,K5-15,VO10X0.5(B)-FALP,,55,100,2
3,02KXW,5015,K5-17,VO10X0.5(B)-FALP,,65,100,2
3,02KXW,5015,K5-18,VO10X0.5(B)-FALP,,70,100,2
3,02KXW,5015,K5-26,VO10X0.5(B)-FALP,,110,100,2
3,02KXW,5015,K5-30,VO10X0.5(B)-FALP,,135,100,2
3,02KXW,5015,K6-01,VO10X0.5(B)-FALP,,145,100,2
1,02KXX,5015,L1-13,VO12X0.5(B)-FALP,,35,100,2
1,02KXX,5015,L3-04,VO12X0.5(B)-FALP,,40,100,2
