Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,02KXU,1008_290,J2-10,VO6X0.5(B)-FALP,With Slit,220,100,5
3,02KXW,1008_290,L6-03,VO10X0.5(B)-FALP,With Slit,525,100,5
3,02KXU,1008_290,J2-29,VO6X0.5(B)-FALP,With Slit,535,100,5
3,02KXU,1008_290,J2-34,VO6X0.5(B)-FALP,With Slit,730,100,5
3,02KXU,1008_290,J3-40,VO6X0.5(B)-FALP,With Slit,160,100,5
3,02KXY,1008_290,M5-30,VO14X0.5(B)-FALP,With Slit,180,100,5
3,02KXU,1008_290,J2-02,VO6X0.5(B)-FALP,With Slit,180,100,5
3,02KXU,1008_290,J5-32,VO6X0.5(B)-FALP,,150,100,5
3,02KXU,1008_290,J5-31,VO6X0.5(B)-FALP,,145,100,5
3,02KXU,1008_290,Temp location,VO6X0.5(B)-FALP,,335,100,5
3,02KXX,1008_290,L1-10,VO12X0.5(B)-FALP,With Slit,225,100,5
3,02KXU,1008_290,J3-37,VO6X0.5(B)-FALP,With Slit,145,100,5
3,02KXV,1008_290,K1-15,VO8X0.5(B)-FALP,,165,100,5
3,02KXU,1008_290,J3-36,VO6X0.5(B)-FALP,With Slit,140,100,5
3,02KXU,1008_290,J4-18,VO6X0.5(B)-FALP,,330,100,5
3,02KXV,1008_290,J1-26,VO8X0.5(B)-FALP,,70,100,5
