Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFH,VN_2115,A2-19,RCOT10-FALP,,135,100,4
3,01PFP,VN_2115,A6-07,RCOT5-FALP,,70,100,4
3,01PFP,VN_2115,A6-08,RCOT5-FALP,,75,100,4
3,01PFP,VN_2115,A5-25,RCOT5-FALP,,220,100,4
3,01PFP,VN_2115,A5-30,RCOT5-FALP,,245,100,4
3,01PFQ,VN_2115,E1-09,RCOT7-FALP,,140,100,4
3,01PFQ,VN_2115,E1-13,RCOT7-FALP,,160,100,4
3,02KXU,VN_2115,J4-29,VO6X0.5(B)-FALP,,365,100,4
3,02KXU,VN_2115,J4-15,VO6X0.5(B)-FALP,,585,100,4
3,02KXU,VN_2115,Special Kanban,VO6X0.5(B)-FALP,,650,50,2
3,02KXU,VN_2115,J5-14,VO6X0.5(B)-FALP,,695,100,4
3,02KXV,VN_2115,J1-28,VO8X0.5(B)-FALP,,80,100,4
3,02KXV,VN_2115,K1-01,VO8X0.5(B)-FALP,,100,100,4
3,02KXV,VN_2115,K1-02,VO8X0.5(B)-FALP,,105,100,4
3,02KXV,VN_2115,K1-07,VO8X0.5(B)-FALP,,130,100,4
3,02KXV,VN_2115,K1-10,VO8X0.5(B)-FALP,,140,100,4
3,02KXV,VN_2115,K1-12,VO8X0.5(B)-FALP,,150,100,4
3,02KXV,VN_2115, K2-14,VO8X0.5(B)-FALP,,525,100,4
3,02KXW,VN_2115,K5-16,VO10X0.5(B)-FALP,,60,100,4
3,02KXW,VN_2115,K6-22,VO10X0.5(B)-FALP,,250,100,4
3,02KXX,VN_2115,L3-19,VO12X0.5(B)-FALP,,195,100,4
3,02KXY,VN_2115,M6-17,VO14X0.5(B)-FALP,,100,100,4
3,02KY5,VN_2115,N3-11,VO8X1(B)-FALP,,130,100,4
3,02KY5,VN_2115,N4-23,VO8X1(B)-FALP,,245,100,4
3,02KY7,VN_2115,N3-06,VO12X1(B)-FALP,WITH SLIT,80,100,4
3,08877,VN_2115,O2-48,VS100,,130,100,4
3,08877,VN_2115,O2-57,VS100,,195,100,4
3,08877,VN_2115,O1-47,VS100,,420,100,4
3,08878,VN_2115,O1-10,VS70,,110,100,4
3,08878,VN_2115,O1-13,VS70,,135,100,4
3,08878,VN_2115,O1-24,VS70,,175,100,4
3,08878,VN_2115,O1-27,VS70,,195,100,4
3,08878,VN_2115,O1-75,VS70,,410,100,4
3,08878,VN_2115,O1-77,VS70,,475,100,4
3,08878,VN_2115,Special Kanban,VS70,,565,50,2
3,08878,VN_2115,O1-49,VS70,,635,100,4
3,17539,VN_2115,O2-05,VS50,,50,100,4
3,17539,VN_2115,O1-11,VS50,,90,100,4
3,17539,VN_2115,O2-37,VS50,,120,100,4
3,17539,VN_2115,O1-76,VS50,,705,100,4
3,01PFH,VN_3150,A2-19,RCOT10-FALP,,135,100,4
3,01PFI,VN_3150,E6-14,RCOT13-FALP,,130,100,4
3,01PFP,VN_3150,Temp. Location,RCOT5-FALP,,885,100,4
3,01PFQ,VN_3150,E1-13,RCOT7-FALP,,160,100,4
3,01PFH,VN_3151,A2-14,RCOT10-FALP,,110,100,4
3,01PFP,VN_3151,A6-08,RCOT5-FALP,,75,100,4
3,01PFP,VN_3151,Temp. Location,RCOT5-FALP,,1075,100,4
