Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFH,3144,A2-12,RCOT10-FALP,,100,100,2
3,01PFH,3144,A2-14,RCOT10-FALP,,110,100,2
3,01PFH,3144,A2-20,RCOT10-FALP,,140,100,2
3,01PFH,3144,A2-23,RCOT10-FALP,,155,100,2
3,01PFH,3144,A2-25,RCOT10-FALP,,170,100,2
3,01PFH,3144,A2-30,RCOT10-FALP,,195,100,2
3,01PFH,3144,A1-02,RCOT10-FALP,,270,100,2
3,01PFH,3144,E4-01,RCOT10-FALP,,385,100,2
3,01PFH,3144,B2-01,RCOT10-FALP,,535,100,2
3,01PFH,3144,A3-18,RCOT10-FALP,,765,100,2
3,01PFI,3144,B6-16,RCOT13-FALP,,170,100,2
3,01PFI,3144,C5-12,RCOT13-FALP,,210,100,2
3,01PFI,3144,C5-13,RCOT13-FALP,,360,100,2
3,01PFI,3144,C5-09,RCOT13-FALP,,395,100,2
3,01PFI,3144,E6-05,RCOT13-FALP,,555,100,2
3,01PFJ,3144,B5-11,RCOT15-FALP,,90,100,2
3,01PFJ,3144,B5-19,RCOT15-FALP,,210,100,2
3,01PFJ,3144,B4-09,RCOT15-FALP,,235,100,2
3,01PFJ,3144,E2-10,RCOT15-FALP,,360,100,2
3,01PFJ,3144,E2-09,RCOT15-FALP,,515,100,2
3,01PFJ,3144,B4-14,RCOT15-FALP,,555,100,2
3,01S68,3144,Temp. Location,RCOT17-FALP,,200,100,2
3,01S68,3144,E3-05,RCOT17-FALP,,210,100,2
3,01S68,3144,E3-10,RCOT17-FALP,,360,100,3
3,01S68,3144,E3-11,RCOT17-FALP,,365,100,2
3,01S68,3144,E3-14,RCOT17-FALP,,555,100,2
3,01PFP,3144,A6-03,RCOT5-FALP,,50,100,2
3,01PFP,3144,A6-08,RCOT5-FALP,,75,100,2
3,01PFP,3144,A6-09,RCOT5-FALP,,80,100,2
3,01PFP,3144,A6-10,RCOT5-FALP,,85,100,2
3,01PFP,3144,A5-02,RCOT5-FALP,,105,100,2
3,01PFP,3144,A5-03,RCOT5-FALP,,110,100,2
3,01PFP,3144,A5-05,RCOT5-FALP,,120,100,2
3,01PFP,3144,A5-07,RCOT5-FALP,,130,100,2
3,01PFP,3144,A5-12,RCOT5-FALP,,155,100,2
3,01PFP,3144,A5-13,RCOT5-FALP,,160,100,2
3,01PFP,3144,A5-15,RCOT5-FALP,,170,100,2
3,01PFP,3144,A5-18,RCOT5-FALP,,185,100,2
3,01PFP,3144,A5-21,RCOT5-FALP,,200,100,2
3,01PFP,3144,A4-13,RCOT5-FALP,,360,100,2
3,01PFP,3144,A4-24,RCOT5-FALP,,415,100,2
3,01PFP,3144,A4-27,RCOT5-FALP,,430,100,2
3,01PFP,3144,A4-31,RCOT5-FALP,,450,100,2
3,01PFP,3144,A4-37,RCOT5-FALP,,480,100,2
3,01PFP,3144,A3-14,RCOT5-FALP,,775,100,2
3,01PFP,3144,A3-15,RCOT5-FALP,,865,100,2
3,01PFP,3144,A3-20,RCOT5-FALP,,1255,100,2
3,01PFQ,3144,F1-07,RCOT7-FALP,,75,100,2
3,01PFQ,3144,F1-08,RCOT7-FALP,,80,100,2
3,01PFQ,3144,F1-11,RCOT7-FALP,,95,100,2
3,01PFQ,3144,E1-01,RCOT7-FALP,,100,100,2
3,01PFQ,3144,E1-11,RCOT7-FALP,,150,100,2
3,01PFQ,3144,E1-21,RCOT7-FALP,,200,100,2
3,01PFQ,3144,E1-24,RCOT7-FALP,,215,100,2
3,01PFQ,3144,E1-26,RCOT7-FALP,,225,100,2
3,01PFQ,3144,E1-27,RCOT7-FALP,,230,100,2
3,01PFQ,3144,E1-28,RCOT7-FALP,,235,100,2
3,01PFQ,3144,E1-31,RCOT7-FALP,,250,100,2
3,01PFQ,3144,E1-32,RCOT7-FALP,,255,100,2
3,01PFQ,3144,F3-11,RCOT7-FALP,,390,100,2
3,01PFQ,3144,F2-09,RCOT7-FALP,,430,100,2
3,01PFQ,3144,F3-10,RCOT7-FALP,,480,100,2
3,01PFQ,3144,F1-22,RCOT7-FALP,,555,100,2
3,01PFH,3144,A2-31,RCOT10-FALP,,200,100,2
3,01PFH,3144,A3-17,RCOT10-FALP,,490,100,2
3,01PFJ,3144,B3-10,RCOT15-FALP,,200,100,2
3,01PFH,3144,D6-01,RCOT10-FALP,,255,100,3
3,01PFH,3144,A2-29,RCOT10-FALP,,190,100,3
3,01PFH,3144,A2-21,RCOT10-FALP,,145,100,3
3,01PFH,3144,D6-17,RCOT10-FALP,,1130,100,3
3,01PFH,3144,A2-15,RCOT10-FALP,,115,100,3
3,01PFH,3144,A2-27,RCOT10-FALP,,180,100,3
3,01PFH,3144,A1-03,RCOT10-FALP,,280,100,3
3,01PFH,3144,B1-11,RCOT10-FALP,,845,100,3
3,01PFH,3144,E4-02,RCOT10-FALP,,265,100,3
3,01PFH,3144,A2-03,RCOT10-FALP,,50,100,3
3,01PFH,3144,A2-16,RCOT10-FALP,,120,100,3
3,01PFH,3144,A2-05,RCOT10-FALP,,65,100,3
3,01PFH,3144,E4-06,RCOT10-FALP,,445,100,3
3,01PFP,3144,E5-17,RCOT5-FALP,,1250,100,3
3,01PFP,3144,A5-01,RCOT5-FALP,,100,100,3
3,01PFP,3144,A5-17,RCOT5-FALP,,180,100,3
3,01PFP,3144,E5-19,RCOT5-FALP,,930,100,3
3,01PFP,3144,A5-10,RCOT5-FALP,,145,100,3
3,01PFP,3144,A5-04,RCOT5-FALP,,115,100,3
3,01PFP,3144,A6-05,RCOT5-FALP,,60,100,3
3,01PFP,3144,A6-07,RCOT5-FALP,,70,100,3
3,01PFP,3144,A5-38,RCOT5-FALP,,285,100,3
3,01PFP,3144,A4-18,RCOT5-FALP,,385,100,3
3,01PFP,3144,A5-09,RCOT5-FALP,,140,100,3
3,01PFP,3144,A5-23,RCOT5-FALP,,210,100,3
3,01PFP,3144,E5-18,RCOT5-FALP,,690,100,3
3,01PFP,3144,E5-20,RCOT5-FALP,,745,100,3
3,01PFP,3144,A5-27,RCOT5-FALP,,230,100,3
3,01PFP,3144,A5-30,RCOT5-FALP,,245,100,3
3,01PFP,3144,A6-06,RCOT5-FALP,,65,100,3
3,01PFP,3144,A5-14,RCOT5-FALP,,165,100,3
3,01PFP,3144,A6-11,RCOT5-FALP,,90,100,3
3,01PFP,3144,A4-35,RCOT5-FALP,,470,100,3
3,01PFQ,3144,F1-02,RCOT7-FALP,,50,100,3
3,01PFQ,3144,E1-19,RCOT7-FALP,,190,100,3
3,01PFQ,3144,E1-25,RCOT7-FALP,,220,100,3
3,01PFQ,3144,F1-04,RCOT7-FALP,,60,100,3
3,01PFQ,3144,E1-33,RCOT7-FALP,,260,100,3
