Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFP,3138,A4-10,RCOT5-FALP,,345,100,3
3,01PFP,3138,A4-21,RCOT5-FALP,,400,100,3
3,01PFP,3138,A4-27,RCOT5-FALP,,430,100,2
3,01PFP,3138,E5-02,RCOT5-FALP,,665,100,2
3,01PFP,3138,E5-06,RCOT5-FALP,,675,100,2
3,01PFQ,3138,F1-04,RCOT7-FALP,,60,100,2
3,01PFQ,3138,E1-16,RCOT7-FALP,,175,100,2
3,01PFQ,3138,E1-19,RCOT7-FALP,,190,100,2
3,01PFQ,3138,F1-19,RCOT7-FALP,,330,100,2
3,01PFQ,3138,F3-09,RCOT7-FALP,,710,100,2
