Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFQ,3138,E1-38,RCOT7-FALP,,285,100,1
3,01PFQ,3138,E1-33,RCOT7-FALP,,260,100,1
3,01PFQ,3138,F3-09,RCOT7-FALP,,710,100,1
3,01PFQ,3138,F1-11,RCOT7-FALP,,95,100,1
3,01PFQ,3138,E1-14,RCOT7-FALP,,165,100,1
3,01PFQ,3138,F1-09,RCOT7-FALP,,85,100,1
3,01PFQ,3138,E1-03,RCOT7-FALP,,110,100,1
3,01PFQ,3138,F1-01,RCOT7-FALP,,45,100,1
3,01PFH,3138,E6-07,RCOT10-FALP,,370,100,1
3,01PFH,3138,A2-29,RCOT10-FALP,,190,100,1
3,01PFH,3138,D6-07,RCOT10-FALP,,1050,100,1
3,01PFH,3138,A1-02,RCOT10-FALP,,270,100,1
3,01PFH,3138,A2-22,RCOT10-FALP,,150,100,1
3,01PFK,3138,E6-08,RCOT19-FALP,,540,100,1
3,01PFP,3138,E5-01,RCOT5-FALP,,580,100,1
3,01PFP,3138,A3-19,RCOT5-FALP,,505,100,1
3,01PFP,3138,E5-09,RCOT5-FALP,,1075,100,1
3,01PFP,3138,A4-12,RCOT5-FALP,,355,100,1
3,01PFP,3138,A5-11,RCOT5-FALP,,150,100,1
3,01PFP,3138,A4-07,RCOT5-FALP,,330,100,1
3,01PFP,3138,E5-06,RCOT5-FALP,,890,100,1
3,01PF1,3138,E6-09,RCOT13-FALP,,370,100,1
3,01PF1,3138,C6-12,RCOT13-FALP,,220,100,1
3,01PF1,3138,B6-18,RCOT13-FALP,,180,100,1
3,01PF1,3138,B6-20,RCOT13-FALP,,215,100,1
3,01S68,3138,E6-06,RCOT17-FALP,,480,100,1
3,01PFJ,3138,E6-02,RCOT15-FALP,,625,100,1
3,01PFH,3138,A1-04,RCOT10-FALP,,285,100,1
3,01PFH,3138,D6-05,RCOT10-FALP,,580,100,1
3,01PFP,3138,A4-27,RCOT5-FALP,,430,100,1
3,01PFP,3138,A4-21,RCOT5-FALP,,400,100,1
3,01PFP,3138,E5-05,RCOT5-FALP,,675,100,1
3,01PFK,3138,C3-06,RCOT19-FALP,,180,100,1
3,01PFK,3138,D6-14,RCOT19-FALP,,380,100,1
3,01PFK,3138,D6-15,RCOT19-FALP,,535,100,1
3,01PFQ,3138,E1-19,RCOT7-FALP,,190,100,1
3,01PFQ,3138,F3-08,RCOT7-FALP,,475,100,1
3,01PFQ,3138,F1-18,RCOT7-FALP,,325,100,1
3,01PF1,3138,B6-18,RCOT13-FALP,,180,100,1
3,01PF1,3138,D6-11,RCOT13-FALP,,580,100,1
3,7410,3138,G3-32,VO12X0.5 (B),,155,100,1
