Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFP,4105,A5-02,RCOT5-FALP,,105,100,2
3,02KY1,4105,M1-20,VO18X0.6(B)-FALP,With Slit,185,100,2
3,02KY1,4105,M2-12,VO18X0.6(B)-FALP,With Slit,390,100,2
3,02KYA,4105,F6-28,VO18X1(B)-FALP,With Slit,240,100,2
3,02KXU,4105,J2-10,VO6X0.5(B)-FALP,With Slit,220,100,2
3,01JJU,4105,Temp Location,VSC100BS,,115,100,2
3,01JJU,4105,Temp Location,VSC100BS,,250,100,2
3,01JJS,4105,Temp Location,VSC50BS,,95,100,2
3,01JJS,4105,Temp Location,VSC50BS,,135,100,2
3,01JJS,4105,Temp Location,VSC50BS,,150,100,2
3,01JJS,4105,Temp Location,VSC50BS,,450,100,2
3,01JJT,4105,Temp Location,VSC70BS,,70,100,2
3,01JJT,4105,E4-67,VSC70BS,,110,100,2
3,01JJT,4105,Temp Location,VSC70BS,,130,100,2
3,01JJT,4105,Temp Location,VSC70BS,,135,100,2
3,01JJT,4105,Temp Location,VSC70BS,,155,100,2
3,01JJT,4105,Temp Location,VSC70BS,,285,100,2
3,01JJT,4105,Temp Location,VSC70BS,,340,100,2
3,01PFP,4106,A5-02,RCOT5-FALP,,105,100,2
3,02KY0,4106,M2-03,VO16X0.6(B)-FALP,,185,100,2
3,02KY9,4106,F6-30,VO16X1(B)-FALP,,240,100,2
3,02KY1,4106,M2-12,VO18X0.6(B)-FALP,With Slit,390,100,2
3,02KXU,4106,J2-10,VO6X0.5(B)-FALP,With Slit,220,100,2
3,01JJU,4106,Temp Location,VSC100BS,,115,100,2
3,01JJU,4106,Temp Location,VSC100BS,,250,100,2
3,01JJS,4106,Temp Location,VSC50BS,,95,100,2
3,01JJS,4106,Temp Location,VSC50BS,,135,100,2
3,01JJS,4106,Temp Location,VSC50BS,,150,100,2
3,01JJS,4106,Temp Location,VSC50BS,,450,100,2
3,01JJT,4106,Temp Location,VSC70BS,,70,100,2
3,01JJT,4106,E4-67,VSC70BS,,110,100,2
3,01JJT,4106,Temp Location,VSC70BS,,130,100,2
3,01JJT,4106,Temp Location,VSC70BS,,135,100,2
3,01JJT,4106,Temp Location,VSC70BS,,155,100,2
3,01JJT,4106,Temp Location,VSC70BS,,285,100,2
3,01JJT,4106,Temp Location,VSC70BS,,340,100,2
3,02KXW,4108,L4-03,VO10X0.5(B)-FALP,With Slit,145,100,2
3,02KXW,4108,L6-11,VO10X0.5(B)-FALP,With Slit,310,100,2
3,02KXW,4108,L5-11,VO10X0.5(B)-FALP,With Slit,400,100,2
3,02KXW,4108,L6-12,VO10X0.5(B)-FALP,With Slit,425,100,2
3,02KXX,4108,L1-13,VO12X0.5(B)-FALP,With Slit,35,100,2
3,02KXT,TOYOTA INITIAL 581B,M2-25,VO4X0.5(B)-FALP,,485,100,2
3,02KXT,TOYOTA INITIAL 581B,M2-30,VO4X0.5(B)-FALP,,500,100,2
3,02KXT,4108,M2-28,VO4X0.5(B)-FALP,With Slit,100,100,2
3,02KXT,4108,M2-29,VO4X0.5(B)-FALP,With Slit,110,100,2
3,02KXT,4108,M2-10,VO4X0.5(B)-FALP,With Slit,235,100,2
3,02KXU,4108,J5-36,VO6X0.5(B)-FALP,,170,100,2
3,02KXU,4108,J6-36,VO6X0.5(B)-FALP,With Slit,140,100,2
3,02KXU,4108,J6-37,VO6X0.5(B)-FALP,With Slit,145,100,2
3,02KXU,4108,J6-38,VO6X0.5(B)-FALP,With Slit,150,100,2
3,01JJS,4108,Temp Location,VSC50BS,,70,100,2
3,01JJS,4108,Temp Location,VSC50BS,,255,100,2
3,01JJS,4108,Temp Location,VSC50BS,,310,100,2
3,01JJT,4108,Temp Location,VSC70BS,,60,100,2
3,01JJT,4108,E4-77,VSC70BS,,70,100,2
3,01JJT,4108,E4-65,VSC70BS,,150,100,2
3,01JJT,4108,Temp Location,VSC70BS,,355,100,2
3,01JJT,4108,Temp Location,VSC70BS,,360,100,2
