Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01JJU,VN_4110,O3-17,VSC100BS,,130,100,4
3,01JJU,VN_4110,Q2-07,VSC100BS,,480,100,4
3,01JJV,VN_4110,Q3-01,VSC120BS,,85,100,4
3,01JJV,VN_4110,Q3-02,VSC120BS,,325,100,4
3,02KXU,VN_4110,J3-40,VO6X0.5(B)-FALP,With Slit,160,100,4
3,02KXU,VN_4110,J2-11,VO6X0.5(B)-FALP,With Slit,225,100,4
3,02KXU,VN_4110,Q2-01,VO6X0.5(B)-FALP,With Slit,250,100,4
3,02KXV,VN_4110,K3-20,VO8X0.5(B)-FALP,With Slit,115,100,4
3,02KXV,VN_4110,K3-28,VO8X0.5(B)-FALP,With Slit,155,100,4
3,02KXV,VN_4110,K3-36,VO8X0.5(B)-FALP,With Slit,190,100,4
3,02KXV,VN_4110,K3-40,VO8X0.5(B)-FALP,With Slit,230,100,4
3,02KXV,VN_4110,Q1-15,VO8X0.5(B)-FALP,With Slit,240,100,4
3,02KXV,VN_4110,Q1-16,VO8X0.5(B)-FALP,With Slit,300,100,4
3,342,VN_4111,Q3-08,JPN_NCOT7,,30,100,4
3,342,VN_4111,Q3-09,JPN_NCOT7,,55,100,4
3,342,VN_4111,Q3-10,JPN_NCOT7,,60,100,4
3,342,VN_4111,Q3-11,JPN_NCOT7,,70,100,4
3,342,VN_4111,Q3-12,JPN_NCOT7,,80,100,4
3,342,VN_4111,Q3-13,JPN_NCOT7,,125,100,4
3,342,VN_4111,Q3-14,JPN_NCOT7,,130,100,4
3,01JJU,VN_4111,Q2-08,VSC100BS,,80,100,4
3,01JJU,VN_4111,Q2-09,VSC100BS,,210,100,4
3,01JJU,VN_4111,Q2-10,VSC100BS,,300,100,4
3,01JJU,VN_4111,Q2-11,VSC100BS,,385,100,4
3,02KXW,VN_4111,L4-01,VO10X0.5(B)-FALP,With Slit,135,100,4
3,02KXW,VN_4111,L4-26,VO10X0.5(B)-FALP,With Slit,150,100,4
3,02KXY,VN_4111,M4-01,VO14X0.5(B)-FALP,With Slit,190,100,4
3,02KYC,VN_4111,Q1-04,VO22X1(B)-FALP,With Slit,50,100,4
3,02KYC,VN_4111,Q1-05,VO22X1(B)-FALP,With Slit,110,100,4
3,02KYC,VN_4111,Q1-06,VO22X1(B)-FALP,With Slit,310,100,4
3,19015,VN_4111,Q1-07,JPN_NCOT5,,60,100,4
3,19015,VN_4111,Q1-08,JPN_NCOT5,,95,100,4
3,19015,VN_4111,Q1-09,JPN_NCOT5,,145,100,4
3,19015,VN_4111,Q1-10,JPN_NCOT5,,155,100,4
3,19015,VN_4111,Q1-11,JPN_NCOT5,,250,100,4
3,19015,VN_4111,Q1-12,JPN_NCOT5,,410,100,4
3,19015,VN_4111,Q1-13,JPN_NCOT5,,790,100,4
3,19015,VN_4111,Q1-14,JPN_NCOT5,,795,100,4
3,01JJU,VN_4112,Q2-12,VSC100BS,,75,100,4
3,01JJU,VN_4112,Q2-13,VSC100BS,,135,100,4
3,01JJU,VN_4112,Q2-14,VSC100BS,,255,100,4
3,01JJU,VN_4112,Q2-15,VSC100BS,,350,100,4
3,01JJV,VN_4112,Q3-04,VSC120BS,,75,100,4
3,01JJV,VN_4112,Q3-05,VSC120BS,,80,100,4
3,01JJV,VN_4112,Q3-06,VSC120BS,,135,100,4
3,01JJV,VN_4112,Q3-07,VSC120BS,,255,100,4
3,02KXU,VN_4112,J3-32,VO6X0.5(B)-FALP,With Slit,120,100,4
3,02KXU,VN_4112,J3-35,VO6X0.5(B)-FALP,With Slit,135,100,4
3,02KXU,VN_4112,J2-14,VO6X0.5(B)-FALP,With Slit,245,100,4
3,02KXX,VN_4112,L1-18,VO12X0.5(B)-FALP,With Slit,65,100,4
3,02KY7,VN_4112,Q1-01,VO12X1(B)-FALP,With Slit,345,100,4
3,02KY8,VN_4112,Q1-02,VO14X1(B)-FALP,With Slit,345,100,4
3,02KYD,VN_4112,Q1-03,VO24X1(B)-FALP,With Slit,40,100,4
3,16834,VN_4112,Q2-02,HNCOT7-GR,,85,100,4
3,16834,VN_4112,Q2-03,HNCOT7-GR,,530,100,4
3,16836,VN_4112,Q2-04,HNCOT10-GR,,65,100,4
3,16836,VN_4112,Q2-05,HNCOT10-GR,,75,100,4
3,16836,VN_4112,Q2-06,HNCOT10-GR,,280,100,4
