Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01JJS,VN_4113,Q6-02,VSC50BS,,60,100,4
3,01JJS,VN_4113,O3-08,VSC50BS,,90,100,4
3,01JJS,VN_4113,Q6-03,VSC50BS,,95,100,4
3,01JJT,VN_4113,O3-38,VSC70BS,,70,100,4
3,01JJT,VN_4113,Q6-01,VSC70BS,,90,100,4
3,01JJT,VN_4113,O3-50,VSC70BS,,95,100,4
3,01JJU,VN_4113,O3-12,VSC100BS,,70,100,4
3,01JJU,VN_4113,Q5-14,VSC100BS,,100,100,4
3,01JJU,VN_4113,Q5-12,VSC100BS,,125,100,4
3,01JJU,VN_4113,Q5-11,VSC100BS,,170,100,4
3,01JJU,VN_4113,Q5-09,VSC100BS,,235,100,4
3,01JJW,VN_4113,Q6-10,VSC150BS,,85,100,4
3,01JJW,VN_4113,Q6-11,VSC150BS,,125,100,4
3,01JJX,VN_4113,Q5-02,VSC200BS,,60,100,4
3,01PFH,VN_4113,A2-10,RCOT10-FALP,,90,100,4
3,01PFH,VN_4113,A2-12,RCOT10-FALP,,100,100,4
3,01PFH,VN_4113,A2-17,RCOT10-FALP,,125,100,4
3,01PFH,VN_4113,A2-24,RCOT10-FALP,,165,100,4
3,01PFH,VN_4113,A2-25,RCOT10-FALP,,170,100,4
3,01PFH,VN_4113,B1-07,RCOT10-FALP,,275,100,4
3,01PFH,VN_4113,D6-09,RCOT10-FALP,,310,100,4
3,01PFI,VN_4113,B6-12,RCOT13-FALP,,145,100,4
3,01PFI,VN_4113,Temp. Location,RCOT13-FALP,,195,100,4
3,01PFL,VN_4113,D1-05,RCOT22-FALP,,100,100,4
3,01PFL,VN_4113,Temp. Location,RCOT22-FALP,,110,100,4
3,01PFM,VN_4113,Temp. Location,RCOT25-FALP,,90,100,4
3,01PFP,VN_4113,A6-08,RCOT5-FALP,,75,100,4
3,01PFP,VN_4113,A5-09,RCOT5-FALP,,140,100,4
3,01PFP,VN_4113,A5-26,RCOT5-FALP,,225,100,4
3,01PFP,VN_4113,A5-33,RCOT5-FALP,,260,100,4
3,01PFQ,VN_4113,F1-05,RCOT7-FALP,,65,100,4
3,01PFQ,VN_4113,E1-03,RCOT7-FALP,,110,100,4
3,01PFQ,VN_4113,E1-13,RCOT7-FALP,,160,100,4
3,02KXX,VN_4113,L2-19,VO12X0.5(B)-FALP,With Slit,115,100,4
3,02KY4,VN_4113,Temp. Location,VO6X1(B)-FALP,With Slit,40,100,4
3,02KY4,VN_4113,Temp. Location,VO6X1(B)-FALP,With Slit,85,100,4
3,01JJS,VN_4114,O3-21,VSC50BS,,75,100,4
3,01JJS,VN_4114,Q6-07,VSC50BS,,315,100,4
3,01JJT,VN_4114,Q5-20,VSC70BS,,105,100,4
3,01JJT,VN_4114,O2-69,VSC70BS,,175,100,4
3,01JJT,VN_4114,Q5-18,VSC70BS,,240,100,4
3,01JJT,VN_4114,O2-64,VSC70BS,,340,100,4
3,01JJU,VN_4114,Q5-15,VSC100BS,,55,100,4
3,01JJU,VN_4114,Q5-20,VSC100BS,,105,100,4
3,01JJU,VN_4114,Q5-08,VSC100BS,,175,100,4
3,01JJU,VN_4114,Q5-07,VSC100BS,,240,100,4
3,01JJV,VN_4114,Q6-08,VSC120BS,,105,100,4
3,01JJV,VN_4114,Q5-04,VSC120BS,,315,100,4
3,01JJW,VN_4114,Q6-09,VSC150BS,,175,100,4
3,01PFH,VN_4114,A2-03,RCOT10-FALP,,50,100,4
3,01PFH,VN_4114,A2-05,RCOT10-FALP,,65,100,4
3,01PFH,VN_4114,A2-12,RCOT10-FALP,,100,100,4
3,01PFH,VN_4114,A2-18,RCOT10-FALP,,130,100,4
3,01PFH,VN_4114,A2-20,RCOT10-FALP,,140,100,4
3,01PFH,VN_4114,A2-23,RCOT10-FALP,,155,100,4
3,01PFH,VN_4114,B1-04,RCOT10-FALP,,160,100,4
3,01PFH,VN_4114,A2-27,RCOT10-FALP,,180,100,4
3,01PFH,VN_4114,A2-28,RCOT10-FALP,,185,100,4
3,01PFH,VN_4114,A2-31,RCOT10-FALP,,200,100,4
3,01PFH,VN_4114,A1-01,RCOT10-FALP,,250,100,4
3,01PFH,VN_4114,E4-05,RCOT10-FALP,,260,100,4
3,01PFH,VN_4114,A1-14,RCOT10-FALP,,400,100,4
3,01PFH,VN_4114,D6-03,RCOT10-FALP,,420,100,4
3,01PFH,VN_4114,B1-10,RCOT10-FALP,,485,100,4
3,01PFI,VN_4114,C5-08,RCOT13-FALP,,240,100,4
3,01PFI,VN_4114,Temp. Location,RCOT13-FALP,,255,100,4
3,01PFI,VN_4114,Temp. Location,RCOT13-FALP,,265,100,4
3,01PFI,VN_4114,B6-25,RCOT13-FALP,,290,100,4
3,01PFI,VN_4114,Temp. Location,RCOT13-FALP,,1220,100,4
3,01PFJ,VN_4114,Temp. Location,RCOT15-FALP,,255,100,4
3,01PFJ,VN_4114,Temp. Location,RCOT15-FALP,,485,100,4
3,01PFK,VN_4114,Temp. Location,RCOT19-FALP,,485,100,4
3,01PFP,VN_4114,A6-03,RCOT5-FALP,,50,100,4
3,01PFP,VN_4114,A6-05,RCOT5-FALP,,60,100,4
3,01PFP,VN_4114,A6-06,RCOT5-FALP,,65,100,4
3,01PFP,VN_4114,A6-07,RCOT5-FALP,,70,100,4
3,01PFP,VN_4114,A6-09,RCOT5-FALP,,80,100,4
3,01PFP,VN_4114,A6-11,RCOT5-FALP,,90,100,4
3,01PFP,VN_4114,A6-12,RCOT5-FALP,,95,100,4
3,01PFP,VN_4114,A5-03,RCOT5-FALP,,110,100,4
3,01PFP,VN_4114,A5-04,RCOT5-FALP,,115,100,4
3,01PFP,VN_4114,A5-05,RCOT5-FALP,,120,100,4
3,01PFP,VN_4114,A5-07,RCOT5-FALP,,130,100,4
3,01PFP,VN_4114,A5-08,RCOT5-FALP,,135,100,4
3,01PFP,VN_4114,A5-10,RCOT5-FALP,,145,100,4
3,01PFP,VN_4114,A5-11,RCOT5-FALP,,150,100,4
3,01PFP,VN_4114,A5-12,RCOT5-FALP,,155,100,4
3,01PFP,VN_4114,A5-14,RCOT5-FALP,,165,100,4
3,01PFP,VN_4114,A5-16,RCOT5-FALP,,175,100,4
3,01PFP,VN_4114,A5-18,RCOT5-FALP,,185,100,4
3,01PFP,VN_4114,A5-20,RCOT5-FALP,,195,100,4
3,01PFP,VN_4114,A5-21,RCOT5-FALP,,200,100,4
3,01PFP,VN_4114,A5-22,RCOT5-FALP,,205,100,4
3,01PFP,VN_4114,A5-26,RCOT5-FALP,,225,100,4
3,01PFP,VN_4114,A5-34,RCOT5-FALP,,265,100,4
3,01PFP,VN_4114,A4-03,RCOT5-FALP,,310,100,4
3,01PFP,VN_4114,A4-07,RCOT5-FALP,,330,100,4
3,01PFP,VN_4114,A4-13,RCOT5-FALP,,360,100,4
3,01PFP,VN_4114,A4-33,RCOT5-FALP,,460,100,4
3,01PFP,VN_4114,A6-18,RCOT5-FALP,,570,100,4
3,01PFP,VN_4114,Temp. Location,RCOT5-FALP,,1195,100,4
3,01PFQ,VN_4114,F1-05,RCOT7-FALP,,65,100,4
3,01PFQ,VN_4114,E1-05,RCOT7-FALP,,120,100,4
3,01PFQ,VN_4114,E1-10,RCOT7-FALP,,145,100,4
3,01PFQ,VN_4114,E1-12,RCOT7-FALP,,155,100,4
3,01PFQ,VN_4114,E1-13,RCOT7-FALP,,160,100,4
3,01PFQ,VN_4114,E1-14,RCOT7-FALP,,165,100,4
3,01PFQ,VN_4114,E1-22,RCOT7-FALP,,205,100,4
3,01PFQ,VN_4114,F1-12,RCOT7-FALP,,300,100,4
3,02KXU,VN_4114,J3-28,VO6X0.5(B)-FALP,With Slit,95,100,4
3,02KXW,VN_4114,L5-18,VO10X0.5(B)-FALP,With Slit,70,100,4
3,02KXW,VN_4114,L4-01,VO10X0.5(B)-FALP,With Slit,135,100,4
3,02KXW,VN_4114,L4-03,VO10X0.5(B)-FALP,With Slit,145,100,4
3,02KXX,VN_4114,L2-09,VO12X0.5(B)-FALP,With Slit,60,100,4
3,02KXY,VN_4114,M5-10,VO14X0.5(B)-FALP,With Slit,60,100,4
