Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,02KXV,2112,K1-20,VO8X0.5(B)-FALP,,185,100,1
3,02KXV,2113,K1-20,VO8X0.5(B)-FALP,,185,100,6
3,01PFP,Honda TKRA Initial,A6-10,RCOT5-FALP,,85,100,1
3,01PFP,3139,A6-04,RCOT5-FALP,,55,100,2
3,01FPQ,3139,F1-04,RCOT7-FALP,,60,100,1
3,01PFP,Honda T20 INITIAL,A5-07,RCOT5-FALP,,130,100,1
3,01PFP,T20 INITIAL_L6,A6-03,RCOT5-FALP,,50,100,1
3,01PFP,T20 INITIAL_L6,A5-07,RCOT5-FALP,,130,100,2
3,01PFP,T20 INITIAL_L6,A6-10,RCOT5-FALP,,85,100,1
3,01PFP,T20 INITIAL_L1,A5-07,RCOT5-FALP,,130,100,3
3,01PFP,Toyota Initial,A6-09,RCOT5-FALP,,80,100,6
3,01PFP,Toyota Initial,A5-24,RCOT5-FALP,,215,100,2
3,01PFP,Toyota Initial,A5-40,RCOT5-FALP,,295,100,1
3,02KXU,Toyota Initial,J5-22,VO6X0.5(B)-FALP,,100,100,3
3,02KXU,Toyota Initial,J4-12,VO6X0.5(B)-FALP,,290,100,1
3,02KXU,Toyota Initial,J4-14,VO6X0.5(B)-FALP,,300,100,1
3,02KXT,Toyota Initial,M2-20,VO4X0.5(B)-FALP,,620,100,6
3,02KXT,Toyota Initial,M2-22,VO4X0.5(B)-FALP,,185,100,6
3,02KXT,Toyota Initial,M2-33,VO4X0.5(B)-FALP,,485,100,4
3,01LUV,5015,O4-16,VS100X0.3FP,,70,100,1
3,7290,Suzuki Y2R Initial,O6-30,VO8X0.5(Y),,120,100,5
3,7290,Suzuki YT3 Initial,O6-26,VO8X0.5(Y),,45,100,1
3,02KXV,GC7Y_Subaru Initial,K1-08,VO8X0.5(B)-FALP,,135,100,7
3,02KXU,GC7Y_7110,J3-42,VO6X0.5(B)-FALP,With Slit,170,100,2
3,02KXV,GC7Y_7110,K1-08,VO8X0.5(B)-FALP,,135,100,6
3,02KY0,GC7Y_7108,M2-04,VO16X0.6(B)-FALP,With Slit,360,50,1
3,02KYB,GC7Y_7108,N5-18,VO20X1(B)-FALP,With Slit,330,50,2
3,01LUU,GC7Y_7108,O3-69,VS100FP,,140,100,5
3,02KYA,GC7Y_7108,N5-16,VO18X1(B)-FALP,With Slit,295,50,2
3,02KYA,GC7Y_7108,N5-14,VO18X1(B)-FALP,With Slit,405,50,1
3,02KXU,GC7Y_7108,J3-42,VO6X0.5(B)-FALP,With Slit,170,100,2
3,02KYE,GC7Y_7104,N3-21,VO26X1(B)-FALP,With Slit,260,50,1
3,01LUT,GC7Y_7104,H3-02,NCOT5-FALP,,85,100,3
3,02KYE,GC7Y_7104,N3-22,VO26X1(B)-FALP,With Slit,330,50,1
3,01MNP,GC7Y_7104,H1-12,NCOT7-FALP,,115,100,3
3,02KXV,GC7Y_7104,K3-14,VO8X0.5(B)-FALP,With Slit,80,100,1
3,02KY1,GC7Y_7104,M6-28,VO18X0.6(B)-FALP,With Slit,465,50,2
3,02KY2,GC7Y_7104,N2-22,VO20X0.6(B)-FALP,With Slit,370,50,2
3,01MNP,GC7Y_7104,H1-14,NCOT7-FALP,,105,100,4
3,02KY2,GC7Y_7104,N2-21,VO20X0.6(B)-FALP,With Slit,365,50,1
3,01LUU,GC7Y_7104,O3-69,VS100FP,,140,100,5
3,02KXX,GC7Y_7112,L2-23,VO12X0.5(B)-FALP,With Slit,150,100,3
3,02KXW,GC7Y_7112,L4-06,VO10X0.5(B)-FALP,With Slit,275,100,2
3,02KXU,GC7Y_7119,J3-42,VO6X0.5(B)-FALP,With Slit,170,100,1
3,01MKW,Battery Initial,D3-17,NCOT19-NC-FALP,,255,50,1
3,01MKW,Battery Initial,D3-18,NCOT19-NC-FALP,,475,50,1
3,01MKX,Battery Initial,D3-22,NCOT25-NC-FALP,,180,50,1
3,01MKX,Battery Initial,D3-21,NCOT25-NC-FALP,,205,50,1
3,02KY8,Battery Initial,N4-15,VO14X1(B)-FALP,,215,50,1
