Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01MKW,Battery Initial,D3-17,NCOT19-NC-FALP,,255,50,1
3,01MKW,Battery Initial,D3-18,NCOT19-NC-FALP,,475,50,2
3,01MKX,Battery Initial,D3-22,NCOT25-NC-FALP,,180,50,1
3,01MKX,Battery Initial,D3-21,NCOT25-NC-FALP,,205,50,2
3,351,Battery Initial,D4-04,NCOT7-NC,,275,100,2
3,01PFH,Battery Initial,A1-16,RCOT10-FALP,,330,100,1
3,01S6B,Battery Initial,D3-04,RCOT10-NC-FALP,,160,100,1
3,01S6B,Battery Initial,D3-06,RCOT10-NC-FALP,,210,100,1
3,01S6B,Battery Initial,D3-11,RCOT10-NC-FALP,,330,100,6
3,02KY6,Battery Initial,N4-09,VO10X1(B)-FALP,,270,100,1
3,02KY8,Battery Initial,N4-15,VO14X1(B)-FALP,,215,50,2
3,02KY1,Battery Initial,M1-24,VO18X0.6(B)-FALP,,75,100,1
3,38826,5009,O4-40,VS120X0.3FP,,100,100,1
3,01PFH,3018,A2-35,RCOT10-FALP,,230,100,11
3,01PFQ,3018,E1-17,RCOT7-FALP,,180,100,10
3,01PFQ,3043,F1-04,RCOT7-FALP,,60,100,3
3,01PFQ,3043,F1-06,RCOT7-FALP,,70,100,4
3,01PFP,3043,A5-10,RCOT5-FALP,,145,100,3
3,01PFP,3037,A3-09,RCOT5-FALP,,710,100,1
3,7161,3037,G6-06,VO6X0.5(B),WITH SLIT,80,100,1
