Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFP,VN_2106,A6-02,RCOT5-FALP,,45,100,3
3,01PFP,VN_2106,A6-12,RCOT5-FALP,,95,100,3
3,01PFP,VN_2106,A5-06,RCOT5-FALP,,125,100,3
3,01PFP,VN_2106,A5-19,RCOT5-FALP,,190,100,3
3,01PFQ,VN_2106,E1-04,RCOT7-FALP,,60,100,3
3,01PFQ,VN_2106,E1-09,RCOT7-FALP,,140,100,3
3,01PFQ,VN_2106,F1-19,RCOT7-FALP,,330,100,3
3,02KXU,VN_2106,J5-27,VO6X0.5(B)-FALP,,125,100,3
3,02KXU,VN_2106,J5-28,VO6X0.5(B)-FALP,,130,100,3
3,02KXU,VN_2106,J5-29,VO6X0.5(B)-FALP,,135,100,3
3,02KXU,VN_2106,J5-34,VO6X0.5(B)-FALP,,160,100,3
3,02KXU,VN_2106,J5-36,VO6X0.5(B)-FALP,,170,100,3
3,02KXU,VN_2106,J4-01,VO6X0.5(B)-FALP,,220,100,3
3,02KXV,VN_2106,J1-26,VO8X0.5(B)-FALP,,70,100,3
3,02KXV,VN_2106,K1-01,VO8X0.5(B)-FALP,,100,100,3
3,02KXV,VN_2106,K1-36,VO8X0.5(B)-FALP,,275,100,3
3,02KXW,VN_2106,K5-24,VO10X0.5(B)-FALP,,100,100,3
3,02KXW,VN_2106,K5-25,VO10X0.5(B)-FALP,,105,100,3
3,02KXW,VN_2106,K6-04,VO10X0.5(B)-FALP,,160,100,3
3,08877,VN_2106,Temp. Location,VS100,,85,100,3
3,08878,VN_2106,O1-04,VS70,,50,100,3
3,08878,VN_2106,O1-08,VS70,,60,100,3
3,08878,VN_2106,Temp. Location,VS70,,80,100,3
3,08878,VN_2106,O1-07,VS70,,95,100,3
3,08878,VN_2106,O1-14,VS70,,115,100,3
3,08878,VN_2106,O1-20,VS70,,145,100,3
3,08878,VN_2106,O1-19,VS70,,170,100,3
3,08878,VN_2106,O1-24,VS70,,175,100,3
3,08878,VN_2106,Temp. Location,VS70,,185,100,3
3,08878,VN_2106,O1-40,VS70,,335,100,3
3,17539,VN_2106,O2-15,VS50,,130,100,3
