Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01JJT,VN_4110,O2-66,VSC70BS,,130,100,2
3,01PFH,VN_2109,D6-09,RCOT10-FALP,,310,100,2
3,02KXU,VN_2109,J5-40,VO6X0.5(B)-FALP,,185,100,2
3,02KXU,VN_2109,J5-27,VO6X0.5(B)-FALP,,125,100,2
3,02KXU,VN_2109,J5-38,VO6X0.5(B)-FALP,,175,100,2
3,02KXW,VN_2109,Special Kanban,VO10X0.5(B)-FALP,,220,100,2
3,02KXW,VN_2109,Special Kanban,VO10X0.5(B)-FALP,,235,100,2
3,02KXX,VN_2109,L3-26,VO12X0.5(B)-FALP,,180,100,2
3,8877,VN_2109,O2-46,VS100,,95,100,2
3,8877,VN_2109,Special Kanban,VS100,,280,100,2
3,8877,VN_2109,Special Kanban,VS100,,120,100,2
3,8659,VN_2109,O2-75,VS120,,100,100,2
3,8878,VN_2109,O1-20,VS70,,145,100,2
