Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFH,2117,A2-25,RCOT10-FALP,,170,100,4
3,01PFI,2117,B6-01,RCOT13-FALP,,55,100,4
3,01PFJ,2117,B5-12,RCOT15-FALP,,100,100,4
3,01PFJ,2117,B5-09,RCOT15-FALP,,115,100,4
3,01PFJ,2117,B5-17,RCOT15-FALP,,190,100,4
3,01PFK,2117,Temp Location,RCOT19-FALP,,355,100,4
3,01PFP,2117,A6-11,RCOT5-FALP,,90,100,4
3,01PFP,2117,A5-03,RCOT5-FALP,,110,100,4
3,01PFP,2117,A5-12,RCOT5-FALP,,155,100,4
3,01PFP,2117,A5-15,RCOT5-FALP,,170,100,4
3,01PFP,2117,A5-18,RCOT5-FALP,,185,100,4
3,01PFQ,2117,F1-09,RCOT7-FALP,,85,100,4
3,01PFQ,2117,E1-01,RCOT7-FALP,,100,100,4
3,01PFQ,2117,E1-17,RCOT7-FALP,,180,100,4
3,01PFQ,2117,E1-26,RCOT7-FALP,,225,100,4
3,02KXT,2117,M2-17,VO4X0.5(B)-FALP,,140,100,4
3,02KXV,2117,J1-21,VO8X0.5(B)-FALP,,45,100,4
3,02KXV,2117,J1-22,VO8X0.5(B)-FALP,,50,100,4
3,02KXX,2117,L2-07,VO12X0.5(B)-FALP,,40,100,4
3,02KXX,2117,L2-08,VO12X0.5(B)-FALP,,50,100,4
3,02KY0,2117,M2-11,VO16X0.6(B)-FALP,,70,100,4
3,08878,2117,O1-02,VS70,,55,100,4
3,08959,2117,O6-69,VS120,,75,100,4
3,16834,2117,F5-41,HNCOT7-GR,,50,100,4
3,23886,2117,F5-40,HNCOT5-GR,,230,100,4
3,36524,2117,F5-20,RCOT3,,75,100,4
3,36524,2117,F5-37,RCOT3,,220,100,4
3,02KXU,1008_290,J3-28,VO6X0.5(B)-FALP,With Slit,95,100,4
3,02KXU,1008_290,J3-04,VO6X0.5(B)-FALP,With Slit,410,100,4
3,02KXV,1008_290,J1-29,VO8X0.5(B)-FALP,,85,100,4
3,02KXV,1008_290,J1-30,VO8X0.5(B)-FALP,,90,100,4
3,02KXV,1008_290,K1-15,VO8X0.5(B)-FALP,,165,100,4
3,02KXV,1008_290,J1-01,VO8X0.5(B)-FALP,,400,100,4
3,02KXW,1008_290,L6-01,VO10X0.5(B)-FALP,With Slit,345,100,4
3,02KXU,1008_290,J3-10,VO6X0.5(B)-FALP,With Slit,300,100,4
3,02KXU,1008_290,J3-08,VO6X0.5(B)-FALP,With Slit,460,100,4
3,02KXV,1008_290,K3-17,VO8X0.5(B)-FALP,With Slit,95,100,4
3,01S6B,Battery Initial,D3-23,RCOT10-NC-FALP,,125,100,4
