Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,88987,2001,Y3-12,DFPH-RCOT5,,150,100,10
3,88979,2026,Temp Location,DFPH-RCOT10,,70,100,2
3,88979,2026,Temp Location,DFPH-RCOT10,,240,100,2
3,88987,2026,Y2-14,DFPH-RCOT5,,70,100,2
3,88987,2102,Y3-14,DFPH-RCOT5,,160,100,2
3,88988,2102,Temp Location,DFPH-RCOT7,,60,100,2
3,88988,2102,Z2-07,DFPH-RCOT7,,100,100,2
3,88979,2104,Y2-04,DFPH-RCOT10,,280,100,3
3,88980,2104,Z1-08,DFPH-RCOT13,,275,100,3
3,88987,2104,Y2-11,DFPH-RCOT5,,45,100,3
3,88987,2104,Y2-12,DFPH-RCOT5,,50,100,2
3,88987,2104,Y3-04,DFPH-RCOT5,,100,100,4
3,88987,2104,Y3-05,DFPH-RCOT5,,110,100,2
3,88987,2104,Y3-08,DFPH-RCOT5,,125,100,3
3,88987,2104,Y4-01,DFPH-RCOT5,,190,100,2
3,88988,2104,Z2-06,DFPH-RCOT7,,95,100,3
3,88988,2104,Z2-11,DFPH-RCOT7,,140,100,3
3,88988,2105,Z1-13,DFPH-RCOT7,,45,100,7
3,88988,2105,Z2-10,DFPH-RCOT7,,130,100,6
3,88979,2121,Y2-03,DFPH-RCOT10,,225,100,7
3,88987,2121,Y2-14,DFPH-RCOT5,,70,100,6
3,88979,2124,Y1-14,DFPH-RCOT10,,170,100,10
3,88979,2109,Y1-09,DFPH-RCOT10,,120,100,10
3,88979,2109,Y2-05,DFPH-RCOT10,,320,100,10
3,88987,2109,Y2-16,DFPH-RCOT5,,80,100,10
3,88987,2109,Y3-02,DFPH-RCOT5,,90,100,10
3,88987,2109,Y3-03,DFPH-RCOT5,,95,100,10
3,88988,2109,Z2-09,DFPH-RCOT7,,110,100,10
3,88981,2114,Z4-06,DFPH-RCOT15,,95,100,4
3,88981,2114,Z4-10,DFPH-RCOT15,,130,100,4
3,88984,2114,Z3-15,DFPH-RCOT25,,25,100,4
3,88987,2114,Y2-11,DFPH-RCOT5,,45,100,6
3,88987,2114,Y2-15,DFPH-RCOT5,,75,100,3
