Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFP,2001,A5-11,RCOT5-FALP,,150,100,5
3,02KXV,2102,K1-18,VO8X0.5(B)-FALP,,205,100,1
3,17539,2102,O2-32,VS50,,300,100,1
3,02KXV,2104,K1-22,VO8X0.5(B)-FALP,,195,100,1
3,8878,2104,O1-03,VS70,,75,100,1
3,8878,2104,O1-19,VS70,,170,100,2
3,01PFQ,2105,F1-01,RCOT7-FALP,,45,100,2
3,01PFQ,2105,E1-07,RCOT7-FALP,,130,100,1
3,02KXW,2105,K5-29,VO10X0.5(B)-FALP,,130,100,1
3,02KXY,2105,M6-14,VO14X0.5(B)-FALP,,180,100,3
3,02KXV,2105,K1-17,VO8X0.5(B)-FALP,,175,100,4
3,02KXV,2105,K1-26,VO8X0.5(B)-FALP,,225,100,2
3,02KY5,2105,N4-02,VO8X1(B)-FALP,,175,100,9
3,8877,2105,O2-45,VS100,,60,100,4
3,8877,2105,O2-49,VS100,,100,100,8
3,8877,2105,O2-57,VS100,,195,100,5
3,8959,2105,O2-75,VS120,,100,100,3
3,8878,2105,O1-02,VS70,,55,100,4
3,8878,2105,O1-08,VS70,,60,100,1
3,8878,2105,O1-12,VS70,,105,100,5
3,8878,2105,O1-10,VS70,,110,100,4
3,8878,2105,O1-17,VS70,,155,100,1
3,8878,2105,O1-27,VS70,,195,100,3
3,01PFQ,2106,F1-10,RCOT7-FALP,,90,100,2
3,01PFQ,2106,E1-02,RCOT7-FALP,,105,100,1
3,02KXW,2106,K5-19,VO10X0.5(B)-FALP,,75,100,2
3,02KXW,2106,K5-25,VO10X0.5(B)-FALP,,105,100,1
3,02KXW,2106,K6-04,VO10X0.5(B)-FALP,,160,100,2
3,02KXU,2106,J5-32,VO6X0.5(B)-FALP,,150,100,2
3,02KXV,2106,K1-01,VO8X0.5(B)-FALP,,100,100,5
3,02KXV,2106,K1-17,VO8X0.5(B)-FALP,,175,100,1
3,02KXV,2106,K1-24,VO8X0.5(B)-FALP,,215,100,2
3,8877,2106,O2-43,VS100,,55,100,1
3,8877,2106,O2-42,VS100,,75,100,3
3,8877,2106,O2-53,VS100,,180,100,2
3,17539,2106,O2-20,VS50,,175,100,1
3,17539,2106,O2-18,VS50,,200,100,1
3,17539,2106,O2-23,VS50,,215,100,2
3,17539,2106,O2-31,VS50,,285,100,1
3,8878,2106,O1-07,VS70,,95,100,2
3,8878,2106,O1-23,VS70,,160,100,13
3,8878,2106,O1-24,VS70,,175,100,1
3,02KXW,2107,K5-23,VO10X0.5(B)-FALP,,95,100,1
3,17539,2107,O2-07,VS50,,110,100,3
3,17539,2107,O2-16,VS50,,180,100,4
3,17539,2107,O2-29,VS50,,230,100,3
3,8878,2107,O1-35,VS70,,255,100,2
3,02KXY,2119,M6-04,VO14X0.5(B)-FALP,,75,100,3
3,02KXU,2119,J5-08,VO6X0.5(B)-FALP,,70,100,4
3,02KXU,2119,J5-43,VO6X0.5(B)-FALP,,205,100,2
3,02KY5,2119,N4-01,VO8X1(B)-FALP,,155,100,3
3,8877,2119,O2-58,VS100,,250,100,2
3,17539,2119,O2-10,VS50,,80,100,3
3,17539,2119,O2-15,VS50,,130,100,2
3,17539,2119,O2-34,VS50,,320,100,3
3,02KXU,2120,J5-11,VO6X0.5(B)-FALP,,85,100,5
3,02KXU,2120,J5-22,VO6X0.5(B)-FALP,,100,100,4
3,02KXV,2120,J1-29,VO8X0.5(B)-FALP,,85,100,5
3,02KXV,2120,J1-31,VO8X0.5(B)-FALP,,95,100,10
3,02KXV,2120,K1-23,VO8X0.5(B)-FALP,,210,100,5
3,02KY5,2120,N4-03,VO8X1(B)-FALP,,180,100,4
3,8877,2120,O2-46,VS100,,95,100,4
3,8877,2120,O2-47,VS100,,105,100,1
3,17539,2120,O2-13,VS50,,140,100,3
3,8878,2120,O1-04,VS70,,50,100,3
3,8878,2120,O1-14,VS70,,115,100,3
3,8878,2120,O1-17,VS70,,155,100,9
3,8878,2120,O1-26,VS70,,205,100,3
3,8878,2120,O1-32,VS70,,235,100,1
3,8878,2120,O1-33,VS70,,250,100,2
3,01PFH,2121,A2-34,RCOT10-FALP,,225,100,2
3,01PFP,2121,A6-07,RCOT5-FALP,,70,100,1
3,02KXW,2121,K5-17,VO10X0.5(B)-FALP,,65,100,2
3,02KXU,2121,J5-07,VO6X0.5(B)-FALP,,65,100,1
3,02KXV,2121,J1-25,VO8X0.5(B)-FALP,,65,100,2
3,8878,2121,O1-10,VS70,,110,100,2
3,8878,2121,O1-39,VS70,,270,100,15
3,02KXV,2122,K1-12,VO8X0.5(B)-FALP,,150,100,2
3,17539,2122,O2-09,VS50,,115,100,1
3,17539,2122,O2-14,VS50,,155,100,1
3,8878,2122,O1-21,VS70,,150,100,2
3,02KXV,2123,K2-03,VO8X0.5(B)-FALP,,320,100,1
3,17539,2123,O2-04,VS50,,75,100,2
3,8878,2123,O1-10,VS70,,110,100,1
