Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01LUV,5031,O4-21,VS100X0.3FP,,110,100,4
3,01LUV,5031,O4-79,VS100X0.3FP,,230,100,4
3,01LUT,5018,I3-14,NCOT5-FALP,,135,100,4
3,01LV5,5018,O4-80,VS70X0.3FP,,355,100,4
3,02KXU,5018,J5-06,VO6X0.5(B)-FALP,,60,100,2
3,02KXU,5018,J3-34,VO6X0.5(B)-FALP,With Slit,135,100,2
3,01LUT,5117,H3-25,NCOT5-FALP,,125,100,4
3,01LUT,5123,H3-25,NCOT5-FALP,,125,100,4
3,01LUT,5123,H3-29,NCOT5-FALP,,235,100,4
3,01LUT,5117,H3-29,NCOT5-FALP,,235,100,4
3,02KXV,5117,K1-02,VO8X0.5(B)-FALP,,105,100,2
3,02KXV,5123,K1-02,VO8X0.5(B)-FALP,,105,100,2
3,02KXW,5120,K5-26,VO10X0.5(B)-FALP,,110,100,2
3,02KXX,5120,L3-34,VO12X0.5(B)-FALP,,85,100,2
3,02KY0,5120,M2-25,VO16X0.6(B)-FALP,With Slit,75,100,2
3,01LUR,5119,I5-15,NCOT10-FALP,,50,100,4
3,01LUR,5119,I5-09,NCOT10-FALP,,260,100,4
3,01LUS,5119,I4-09,NCOT13-FALP,,50,100,4
3,01LUT,5119,H3-06,NCOT5-FALP,,45,100,2
3,01LUT,5119,H3-11,NCOT5-FALP,,65,100,2
3,01LUT,5119,H3-10,NCOT5-FALP,,100,100,2
3,01LUT,5119,H3-13,NCOT5-FALP,,130,100,2
3,01LUT,5119,H2-25,NCOT5-FALP,,160,100,2
3,01LUT,5119,H1-34,NCOT7-FALP,,255,100,2
3,02KXU,5119,J5-10,VO6X0.5(B)-FALP,,80,100,2
3,02KXU,5119,J5-39,VO6X0.5(B)-FALP,,180,100,2
3,02KXU,5119,J4-07,VO6X0.5(B)-FALP,,260,100,2
3,02KXU,5119,J5-18,VO6X0.5(B)-FALP,,270,100,4
3,02KXU,5119,J4-18,VO6X0.5(B)-FALP,,330,100,4
3,02KXU,5119,J4-20,VO6X0.5(B)-FALP,,350,100,4
3,02KXV,5119,K1-19,VO8X0.5(B)-FALP,,180,100,2
3,08159,5119,F5-06,HCOT13(GR),,90,100,4
3,01LUR,5124,I5-15,NCOT10-FALP,,50,100,4
3,01LUR,5124,I5-09,NCOT10-FALP,,260,100,4
3,01LUS,5124,I4-09,NCOT13-FALP,,50,100,4
3,01LUT,5124,H3-06,NCOT5-FALP,,45,100,2
3,01LUT,5124,H3-11,NCOT5-FALP,,65,100,2
3,01LUT,5124,H3-10,NCOT5-FALP,,100,100,2
3,01LUT,5124,H3-13,NCOT5-FALP,,130,100,2
3,01LUT,5124,H2-25,NCOT5-FALP,,160,100,2
3,01LUT,5124,H1-34,NCOT7-FALP,,255,100,2
3,02KXU,5124,J5-10,VO6X0.5(B)-FALP,,80,100,2
3,02KXU,5124,J5-39,VO6X0.5(B)-FALP,,180,100,2
3,02KXU,5124,J4-07,VO6X0.5(B)-FALP,,260,100,2
3,02KXU,5124,J5-18,VO6X0.5(B)-FALP,,270,100,4
3,02KXU,5124,J4-18,VO6X0.5(B)-FALP,,330,100,4
3,02KXU,5124,J4-20,VO6X0.5(B)-FALP,,350,100,4
3,02KXV,5124,K1-19,VO8X0.5(B)-FALP,,180,100,2
3,08159,5124,F5-06,HCOT13(GR),,90,100,4
3,01PFI,VN_3128,C5-04,RCOT13-FALP,,205,100,4
3,01PFI,VN_3128,C5-10,RCOT13-FALP,,65,100,4
3,01PFI,VN_3128,D4-01,RCOT13-FALP,,1430,100,4
3,01PFJ,VN_3128,B5-16,RCOT15-FALP,,175,100,4
3,01PFP,VN_3128,A6-11,RCOT5-FALP,,90,100,4
3,01PFP,VN_3128,A5-02,RCOT5-FALP,,105,100,4
3,01PFP,VN_3128,A5-34,RCOT5-FALP,,265,100,4
3,01PFP,VN_3128,A4-14,RCOT5-FALP,,760,100,4
3,01PFQ,VN_3128,F2-17,RCOT7-FALP,,635,100,4
