Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,02KXU,7104,J5-37,VO6X0.5(B)-FALP,,200,100,3
3,02KY1,7104,M1-14,VO18X0.6(B)-FALP,With Slit,165,100,2
3,01MNP,7108,Special Kanban,NCOT7-FALP,,270,100,2
3,02KXU,7108,J3-32,VO6X0.5(B)-FALP,With Slit,120,100,2
3,02KXV,7108,K3-06,VO8X0.5(B)-FALP,With Slit,35,100,2
3,02KXW,7108,K5-30,VO10X0.5(B)-FALP,,135,100,2
3,02KXX,7108,L2-13,VO12X0.5(B)-FALP,With Slit,85,100,2
3,02KXX,7108,Special Kanban,VO12X0.5(B)-FALP,With Slit,120,100,2
3,02KXX,7108,L3-18,VO12X0.5(B)-FALP,With Slit,120,100,2
3,02KY2,7108,Special Kanban,VO20X0.6(B)-FALP,With Slit,75,100,2
3,02KY2,7108,Special Kanban,VO20X0.6(B)-FALP,With Slit,310,100,2
3,02KY6,7108,Special Kanban,VO10X1(B)-FALP,With Slit,145,100,2
3,02KYB,7108,Special Kanban,VO20X1(B)-FALP,With Slit,295,50,2
3,02KYD,7108,Special Kanban,VO24X1(B)-FALP,With Slit,520,50,2
3,02KXY,7116,Special Kanban,VO14X0.5(B)-FALP,With Slit,450,50,2
