Production Lot,Parts Code,Line No,Stock Address,Parts Name,With Slit,Length (mm),Quantity,Required Kanban
3,02KXW,7112,L6-14,VO10X0.5(B)-FALP,With Slit,25,100,3
3,02KXW,7112,L4-08,VO10X0.5(B)-FALP,With Slit,170,100,3
3,02KXW,7112,L5-21,VO10X0.5(B)-FALP,With Slit,80,100,3
3,02KY1,7112,M1-20,VO18X0.6(B)-FALP,With Slit,80,100,3
3,02KXV,7112,K4-18,VO8X0.5(B)-FALP,With Slit,25,100,3
3,02KXV,7112,K3-21,VO8X0.5(B)-FALP,With Slit,120,100,3
3,02KXU,7112,J2-33,VO6X0.5(B)-FALP,With Slit,25,100,3
3,02KXX,7112,L2-27,VO12X0.5(B)-FALP,With Slit,170,100,3
3,02KY0,7112,M3-22,VO16X0.6(B)-FALP,With Slit,170,100,3
3,02KXY,7112,M5-29,VO14X0.5(B)-FALP,With Slit,170,100,3
3,02KXU,7112,J3-37,VO6X0.5(B)-FALP,With Slit,145,100,3
3,02KXX,7112,L2-23,VO12X0.5(B)-FALP,With Slit,150,100,3
3,02KXW,7112,L4-27,VO10X0.5(B)-FALP,With Slit,150,100,3
3,02KXW,7112,L4-06,VO10X0.5(B)-FALP,With Slit,275,100,3
3,02KXU,7112,J4-26,VO6X0.5(B)-FALP,,455,100,3
3,02KXX,7112,L1-11,VO12X0.5(B)-FALP,With Slit,25,100,3
3,02KXU,7112,J3-41,VO6X0.5(B)-FALP,With Slit,165,100,3
3,01MNP,7112,H1-18,NCOT7-FALP,,130,100,3
3,02KXU,7112,J3-05,VO6X0.5(B)-FALP,With Slit,435,100,3
3,02KXU,7112,J2-15,VO6X0.5(B)-FALP,With Slit,260,100,3
3,02KXV,7112,K3-08,VO8X0.5(B)-FALP,With Slit,50,100,3
3,02KXW,7112,L5-15,VO10X0.5(B)-FALP,With Slit,50,100,3
3,02KXU,7112,J3-32,VO6X0.5(B)-FALP,With Slit,120,100,3
3,02KXV,7112,K4-01,VO8X0.5(B)-FALP,With Slit,260,100,3
3,02KXV,7112,K1-16,VO8X0.5(B)-FALP,,170,100,3
3,02KXV,7112,K3-14,VO8X0.5(B)-FALP,With Slit,80,100,3
3,02KXX,7112,L1-20,VO12X0.5(B)-FALP,With Slit,275,100,3
,,,,,,,,
,,,,,,,,
,,,,,,,,
,, ,,,,,,
