Production Lot,Parts Code,Line No,Stock Address,Parts Name,With Slit,Length (mm),Quantity,Required Kanban
3,02KXV,GC7Y_7017,K4-19,VO8X0.5(B)-FALP,With Slit,280,100,3
3,02KXU,GC7Y_7017,J2-18,VO6X0.5(B)-FALP,With Slit,280,100,3
3,02KXX,GC7Y_7017,L1-13,VO12X0.5(B)-FALP,With Slit,35,100,3
3,02KXV,GC7Y_7017,K1-16,VO8X0.5(B)-FALP,,170,100,3
3,02KXU,GC7Y_7017,J4-26,VO6X0.5(B)-FALP,,455,100,3
3,02KXU,GC7Y_7017,J3-42,VO6X0.5(B)-FALP,With Slit,170,100,3
3,02KXW,GC7Y_7017,L4-01,VO10X0.5(B)-FALP,With Slit,135,100,3
3,02KXX,GC7Y_7017,L1-09,VO12X0.5(B)-FALP,With Slit,135,100,3
3,02KXX,GC7Y_7017,L2-14,VO12X0.5(B)-FALP,With Slit,90,100,3
3,02KXX,GC7Y_7017,L2-24,VO12X0.5(B)-FALP,With Slit,155,100,3
3,02KXU,GC7Y_7017,J3-05,VO6X0.5(B)-FALP,With Slit,435,100,3
3,02KXX,GC7Y_7017,L1-12,VO12X0.5(B)-FALP,With Slit,50,100,3
3,02KXV,GC7Y_7017,K3-08,VO8X0.5(B)-FALP,With Slit,50,100,3
3,02KXV,GC7Y_7017,K3-26,VO8X0.5(B)-FALP,With Slit,145,100,3
3,02KXY,GC7Y_7017,M5-17,VO14X0.5(B)-FALP,With Slit,90,100,3
3,02KXW,GC7Y_7017,L3-25,VO10X0.5(B)-FALP,With Slit,90,100,3
3,02KXY,GC7Y_7017,M5-26,VO14X0.5(B)-FALP,With Slit,155,100,3
3,02KY0,GC7Y_7017,M3-18,VO16X0.6(B)-FALP,With Slit,155,100,3
3,02KY1,GC7Y_7017,Special Kanban,VO18X0.6(B)-FALP,With Slit,155,50,3
3,02KXW,GC7Y_7017,L4-22,VO10X0.5(B)-FALP,With Slit,260,100,3
3,02KXX,GC7Y_7017,L1-01,VO12X0.5(B)-FALP,With Slit,260,100,3
3,02KXV,GC7Y_7017,K3-21,VO8X0.5(B)-FALP,With Slit,120,100,3
3,02KXU,GC7Y_7017,J3-32,VO6X0.5(B)-FALP,With Slit,120,100,3
3,02KXX,GC7Y_7017,L2-24,VO12X0.5(B)-FALP,With Slit,155,100,3
3,02KXV,GC7Y_7110,K3-11,VO8X0.5(B)-FALP,With Slit,65,100,3
3,01LV4,GC7Y_7110,O3-43,VS70FP,,130,100,3
3,01LUU,GC7Y_7110,O3-57,VS100FP,,130,100,3
3,02KXU,GC7Y_7110,J5-31,VO6X0.5(B)-FALP,,145,100,3
3,02KXV,GC7Y_7110,K1-33,VO8X0.5(B)-FALP,,260,100,3
3,02KXU,GC7Y_7110,J5-08,VO6X0.5(B)-FALP,,70,100,3
3,02KXV,GC7Y_7110,K1-32,VO8X0.5(B)-FALP,,255,100,3
3,02KXW,GC7Y_7110,K6-19,VO10X0.5(B)-FALP,,230,100,3
3,02KXV,GC7Y_7110,K1-30,VO8X0.5(B)-FALP,,245,100,3
3,02KXU,GC7Y_7110,J4-02,VO6X0.5(B)-FALP,,225,100,3
3,02KY0,GC7Y_7110,M2-28,VO16X0.6(B)-FALP,With Slit,600,50,3
3,02KXY,GC7Y_7110,L4-24,VO14X0.5(B)-FALP,With Slit,600,100,3
3,02KXV,GC7Y_7110,K1-10,VO8X0.5(B)-FALP,,140,100,3
3,02KXW,GC7Y_7110,L5-17,VO10X0.5(B)-FALP,With Slit,65,100,3
3,02KXV,GC7Y_7110,K1-11,VO8X0.5(B)-FALP,,145,100,3
