Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFH,3135,A6-05,RCOT10-FALP,,60,100,2
3,01PFH,3135,A2-14,RCOT10-FALP,,110,100,2
3,01PFH,3135,A2-15,RCOT10-FALP,,115,100,2
3,01PFH,3135,A2-18,RCOT10-FALP,,130,100,2
3,01PFH,3135,A2-23,RCOT10-FALP,,155,100,2
3,01PFH,3135,B1-06,RCOT10-FALP,,430,100,2
3,01PFH,3135,B1-10,RCOT10-FALP,,485,100,2
3,01PFH,3135,B2-01,RCOT10-FALP,,535,100,2
3,01PFH,3135,E4-03,RCOT10-FALP,,555,100,2
3,01PFH,3135,A3-18,RCOT10-FALP,,765,100,2
3,01PFI,3135,C5-12,RCOT13-FALP,,210,100,2
3,01PFI,3135,C6-17,RCOT13-FALP,,270,100,2
3,01PFI,3135,C5-14,RCOT13-FALP,,365,100,2
3,01PFI,3135,C5-09,RCOT13-FALP,,395,100,2
3,01PFJ,3135,B4-09,RCOT15-FALP,,235,100,2
3,01PFJ,3135,B4-13,RCOT15-FALP,,395,100,2
3,01PFJ,3135,B4-10,RCOT15-FALP,,510,100,2
3,01PFJ,3135,B4-14,RCOT15-FALP,,555,100,2
3,01PFK,3135,C2-16,RCOT19-FALP,,555,100,2
3,01PFP,3135,A6-08,RCOT5-FALP,,75,100,2
3,01PFP,3135,A6-10,RCOT5-FALP,,85,100,2
3,01PFP,3135,A5-01,RCOT5-FALP,,100,100,2
3,01PFP,3135,A5-02,RCOT5-FALP,,105,100,2
3,01PFP,3135,A5-05,RCOT5-FALP,,120,100,2
3,01PFP,3135,A5-08,RCOT5-FALP,,135,100,2
3,01PFP,3135,A5-12,RCOT5-FALP,,155,100,2
3,01PFP,3135,A5-13,RCOT5-FALP,,160,100,2
3,01PFP,3135,A5-15,RCOT5-FALP,,170,100,2
3,01PFP,3135,A5-18,RCOT5-FALP,,185,100,2
3,01PFP,3135,A5-21,RCOT5-FALP,,200,100,2
3,01PFP,3135,A4-13,RCOT5-FALP,,360,100,2
3,01PFP,3135,A4-24,RCOT5-FALP,,415,100,2
3,01PFP,3135,A4-27,RCOT5-FALP,,430,100,2
3,01PFP,3135,A4-31,RCOT5-FALP,,450,100,2
3,01PFP,3135,A4-37,RCOT5-FALP,,480,100,2
3,01PFP,3135,A3-13,RCOT5-FALP,,700,100,2
3,01PFP,3135,A3-14,RCOT5-FALP,,775,100,2
3,01PFP,3135,A3-15,RCOT5-FALP,,865,100,2
3,01PFP,3135,A3-20,RCOT5-FALP,,1255,100,2
3,01PFQ,3135,F1-07,RCOT7-FALP,,75,100,2
3,01PFQ,3135,E1-01,RCOT7-FALP,,100,100,2
3,01PFQ,3135,E1-11,RCOT7-FALP,,150,100,2
3,01PFQ,3135,E1-24,RCOT7-FALP,,215,100,2
3,01PFQ,3135,E1-28,RCOT7-FALP,,235,100,2
3,01PFQ,3135,E1-29,RCOT7-FALP,,240,100,2
3,01PFQ,3135,E1-31,RCOT7-FALP,,250,100,2
3,01PFQ,3135,E1-32,RCOT7-FALP,,255,100,2
3,01PFQ,3135,F1-32,RCOT7-FALP,,535,100,2
3,01S68,3135,E3-05,RCOT17-FALP,,210,100,2
3,01S68,3135,E3-07,RCOT17-FALP,,235,100,2
3,01S68,3135,E3-11,RCOT17-FALP,,365,100,2
