Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFP,3031,A6-12,RCOT5-FALP,,95,100,1
3,01PFP,3031,A5-30,RCOT5-FALP,,245,100,1
3,01PFP,3032,A5-17,RCOT5-FALP,,180,100,3
3,01PFH,3107,A2-34,RCOT10-FALP,,225,100,1
3,01PFP,3107,A6-03,RCOT5-FALP,,50,100,2
3,01PFP,3107,A5-01,RCOT5-FALP,,100,100,1
3,01PFP,3107,A5-04,RCOT5-FALP,,115,100,1
3,01PFP,3107,A5-09,RCOT5-FALP,,140,100,2
3,01PFP,3107,A5-10,RCOT5-FALP,,145,100,1
3,01PFP,3107,A5-13,RCOT5-FALP,,160,100,1
3,01PFP,3107,A5-22,RCOT5-FALP,,205,100,3
3,01PFQ,3107,E1-11,RCOT7-FALP,,150,100,1
3,01PFH,3108,A2-01,RCOT10-FALP,,30,100,2
3,01PFH,3108,A2-05,RCOT10-FALP,,65,100,4
3,01PFH,3108,A2-06,RCOT10-FALP,,70,100,5
3,01PFH,3108,A2-07,RCOT10-FALP,,75,100,3
3,01PFH,3108,A2-08,RCOT10-FALP,,80,100,3
3,01PFH,3108,A1-08,RCOT10-FALP,,320,100,2
3,01PFH,3108,B2-06,RCOT10-FALP,,785,100,2
3,01PFI,3108,B6-07,RCOT13-FALP,,100,100,2
3,01PFI,3108,B6-13,RCOT13-FALP,,155,100,2
3,01PFI,3108,B6-16,RCOT13-FALP,,170,100,6
3,01PFI,3108,B6-17,RCOT13-FALP,,175,100,2
3,01PFI,3108,B6-18,RCOT13-FALP,,180,100,3
3,01PFI,3108,B6-19,RCOT13-FALP,,200,100,5
3,01PFI,3108,B6-22,RCOT13-FALP,,230,100,3
3,01PFI,3108,B6-24,RCOT13-FALP,,275,100,2
3,01PFI,3108,B6-25,RCOT13-FALP,,290,100,3
3,01PFI,3108,C6-07,RCOT13-FALP,,610,100,2
3,01PFJ,3108,B3-03,RCOT15-FALP,,70,100,1
3,01PFJ,3108,B3-05,RCOT15-FALP,,95,100,2
3,01PFJ,3108,B3-06,RCOT15-FALP,,120,100,1
3,01PFJ,3108,B3-15,RCOT15-FALP,,325,100,3
3,01PFJ,3108,B3-21,RCOT15-FALP,,705,100,2
3,01PFJ,3108,B5-02,RCOT15-FALP,,730,100,3
3,01S68,3108,C4-05,RCOT17-FALP,,215,100,2
3,01S68,3108,C4-06,RCOT17-FALP,,240,100,2
3,01S68,3108,C4-07,RCOT17-FALP,,270,100,2
3,01S68,3108,C4-08,RCOT17-FALP,,405,100,2
3,01S68,3108,C4-09,RCOT17-FALP,,430,100,3
3,01S68,3108,C4-13,RCOT17-FALP,,505,100,1
3,01S68,3108,C4-15,RCOT17-FALP,,625,100,3
3,01PFP,3108,A6-03,RCOT5-FALP,,50,100,1
3,01PFP,3108,A6-06,RCOT5-FALP,,65,100,13
3,01PFP,3108,A6-08,RCOT5-FALP,,75,100,3
3,01PFP,3108,A6-09,RCOT5-FALP,,80,100,16
3,01PFP,3108,A6-10,RCOT5-FALP,,85,100,7
3,01PFP,3108,A6-11,RCOT5-FALP,,90,100,2
3,01PFP,3108,A6-12,RCOT5-FALP,,95,100,5
3,01PFP,3108,A5-01,RCOT5-FALP,,100,100,5
3,01PFP,3108,A5-02,RCOT5-FALP,,105,100,2
3,01PFP,3108,A5-03,RCOT5-FALP,,110,100,4
3,01PFP,3108,A5-05,RCOT5-FALP,,120,100,2
3,01PFP,3108,A5-06,RCOT5-FALP,,125,100,3
3,01PFP,3108,A5-10,RCOT5-FALP,,145,100,2
3,01PFP,3108,A5-11,RCOT5-FALP,,150,100,2
3,01PFP,3108,A5-15,RCOT5-FALP,,170,100,7
3,01PFP,3108,A5-16,RCOT5-FALP,,175,100,5
3,01PFP,3108,A5-21,RCOT5-FALP,,200,100,1
3,01PFP,3108,A5-22,RCOT5-FALP,,205,100,2
3,01PFP,3108,A5-25,RCOT5-FALP,,220,100,1
3,01PFP,3108,A5-28,RCOT5-FALP,,235,100,2
3,01PFP,3108,A5-35,RCOT5-FALP,,270,100,1
3,01PFP,3108,A5-38,RCOT5-FALP,,285,100,2
3,01PFP,3108,A5-40,RCOT5-FALP,,295,100,2
3,01PFP,3108,A4-22,RCOT5-FALP,,405,100,1
3,01PFP,3108,A4-27,RCOT5-FALP,,430,100,2
3,01PFP,3108,A4-30,RCOT5-FALP,,445,100,3
3,01PFP,3108,A6-27,RCOT5-FALP,,1050,100,1
3,01PFQ,3108,F1-04,RCOT7-FALP,,60,100,6
3,01PFQ,3108,F1-09,RCOT7-FALP,,85,100,2
3,01PFQ,3108,E1-01,RCOT7-FALP,,100,100,1
3,01PFQ,3108,E1-11,RCOT7-FALP,,150,100,2
3,01PFQ,3108,F3-04,RCOT7-FALP,,895,100,2
3,01PFH,3109,A2-01,RCOT10-FALP,,30,100,1
3,01PFH,3109,A2-08,RCOT10-FALP,,80,100,1
