Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFJ,1103,SPECIAL KANBAN,RCOT15-FALP,,155,50,1
3,01PFK,1103,SPECIAL KANBAN,RCOT19-FALP,,155,50,1
3,02KXY,1103,SPECIAL KANBAN,VO14X0.5(B)-FALP,With Slit,285,50,1
3,02KY0,1103,SPECIAL KANBAN,VO16X0.6(B)-FALP,With Slit,240,50,1
3,35391,1103,SPECIAL KANBAN,VO32X1(B),,60,50,1
3,01PFP,1121,A6-05,RCOT5-FALP,,60,100,1
3,01PFP,1121,A5-19,RCOT5-FALP,,190,100,1
3,01PFP,1121,A5-20,RCOT5-FALP,,195,100,1
3,02KXU,1008,J3-24,VO6X0.5(B)-FALP,With Slit,75,100,2
3,02KXU,1008,J5-09,VO6X0.5(B)-FALP,,75,100,2
3,02KXU,1008,J5-11,VO6X0.5(B)-FALP,,85,100,1
3,02KXU,1008,J5-22,VO6X0.5(B)-FALP,,100,100,3
3,02KXU,1008,J5-28,VO6X0.5(B)-FALP,,130,100,14
3,02KXU,1008,J5-35,VO6X0.5(B)-FALP,,165,100,2
3,02KXU,1008,J2-01,VO6X0.5(B)-FALP,With Slit,175,100,1
3,02KXV,1008,J1-27,VO8X0.5(B)-FALP,,75,100,14
3,02KXW,1118,L4-28,VO10X0.5(B)-FALP,With Slit,365,100,8
3,02KXY,1008,,VO14X0.5(B)-FALP,,95,100,18
3,02KXY,1008,M6-08,VO14X0.5(B)-FALP,,120,100,2
3,02KXY,1008,M5-22,VO14X0.5(B)-FALP,With Slit,125,50,1
3,02KY0,1121,,VO16X0.6(B)-FALP,With Slit,125,50,1
