Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,7230,5107,O1-57,VS70X0.3,,95,100,2
3,02KXW,5031,K6-02,VO10X0.5(B)-FALP,,150,100,2
3,02KXV,5107,J1-04,VO8X0.5(B)-FALP,,420,100,2
3,8146,5101,F5-08,HCOT10(GR),,45,100,2
3,8146,5102,F5-08,HCOT10(GR),,45,100,2
3,1859,5101,Temp.Location,HCOT13(GR),,45,100,2
3,1859,5102,Temp.Location,HCOT13(GR),,45,100,2
3,23270,5101,F4-02,HCOT5(GR),,45,100,2
3,23270,5102,F4-02,HCOT5(GR),,45,100,2
3,354,5101,Temp.Location,HCOT7(GR),,45,100,2
3,354,5102,Temp.Location,HCOT7(GR),,45,100,2
3,01LUR,5101,Temp.Location,NCOT10-FALP,,60,100,2
3,01LUR,5102,Temp.Location,NCOT10-FALP,,60,100,2
3,01LUR,5101,Temp.Location,NCOT10-FALP,,395,100,2
3,01LUR,5102,Temp.Location,NCOT10-FALP,,395,100,2
3,01LUS,5101,Temp.Location,NCOT13-FALP,,40,100,2
3,01LUS,5102,Temp.Location,NCOT13-FALP,,40,100,2
3,01LUT,5101,H3-12,NCOT5-FALP,,110,100,2
3,01LUT,5102,H3-12,NCOT5-FALP,,110,100,2
3,01LUT,5101,Temp.Location,NCOT5-FALP,,145,100,2
3,01LUT,5102,Temp.Location,NCOT5-FALP,,145,100,2
3,01LUT,5101,H3-18,NCOT5-FALP,,170,100,2
3,01LUT,5102,H3-18,NCOT5-FALP,,170,100,2
3,01LUT,5101,H3-27,NCOT5-FALP,,220,100,2
3,01LUT,5102,H3-27,NCOT5-FALP,,220,100,2
3,01MNP,5101,H1-24,NCOT7-FALP,,175,100,2
3,01MNP,5102,H1-24,NCOT7-FALP,,175,100,2
3,01MNP,5101,Temp.Location,NCOT7-FALP,,695,100,2
3,01MNP,5102,Temp.Location,NCOT7-FALP,,695,100,2
3,01MNP,5101,Temp.Location,NCOT7-FALP,,835,100,2
3,01MNP,5102,Temp.Location,NCOT7-FALP,,835,100,2
3,7644,5101,P1-21,SOX-S10X0.3(B),,30,500,2
3,7644,5102,P1-21,SOX-S10X0.3(B),,30,500,2
3,23115,5101,P1-22,SOX-S13X0.4(B),,20,500,2
3,23115,5102,P1-22,SOX-S13X0.4(B),,20,500,2
3,02KXW,5101,L6-17,VO10X0.5(B)-FALP,,115,100,2
3,02KXW,5102,L6-17,VO10X0.5(B)-FALP,,115,100,2
3,02KXW,5101,Temp.Location,VO10X0.5(B)-FALP,,195,100,2
3,02KXW,5102,Temp.Location,VO10X0.5(B)-FALP,,195,100,2
3,02KXY,5101,M6-09,VO14X0.5(B)-FALP,,125,100,2
3,02KXY,5102,M6-09,VO14X0.5(B)-FALP,,125,100,2
3,02KXU,5101,J5-11,VO6X0.5(B)-FALP,,85,100,2
3,02KXU,5102,J5-11,VO6X0.5(B)-FALP,,85,100,2
3,02KXV,5101,J1-31,VO8X0.5(B)-FALP,,95,100,2
3,02KXV,5102,J1-31,VO8X0.5(B)-FALP,,95,100,2
3,02KXV,5101,K1-02,VO8X0.5(B)-FALP,,105,100,2
3,02KXV,5102,K1-02,VO8X0.5(B)-FALP,,105,100,2
3,02KXV,5101,K1-16,VO8X0.5(B)-FALP,,170,100,2
3,02KXV,5102,K1-16,VO8X0.5(B)-FALP,,170,100,2
3,02KXV,5101,K1-31,VO8X0.5(B)-FALP,,250,100,2
3,02KXV,5102,K1-31,VO8X0.5(B)-FALP,,250,100,2
3,02KXV,5101,K1-32,VO8X0.5(B)-FALP,,255,100,2
3,02KXV,5102,K1-32,VO8X0.5(B)-FALP,,255,100,2
3,38918,5101,O5-35,VO8X0.5(Y)WKPH,,185,100,2
3,38918,5102,O5-35,VO8X0.5(Y)WKPH,,185,100,2
3,01LUX,5101,Temp.Location,VS120X0.3FP,,120,100,2
3,01LUX,5102,Temp.Location,VS120X0.3FP,,120,100,2
3,01LV5,5101,O4-57,VS70X0.3FP,,135,100,2
3,01LV5,5102,O4-57,VS70X0.3FP,,135,100,2
