Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,02KXU,1034,J3-21,VO6X0.5(B)-FALP,WITH SLIT,60,100,4
3,02KXU,1034,J3-25,VO6X0.5(B)-FALP,WITH SLIT,80,100,2
3,02KXU,1034,J5-11,VO6X0.5(B)-FALP,,85,100,2
3,02KXU,1034,J5-12,VO6X0.5(B)-FALP,,90,100,2
3,02KXU,1034,J5-13,VO6X0.5(B)-FALP,,95,100,6
3,02KXU,1034,J3-29,VO6X0.5(B)-FALP,WITH SLIT,100,100,4
3,02KXU,1034, J4-22,VO6X0.5(B)-FALP,WITH SLIT,110,100,4
3,02KXU,1034,J5-24,VO6X0.5(B)-FALP,,110,100,2
3,02KXU,1034,J3-33,VO6X0.5(B)-FALP,WITH SLIT,125,100,2
3,02KXU,1033,J3-35,VO6X0.5(B)-FALP,WITH SLIT,135,100,2
3,02KXU,1034,J3-35,VO6X0.5(B)-FALP,WITH SLIT,135,100,2
3,02KXU,1034,J3-37,VO6X0.5(B)-FALP,WITH SLIT,145,100,2
3,02KXU,1034,J3-38,VO6X0.5(B)-FALP,WITH SLIT,150,100,2
3,02KXU,1034,J3-41,VO6X0.5(B)-FALP,WITH SLIT,165,100,2
3,02KXU,1034,J5-41,VO6X0.5(B)-FALP,,190,100,4
3,02KXU,1034,J2-05,VO6X0.5(B)-FALP,WITH SLIT,195,100,2
3,02KXU,1034,J2-06,VO6X0.5(B)-FALP,WITH SLIT,200,100,2
3,02KXU,1034,J5-44,VO6X0.5(B)-FALP,,210,100,2
3,02KXU,1034,J2-11,VO6X0.5(B)-FALP,WITH SLIT,225,100,2
3,02KXU,1034,J4-23,VO6X0.5(B)-FALP,WITH SLIT,575,100,2
3,02KXV,1034,J1-25,VO8X0.5(B)-FALP,,65,100,2
3,02KXV,1034,J1-31,VO8X0.5(B)-FALP,,95,100,4
3,02KXV,1034,K3-18,VO8X0.5(B)-FALP,WITH SLIT,100,100,2
3,02KXV,1034,K3-21,VO8X0.5(B)-FALP,WITH SLIT,120,100,2
3,02KXV,1034,K1-08,VO8X0.5(B)-FALP,,135,100,2
3,02KXV,1034,K3-20,VO8X0.5(B)-FALP,WITH SLIT,155,100,2
3,02KXV,1034,K1-16,VO8X0.5(B)-FALP,,170,100,2
3,02KXV,1034,K4-11,VO8X0.5(B)-FALP,WITH SLIT,360,100,2
3,02KXV,1034,K4-12,VO8X0.5(B)-FALP,WITH SLIT,365,100,2
3,02KXV,1034,K4-17,VO8X0.5(B)-FALP,WITH SLIT,395,100,2
3,02KXW,1034,L5-15,VO10X0.5(B)-FALP,WITH SLIT,50,100,2
3,02KXW,1034,K5-19,VO10X0.5(B)-FALP,,75,100,4
3,02KXW,1034,L5-25,VO10X0.5(B)-FALP,WITH SLIT,100,100,2
3,02KXW,1034,K5-26,VO10X0.5(B)-FALP,,110,100,2
3,02KXW,1034,K5-28,VO10X0.5(B)-FALP,,125,100,2
3,02KXW,1034,K5-30,VO10X0.5(B)-FALP,,135,100,2
3,02KXW,1034,L4-08,VO10X0.5(B)-FALP,WITH SLIT,170,100,2
3,02KXX,1034,L2-16,VO12X0.5(B)-FALP,WITH SLIT,100,100,2
3,02KXX,1034,L2-19,VO12X0.5(B)-FALP,WITH SLIT,115,100,2
3,02KXX,1034,L1-09,VO12X0.5(B)-FALP,WITH SLIT,135,100,2
3,02KXX,1034,L2-24,VO12X0.5(B)-FALP,WITH SLIT,155,100,2
3,02KXX,1034,L2-25,VO12X0.5(B)-FALP,WITH SLIT,160,100,2
3,02KXX,1034,L2-31,VO12X0.5(B)-FALP,WITH SLIT,190,100,2
3,02KXX,1034,L1-10,VO12X0.5(B)-FALP,WITH SLIT,225,100,2
3,02KXX,1034,L1-01,VO12X0.5(B)-FALP,WITH SLIT,260,100,2
3,02KXX,1034,L1-02,VO12X0.5(B)-FALP,WITH SLIT,280,100,2
3,02KXX,1034,L1-15,VO12X0.5(B)-FALP,WITH SLIT,295,100,2
3,02KXY,1034,M5-17,VO14X0.5(B)-FALP,WITH SLIT,90,100,2
3,02KXY,1034,M4-05,VO14X0.5(B)-FALP,WITH SLIT,220,100,2
3,02KXY,1034,M4-07,VO14X0.5(B)-FALP,WITH SLIT,235,100,2
3,02KY0,1034,M2-26,VO16X0.6(B)-FALP,WITH SLIT,210,100,2
3,02KY1,1034,M1-04,VO18X0.6(B)-FALP,WITH SLIT,60,100,2
3,02KY1,1034,M1-25,VO18X0.6(B)-FALP,WITH SLIT,180,100,2
3,02KY1,1034,M1-17,VO18X0.6(B)-FALP,WITH SLIT,205,100,2
3,02KY2,1034,N2-18,VO20X0.6(B)-FALP,WITH SLIT,125,100,2
3,02KYC,1034,N2-26,VO22X1(B)-FALP,WITH SLIT,45,100,2
3,02KYC,1034,N2-28,VO22X1(B)-FALP,WITH SLIT,170,100,2
3,21429,1034,TEMP. LOCATION,VO22X0.6(B),WITH SLIT,80,100,2
3,01PFH,1033,B2-08,RCOT10-FALP,,625,100,2
3,01PFI,1033,B6-11,RCOT13-FALP,,140,100,2
3,01PFI,1033,B4-13,RCOT13-FALP,,390,100,2
3,01PFQ,1033,E1-31,RCOT7-FALP,,250,100,2
3,02KXU,1033,J3-28,VO6X0.5(B)-FALP,WITH SLIT,95,100,2
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
