Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,26189,1004,O6-16,POX12X0.4(GR),WITH SLIT,195,100,1
3,7773,1004,O6-23,POX6X0.35(GR),,175,100,1
3,01PFH,1004,A2-02,RCOT10-FALP,,40,100,1
3,01PFI,1004,B6-02,RCOT13-FALP,,70,100,1
3,02KXW,1004,L4-17,VO10X0.5(B)-FALP,WITH SLIT,220,100,1
3,02KXW,1004,L5-04,VO10X0.5(B)-FALP,WITH SLIT,535,50,2
3,02KY2,1004,N2-01,VO20X0.6(B)-FALP,WITH SLIT,30,100,1
3,02KXU,1004,J2-04,VO6X0.5(B)-FALP,WITH SLIT,190,100,1
3,02KXU,1004,J2-06,VO6X0.5(B)-FALP,WITH SLIT,200,100,1
3,02KXV,1004,J1-30,VO8X0.5(B)-FALP,,90,100,1
3,02KXV,1004,K1-03,VO8X0.5(B)-FALP,,110,100,1
3,01PFJ,1005,B3-09,RCOT15-FALP,,160,100,1
3,01PFN,1005,D2-07,RCOT28-FALP,,255,50,1
3,01PFQ,1005,F1-06,RCOT7-FALP,,70,100,2
3,01PFQ,1005,F1-10,RCOT7-FALP,,90,100,2
3,02KXW,1005,L5-18,VO10X0.5(B)-FALP,WITH SLIT,70,100,1
3,02KXW,1005,K5-25,VO10X0.5(B)-FALP,,105,100,1
3,02KY1,1005,M1-04,VO18X0.6(B)-FALP,WITH SLIT,60,100,1
3,02KXU,1005,J4-03,VO6X0.5(B)-FALP,,230,100,1
3,02KXV,1005,J1-27,VO8X0.5(B)-FALP,,75,100,1
3,02KXV,1005,J1-30,VO8X0.5(B)-FALP,,90,100,1
3,02KXV,1005,K1-02,VO8X0.5(B)-FALP,,105,100,2
3,02KXV,1005,K1-16,VO8X0.5(B)-FALP,,170,100,2
3,02KXV,1005,K1-21,VO8X0.5(B)-FALP,,190,100,1
3,02KXV,1005,K1-25,VO8X0.5(B)-FALP,,220,100,1
3,02KXV,1005,K2-02,VO8X0.5(B)-FALP,,315,100,1
3,02KXU,1006,J3-03,VO6X0.5(B)-FALP,WITH SLIT,420,100,2
3,02KXU,1006,J5-08,VO6X0.5(B)-FALP,,70,100,1
3,02KXV,1006,K3-38,VO8X0.5(B)-FALP,WITH SLIT,200,100,1
3,02KXU,1007,J3-19,VO6X0.5(B)-FALP,WITH SLIT,50,100,2
3,02KXV,1007,K1-04,VO8X0.5(B)-FALP,,115,100,3
3,02KXU,1008,J3-36,VO6X0.5(B)-FALP,WITH SLIT,140,100,5
3,02KXU,1008,J5-39,VO6X0.5(B)-FALP,,180,100,5
3,02KXV,1008,K1-15,VO8X0.5(B)-FALP,,165,100,5
3,01PFP,1032,A6-09,RCOT5-FALP,,80,100,2
3,02KXU,1032,J5-34,VO6X0.5(B)-FALP,,160,100,1
3,01PFI,1101,B6-04,RCOT13-FALP,,85,100,1
3,01PFP,1101,A5-31,RCOT5-FALP,,250,100,1
3,02KXW,1101,L5-28,VO10X0.5(B)-FALP,WITH SLIT,115,100,2
3,38918,1101,O5-30,VO8X0.5(Y)WKPH,,60,100,1
3,01PFI,1102,B6-09,RCOT13-FALP,,110,100,1
3,01PFQ,1102,E1-16,RCOT7-FALP,,175,100,1
3,02KXU,1102,J2-16,VO6X0.5(B)-FALP,WITH SLIT,265,100,1
3,01PFK,1103,C3-03,RCOT19-FALP,,140,100,1
3,02KXW,1103,L5-18,VO10X0.5(B)-FALP,WITH SLIT,70,100,1
3,02KXW,1103,L4-01,VO10X0.5(B)-FALP,WITH SLIT,135,100,1
3,02KXW,1103,L4-02,VO10X0.5(B)-FALP,WITH SLIT,140,100,1
3,02KXW,1103,L4-09,VO10X0.5(B)-FALP,WITH SLIT,175,100,1
3,02KXW,1103,K5-17,VO10X0.5(B)-FALP,,65,100,2
3,02KXW,1103,K5-22,VO10X0.5(B)-FALP,,90,100,1
3,02KXW,1103,K5-28,VO10X0.5(B)-FALP,,125,100,1
3,02KXW,1103,L6-04,VO10X0.5(B)-FALP,,380,100,1
3,02KXX,1103,L2-11,VO12X0.5(B)-FALP,WITH SLIT,75,100,1
3,02KXX,1103,L2-14,VO12X0.5(B)-FALP,WITH SLIT,90,100,2
3,02KXX,1103,L2-25,VO12X0.5(B)-FALP,WITH SLIT,160,100,2
3,02KXX,1103,L2-29,VO12X0.5(B)-FALP,WITH SLIT,180,100,2
3,02KXX,1103,L1-03,VO12X0.5(B)-FALP,WITH SLIT,285,100,1
3,02KXX,1103,L3-15,VO12X0.5(B)-FALP,,105,100,1
3,02KXX,1103,L3-29,VO12X0.5(B)-FALP,,210,100,1
3,02KXX,1103,L3-32,VO12X0.5(B)-FALP,,290,100,1
3,02KXY,1103,M5-13,VO14X0.5(B)-FALP,WITH SLIT,75,100,1
3,02KXY,1103,M5-21,VO14X0.5(B)-FALP,WITH SLIT,120,100,3
3,02KXY,1103,M4-02,VO14X0.5(B)-FALP,WITH SLIT,200,100,1
3,02KXY,1103,M4-03,VO14X0.5(B)-FALP,WITH SLIT,205,100,1
3,02KXY,1103,M4-15,VO14X0.5(B)-FALP,WITH SLIT,360,100,1
3,02KXY,1103,M6-05,VO14X0.5(B)-FALP,,80,100,1
3,02KXY,1103,M6-09,VO14X0.5(B)-FALP,,125,100,1
3,02KXY,1103,M6-12,VO14X0.5(B)-FALP,,160,100,2
3,02KY0,1103,M3-17,VO16X0.6(B)-FALP,WITH SLIT,145,100,1
3,02KY0,1103,M3-23,VO16X0.6(B)-FALP,WITH SLIT,200,100,1
3,02KY0,1103,M3-02,VO16X0.6(B)-FALP,WITH SLIT,315,50,1
3,02KY0,1103,M2-07,VO16X0.6(B)-FALP,,125,100,1
3,02KY1,1103,M1-02,VO18X0.6(B)-FALP,WITH SLIT,875,50,1
3,02KY1,1103,M1-22,VO18X0.6(B)-FALP,,85,100,2
3,02KYB,1103,N4-18,VO20X1(B)-FALP,WITH SLIT,80,100,1
3,02KYC,1103,N5-07,VO22X1(B)-FALP,WITH SLIT,230,50,1
3,21430,1103,H5-09,VO24X0.6(B),,65,100,5
3,02KYD,1103,N3-10,VO24X1(B)-FALP,WITH SLIT,135,50,1
3,02KYD,1103,N3-15,VO24X1(B)-FALP,WITH SLIT,165,50,2
3,02KYR,1103,N1-13,VO28X1(B)-FALP,WITH SLIT,165,50,1
3,02KYR,1103,N1-10,VO28X1(B)-FALP,WITH SLIT,230,50,1
3,02KYS,1103,N1-04,VO30X1(B)-FALP,WITH SLIT,60,100,1
3,02KYS,1103,N1-05,VO30X1(B)-FALP,WITH SLIT,105,100,1
3,02KYS,1103,N1-07,VO30X1(B)-FALP,WITH SLIT,170,50,4
3,02KYS,1103,N1-09,VO30X1(B)-FALP,WITH SLIT,305,50,4
3,35391,1103,H4-10,VO32X1(B),WITH SLIT,55,100,1
3,02KXU,1103,J3-34,VO6X0.5(B)-FALP,WITH SLIT,130,100,1
3,02KXU,1103,J2-15,VO6X0.5(B)-FALP,WITH SLIT,260,100,1
3,02KXU,1103,J2-18,VO6X0.5(B)-FALP,WITH SLIT,280,100,1
3,02KXU,1103,J5-27,VO6X0.5(B)-FALP,,125,100,5
3,02KXU,1103,J5-32,VO6X0.5(B)-FALP,,150,100,3
3,02KXU,1103,J4-01,VO6X0.5(B)-FALP,,220,100,4
3,02KXU,1103,J4-19,VO6X0.5(B)-FALP,,345,100,1
3,02KXV,1103,K3-30,VO8X0.5(B)-FALP,WITH SLIT,165,100,1
0,02KXV,1103,Special Kanban,VO8X0.5(B)-FALP,WITH SLIT,205,30,1
3,02KXV,1103,J1-25,VO8X0.5(B)-FALP,,65,100,1
3,02KXV,1103,J1-29,VO8X0.5(B)-FALP,,85,100,1
3,02KXV,1103,K1-01,VO8X0.5(B)-FALP,,100,100,1
3,02KXV,1103,K1-03,VO8X0.5(B)-FALP,,110,100,3
3,02KXV,1103,K1-05,VO8X0.5(B)-FALP,,120,100,3
3,02KXV,1103,K1-07,VO8X0.5(B)-FALP,,130,100,2
3,02KXV,1103,K1-10,VO8X0.5(B)-FALP,,140,100,2
3,02KXV,1103,K1-12,VO8X0.5(B)-FALP,,150,100,1
3,21115,1103,O1-44,VS120X0.2,,90,100,2
3,21115,1103,O1-45,VS120X0.2,,125,100,1
3,01PFH,1110,A2-07,RCOT10-FALP,,75,100,2
3,01PFP,1110,A5-29,RCOT5-FALP,,240,100,1
3,01PFQ,1110,F1-07,RCOT7-FALP,,75,100,2
3,01PFQ,1110,E1-20,RCOT7-FALP,,195,100,1
3,8146,1112,D4-02,HCOT10(GR),,1245,100,2
3,01PFH,1112,A2-11,RCOT10-FALP,,95,100,1
3,01PFI,1112,B6-02,RCOT13-FALP,,70,100,2
3,01PFI,1112,B6-11,RCOT13-FALP,,140,100,1
3,01PFP,1112,A5-01,RCOT5-FALP,,100,100,2
3,01PFP,1112,A5-06,RCOT5-FALP,,125,100,1
3,01PFP,1112,A5-22,RCOT5-FALP,,205,100,2
3,01PFQ,1112,F1-03,RCOT7-FALP,,55,100,2
3,01PFQ,1112,E1-18,RCOT7-FALP,,185,100,1
3,02KXW,1112,L5-17,VO10X0.5(B)-FALP,WITH SLIT,65,100,2
3,02KY0,1112,M3-26,VO16X0.6(B)-FALP,WITH SLIT,240,50,1
3,02KXU,1112,J5-13,VO6X0.5(B)-FALP,,95,100,6
3,02KXU,1112,J5-24,VO6X0.5(B)-FALP,,110,100,1
3,02KXV,1112,K1-08,VO8X0.5(B)-FALP,,135,100,2
3,02KXV,1112,K2-08,VO8X0.5(B)-FALP,,355,100,2
3,02KXW,1114,L5-20,VO10X0.5(B)-FALP,WITH SLIT,130,100,12
3,02KXY,1114,M5-11,VO14X0.5(B)-FALP,WITH SLIT,65,100,13
3,02KXY,1114,M6-12,VO14X0.5(B)-FALP,,160,100,1
3,02KXY,1114,M6-16,VO14X0.5(B)-FALP,,195,100,2
3,02KY0,1114,M3-07,VO16X0.6(B)-FALP,WITH SLIT,60,100,2
3,02KXU,1114,J3-34,VO6X0.5(B)-FALP,WITH SLIT,130,100,7
3,02KXV,1114,K3-38,VO8X0.5(B)-FALP,WITH SLIT,200,100,13
3,7778,1115,O6-11,POX10X0.4(GR),,75,100,1
3,02KY0,1117,M3-11,VO16X0.6(B)-FALP,WITH SLIT,95,100,2
3,02KXU,1117,J3-42,VO6X0.5(B)-FALP,WITH SLIT,170,100,2
3,02KXU,1117,J2-09,VO6X0.5(B)-FALP,WITH SLIT,215,100,3
3,02KXV,1117,K3-31,VO8X0.5(B)-FALP,WITH SLIT,170,100,2
3,01PFH,1118,A2-08,RCOT10-FALP,,80,100,17
3,01PFP,1118,A5-06,RCOT5-FALP,,125,100,1
3,02KXW,1118,L5-19,VO10X0.5(B)-FALP,WITH SLIT,75,100,5
3,02KXW,1118,L4-06,VO10X0.5(B)-FALP,WITH SLIT,275,100,1
3,02KXW,1118,L4-12,VO10X0.5(B)-FALP,WITH SLIT,285,100,4
3,02KXW,1118,K6-01,VO10X0.5(B)-FALP,,145,100,7
3,02KXY,1118,M5-26,VO14X0.5(B)-FALP,WITH SLIT,155,100,4
3,02KXY,1118,M5-02,VO14X0.5(B)-FALP,WITH SLIT,430,100,2
3,02KXY,1118,M5-03,VO14X0.5(B)-FALP,WITH SLIT,440,100,6
3,02KY0,1118,M3-04,VO16X0.6(B)-FALP,WITH SLIT,430,50,8
3,02KY1,1118,M1-06,VO18X0.6(B)-FALP,WITH SLIT,70,100,3
3,02KXU,1118,J3-21,VO6X0.5(B)-FALP,WITH SLIT,60,100,7
3,02KXU,1118,J3-27,VO6X0.5(B)-FALP,WITH SLIT,90,100,8
3,02KXU,1118,J3-32,VO6X0.5(B)-FALP,WITH SLIT,120,100,2
3,02KXU,1118,J3-35,VO6X0.5(B)-FALP,WITH SLIT,135,100,6
3,02KXU,1118,J2-14,VO6X0.5(B)-FALP,WITH SLIT,245,100,5
3,02KXV,1118,K3-28,VO8X0.5(B)-FALP,WITH SLIT,155,100,2
3,01PFQ,1119,F1-02,RCOT7-FALP,,50,100,4
3,02KXW,1119,L4-08,VO10X0.5(B)-FALP,WITH SLIT,170,100,4
3,02KXW,1119,L4-13,VO10X0.5(B)-FALP,WITH SLIT,190,100,1
3,02KXY,1119,M4-13,VO14X0.5(B)-FALP,WITH SLIT,325,100,1
3,02KY1,1119,M1-08,VO18X0.6(B)-FALP,WITH SLIT,95,100,3
3,02KXU,1119,J3-42,VO6X0.5(B)-FALP,WITH SLIT,170,100,2
3,02KXU,1119,J2-09,VO6X0.5(B)-FALP,WITH SLIT,215,100,3
3,23270,1121,F4-16,HCOT5(GR),,190,100,11
3,01PFI,1121,B6-06,RCOT13-FALP,,95,100,11
3,01PFI,1121,B6-17,RCOT13-FALP,,175,100,7
3,01PFJ,1121,B3-07,RCOT15-FALP,,130,100,7
3,01PFP,1121,A6-09,RCOT5-FALP,,80,100,14
3,01PFP,1121,A5-12,RCOT5-FALP,,155,100,23
3,01PFQ,1121,E1-02,RCOT7-FALP,,105,100,12
3,02KXY,1121,M4-05,VO14X0.5(B)-FALP,WITH SLIT,220,50,3
3,02KY0,1121,M3-24,VO16X0.6(B)-FALP,WITH SLIT,230,50,2
3,02KY0,1121,M2-02,VO16X0.6(B)-FALP,WITH SLIT,265,50,24
3,02KXU,1121,J5-24,VO6X0.5(B)-FALP,,110,100,36
3,02KXU,1121,J5-30,VO6X0.5(B)-FALP,,140,100,6
3,02KXU,1121,J5-31,VO6X0.5(B)-FALP,,145,100,10
3,02KXU,1121,J5-32,VO6X0.5(B)-FALP,,150,100,3
3,02KXU,1121,J5-35,VO6X0.5(B)-FALP,,165,100,10
3,02KXU,1121,J4-05,VO6X0.5(B)-FALP,,250,100,6
3,02KXU,1121,J4-07,VO6X0.5(B)-FALP,,260,100,5
3,02KXV,1121,J1-28,VO8X0.5(B)-FALP,,80,100,6
3,02KXV,1121,K1-25,VO8X0.5(B)-FALP,,220,100,6
3,02KXV,1121,K1-32,VO8X0.5(B)-FALP,,255,100,10
3,02KXW,1123,L5-20,VO10X0.5(B)-FALP,WITH SLIT,130,100,18
3,02KXY,1123,M5-11,VO14X0.5(B)-FALP,WITH SLIT,65,100,32
3,02KXY,1123,M6-12,VO14X0.5(B)-FALP,,160,100,11
3,02KXY,1123,M6-16,VO14X0.5(B)-FALP,,195,100,10
3,02KXU,1123,J3-34,VO6X0.5(B)-FALP,WITH SLIT,130,100,9
3,02KXV,1123,K3-38,VO8X0.5(B)-FALP,WITH SLIT,200,100,4
3,7776,1124,P1-08,POX8X0.4(GR),WITH SLIT,155,100,7
3,02KXU,1124,J2-06,VO6X0.5(B)-FALP,WITH SLIT,200,100,7
3,02KXU,1124,J2-10,VO6X0.5(B)-FALP,WITH SLIT,220,100,8
3,02KXU,1124,J5-26,VO6X0.5(B)-FALP,,120,100,6
3,02KXV,1124,J1-10,VO8X0.5(B)-FALP,,485,100,3
3,01PFP,1125,A5-01,RCOT5-FALP,,100,100,9
3,01PFQ,1125,E1-26,RCOT7-FALP,,225,100,8
3,02KXW,1125,L4-01,VO10X0.5(B)-FALP,WITH SLIT,135,100,7
3,02KXW,1125,L4-14,VO10X0.5(B)-FALP,WITH SLIT,195,100,8
3,01PFP,1126,A5-01,RCOT5-FALP,,100,100,6
3,01PFQ,1126,E1-26,RCOT7-FALP,,225,100,7
3,02KXW,1126,L4-14,VO10X0.5(B)-FALP,WITH SLIT,195,100,3
3,02KXW,1128,L4-22,VO10X0.5(B)-FALP,WITH SLIT,260,100,2
3,02KXU,1128,J3-29,VO6X0.5(B)-FALP,WITH SLIT,100,100,2
3,02KXU,1128,J2-23,VO6X0.5(B)-FALP,WITH SLIT,315,100,2
3,02KXX,1130,L2-18,VO12X0.5(B)-FALP,WITH SLIT,110,100,1
3,02KXV,1130,K3-26,VO8X0.5(B)-FALP,WITH SLIT,145,100,1
3,02KXU,1008,J5-28,VO6X0.5(B)-FALP,,130,100,3
3,02KXU,1123,J3-32,VO6X0.5(B)-FALP,WITH SLIT,120,100,1
3,01PFP,1118,A5-28,RCOT5-FALP,,235,100,2
3,02KXV,1008,J1-21,VO8X0.5(B)-FALP,,45,100,1
3,38914,1101,O5-13,VO6X0.5(Y)WKPH,,170,100,3
3,01PFL,1103,D1-15,RCOT22-FALP,,490,50,1
3,01PFP,1118,A5-15,RCOT5-FALP,,170,100,4
3,02KXV,1114,K3-13,VO8X0.5(B)-FALP,WITH SLIT,75,500,5
3,02KXV,1123,K3-13,VO8X0.5(B)-FALP,WITH SLIT,75,500,8
3,02KXV,Mazda J12 Initial,K1-11,VO8X0.5(B)-FALP,,145,100,1
