Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,02KXU,1004,J2-06,VO6X0.5(B)-FALP,WITH SLIT,200,100,1
3,01PFH,1005,A2-01,RCOT10-FALP,,30,100,1
3,01PFN,1005,D2-04,RCOT28-FALP,,275,50,1
3,01PFP,1005,A6-07,RCOT5-FALP,,70,100,1
3,01PFP,1005,A5-21,RCOT5-FALP,,200,100,1
3,01PFQ,1005,F1-06,RCOT7-FALP,,70,100,1
3,01PFQ,1005,F1-10,RCOT7-FALP,,90,100,1
3,02KXX,1005,L3-16,VO12X0.5(B)-FALP,,110,100,1
3,02KXY,1005,M4-09,VO14X0.5(B)-FALP,WITH SLIT,275,100,1
3,02KY0,1005,M3-10,VO16X0.6(B)-FALP,WITH SLIT,90,100,1
3,02KY1,1005,M1-04,VO18X0.6(B)-FALP,WITH SLIT,60,100,1
3,02KXV,1005,K3-22,VO8X0.5(B)-FALP,WITH SLIT,125,100,1
3,02KXV,1005,J1-31,VO8X0.5(B)-FALP,,95,100,1
3,02KXV,1005,K1-02,VO8X0.5(B)-FALP,,105,100,1
3,02KXV,1005,K1-07,VO8X0.5(B)-FALP,,130,100,1
3,02KXV,1005,K1-13,VO8X0.5(B)-FALP,,155,100,1
3,02KXV,1005,K1-16,VO8X0.5(B)-FALP,,170,100,1
3,02KXV,1005,K1-25,VO8X0.5(B)-FALP,,220,100,1
3,02KXV,1006,J1-30,VO8X0.5(B)-FALP,,90,100,2
3,02KXV,1006,K1-07,VO8X0.5(B)-FALP,,130,100,2
1,07776,1007,E4-04,POX8X0.4(GR),,165,100,1
3,02KXU,1007,J3-19,VO6X0.5(B)-FALP,WITH SLIT,50,100,3
3,02KXV,1007,K1-04,VO8X0.5(B)-FALP,,115,100,3
3,02KXW,1008,L5-01,VO10X0.5(B)-FALP,WITH SLIT,300,100,1
3,02KXU,1008,J3-37,VO6X0.5(B)-FALP,WITH SLIT,145,100,1
3,02KXU,1008,J3-08,VO6X0.5(B)-FALP,WITH SLIT,460,100,1
3,02KXU,1008,J4-17,VO6X0.5(B)-FALP,,325,100,1
3,02KXV,1008,K1-01,VO8X0.5(B)-FALP,,100,100,1
3,02KXV,1008,K1-16,VO8X0.5(B)-FALP,,170,100,1
3,02KXV,1008,J1-01,VO8X0.5(B)-FALP,,400,100,1
3,02KXV,1032,K1-37,VO8X0.5(B)-FALP,,280,100,1
3,01PFH,1101,A2-13,RCOT10-FALP,,105,100,1
3,01PFI,1101,B6-01,RCOT13-FALP,,55,100,1
3,01PFP,1101,A5-32,RCOT5-FALP,,255,100,1
3,01PFP,1101,A4-02,RCOT5-FALP,,305,100,1
3,01PFQ,1101,E1-27,RCOT7-FALP,,230,100,1
3,02KXW,1101,L5-28,VO10X0.5(B)-FALP,WITH SLIT,115,100,1
3,02KXX,1101,L2-11,VO12X0.5(B)-FALP,WITH SLIT,75,100,1
3,02KXX,1101,L2-14,VO12X0.5(B)-FALP,WITH SLIT,90,100,1
3,02KXX,1101,L2-16,VO12X0.5(B)-FALP,WITH SLIT,100,100,1
3,02KXX,1101,L2-01,VO12X0.5(B)-FALP,WITH SLIT,400,100,1
3,02KXY,1101,M5-27,VO14X0.5(B)-FALP,WITH SLIT,160,100,1
3,02KY2,1101,N2-05,VO20X0.6(B)-FALP,WITH SLIT,95,100,1
3,02KXU,1101,J3-27,VO6X0.5(B)-FALP,WITH SLIT,90,100,1
3,02KXU,1101,J2-13,VO6X0.5(B)-FALP,WITH SLIT,235,100,1
3,02KXU,1101,J2-14,VO6X0.5(B)-FALP,WITH SLIT,245,100,1
3,02KXU,1101,J5-34,VO6X0.5(B)-FALP,,160,100,1
3,38914,1101,E2-04,VO6X0.5(Y)WKPH,,50,100,1
3,38914,1101,E2-08,VO6X0.5(Y)WKPH,,85,100,1
3,38914,1101,E2-11,VO6X0.5(Y)WKPH,,170,100,5
3,02KXV,1101,K3-18,VO8X0.5(B)-FALP,WITH SLIT,100,100,1
3,02KXV,1101,K3-30,VO8X0.5(B)-FALP,WITH SLIT,165,100,1
3,02KXV,1101,K3-40,VO8X0.5(B)-FALP,WITH SLIT,230,100,1
3,02KXV,1101,J1-25,VO8X0.5(B)-FALP,,65,100,1
3,01PFH,1102,A1-12,RCOT10-FALP,,380,100,1
3,01PFL,1102,D1-10,RCOT22-FALP,,420,50,1
3,01PFQ,1102,F1-27,RCOT7-FALP,,565,100,1
3,02KXW,1102,L5-05,VO10X0.5(B)-FALP,WITH SLIT,335,100,1
3,02KXW,1102,K6-03,VO10X0.5(B)-FALP,,155,100,1
3,02KY0,1102,M3-13,VO16X0.6(B)-FALP,WITH SLIT,110,100,1
3,02KY0,1102,M3-16,VO16X0.6(B)-FALP,WITH SLIT,135,100,1
3,02KXU,1102,J5-26,VO6X0.5(B)-FALP,,120,100,1
3,02KXU,1102,J5-35,VO6X0.5(B)-FALP,,165,100,1
3,02KXV,1102,J1-11,VO8X0.5(B)-FALP,,500,100,1
3,01PFI,1103,C6-06,RCOT13-FALP,,470,100,1
3,01PFJ,1103,B3-01,RCOT15-FALP,,30,100,1
3,01PFJ,1103,B3-14,RCOT15-FALP,,270,100,1
3,01PFK,1103,C3-01,RCOT19-FALP,,30,100,1
3,01PFK,1103,C3-14,RCOT19-FALP,,480,50,1
3,02KXW,1103,L5-22,VO10X0.5(B)-FALP,WITH SLIT,85,100,1
3,02KXW,1103,L4-02,VO10X0.5(B)-FALP,WITH SLIT,140,100,1
3,02KXW,1103,L6-04,VO10X0.5(B)-FALP,,380,100,1
3,02KXX,1103,L2-24,VO12X0.5(B)-FALP,WITH SLIT,155,100,1
3,02KXX,1103,L1-02,VO12X0.5(B)-FALP,WITH SLIT,280,100,1
3,02KXX,1103,L3-15,VO12X0.5(B)-FALP,,105,100,1
3,02KXY,1103,M4-16,VO14X0.5(B)-FALP,WITH SLIT,370,100,1
3,02KXY,1103,M6-05,VO14X0.5(B)-FALP,,80,100,1
3,02KY1,1103,M1-22,VO18X0.6(B)-FALP,,85,100,1
3,02KYB,1103,N4-18,VO20X1(B)-FALP,WITH SLIT,80,100,1
3,02KYD,1103,N3-07,VO24X1(B)-FALP,WITH SLIT,105,100,1
3,02KYR,1103,N1-10,VO28X1(B)-FALP,WITH SLIT,230,50,2
3,35391,1103,H4-10,VO32X1(B),WITH SLIT,55,100,1
3,02KXU,1103,J5-28,VO6X0.5(B)-FALP,,130,100,1
