Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,02KXW,1008,L5-01,VO10X0.5(B)-FALP,WITH SLIT,300,100,1
3,02KXY,1008,M5-18,VO14X0.5(B)-FALP,WITH SLIT,95,100,2
3,02KXU,1008,J3-34,VO6X0.5(B)-FALP,WITH SLIT,130,100,2
3,02KXU,1008,J3-36,VO6X0.5(B)-FALP,WITH SLIT,140,100,1
3,02KXU,1008,J3-37,VO6X0.5(B)-FALP,WITH SLIT,145,100,2
3,02KXU,1008,J2-09,VO6X0.5(B)-FALP,WITH SLIT,215,100,4
3,02KXU,1008,J2-21,VO6X0.5(B)-FALP,WITH SLIT,295,100,2
3,02KXU,1008,J3-08,VO6X0.5(B)-FALP,WITH SLIT,460,100,2
3,02KXU,1008,J5-39,VO6X0.5(B)-FALP,,180,100,4
3,02KXV,1008,K3-13,VO8X0.5(B)-FALP,WITH SLIT,75,100,4
3,02KXV,1008,J1-22,VO8X0.5(B)-FALP,,50,100,1
3,02KXV,1008,J1-26,VO8X0.5(B)-FALP,,70,100,1
3,02KXV,1008,K1-01,VO8X0.5(B)-FALP,,100,100,1
3,02KXV,1008,K1-15,VO8X0.5(B)-FALP,,165,100,1
3,02KXV,1008,J1-01,VO8X0.5(B)-FALP,,400,100,2
