Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,02KYD,1101,N3-12,VO24X1(B)-FALP,WITH SLIT,140,50,1
3,01PFK,1103,C3-15,RCOT19-FALP,,490,50,1
3,02KY1,1103,M1-22,VO18X0.6(B)-FALP,,85,100,1
3,02KXW,1110,L4-11,VO10X0.5(B)-FALP,WITH SLIT,185,100,1
3,02KXX,1110,L1-01,VO12X0.5(B)-FALP,WITH SLIT,260,100,1
3,02KXW,1114,L5-20,VO10X0.5(B)-FALP,WITH SLIT,130,100,5
3,02KXY,1114,M5-11,VO14X0.5(B)-FALP,WITH SLIT,65,100,5
3,02KY0,1114,M3-07,VO16X0.6(B)-FALP,WITH SLIT,60,100,1
3,02KXV,1114,K3-38,VO8X0.5(B)-FALP,WITH SLIT,200,100,5
3,01PFH,1118,A2-08,RCOT10-FALP,,80,100,13
3,2KXW0,1118,L5-19,VO10X0.5(B)-FALP,WITH SLIT,75,100,4
3,02KXW,1118,L4-06,VO10X0.5(B)-FALP,WITH SLIT,275,100,1
3,02KXW,1118,L4-12,VO10X0.5(B)-FALP,WITH SLIT,285,100,1
3,02KXW,1118,K6-01,VO10X0.5(B)-FALP,,145,100,1
3,02KXY,1118,M5-26,VO14X0.5(B)-FALP,WITH SLIT,155,100,2
3,02KXY,1118,M5-02,VO14X0.5(B)-FALP,WITH SLIT,430,100,2
3,02KXY,1118,M5-03,VO14X0.5(B)-FALP,WITH SLIT,440,100,1
3,02KY0,1118,M3-04,VO16X0.6(B)-FALP,WITH SLIT,430,50,9
3,02KY1,1118,M1-06,VO18X0.6(B)-FALP,WITH SLIT,70,100,2
3,02KXU,1118,J3-21,VO6X0.5(B)-FALP,WITH SLIT,60,100,7
3,02KXU,1118,J3-27,VO6X0.5(B)-FALP,WITH SLIT,90,100,7
3,02KXU,1118,J3-32,VO6X0.5(B)-FALP,WITH SLIT,120,100,1
3,02KXU,1118,J3-35,VO6X0.5(B)-FALP,WITH SLIT,135,100,1
3,02KXU,1118,J2-14,VO6X0.5(B)-FALP,WITH SLIT,245,100,2
3,02KXV,1118,K3-21,VO8X0.5(B)-FALP,WITH SLIT,120,100,3
3,02KXV,1118,K3-28,VO8X0.5(B)-FALP,WITH SLIT,155,100,4
3,23270,1121,F4-16,HCOT5(GR),,190,100,6
3,01PFI,1121,B6-06,RCOT13-FALP,,95,100,5
3,01PFI,1121,B6-17,RCOT13-FALP,,175,100,2
3,01PFI,1121,01PFI,RCOT13-FALP,,325,100,1
3,01PFJ,1121,B3-07,RCOT15-FALP,,130,100,1
3,01PFP,1121,A6-09,RCOT5-FALP,,80,100,6
3,01PFP,1121,A5-12,RCOT5-FALP,,155,100,15
3,01PFQ,1121,E1-02,RCOT7-FALP,,105,100,5
3,02KY0,1121,M2-02,VO16X0.6(B)-FALP,WITH SLIT,265,50,21
3,02KXU,1121,J2-12,VO6X0.5(B)-FALP,WITH SLIT,230,100,1
3,02KXU,1121,J5-22,VO6X0.5(B)-FALP,,100,100,1
3,02KXU,1121,J5-24,VO6X0.5(B)-FALP,,110,100,23
3,02KXU,1121,J5-30,VO6X0.5(B)-FALP,,140,100,3
3,02KXU,1121,J5-31,VO6X0.5(B)-FALP,,145,100,6
3,02KXU,1121,J5-32,VO6X0.5(B)-FALP,,150,100,1
3,02KXU,1121,J5-35,VO6X0.5(B)-FALP,,165,100,5
3,02KXU,1121,J4-05,VO6X0.5(B)-FALP,,250,100,2
3,02KXV,1121,J1-28,VO8X0.5(B)-FALP,,80,100,4
3,02KXV,1121,K1-25,VO8X0.5(B)-FALP,,220,100,3
3,02KXV,1121,K1-32,VO8X0.5(B)-FALP,,255,100,4
3,02KXW,1123,L5-20,VO10X0.5(B)-FALP,WITH SLIT,130,100,6
3,02KXY,1123,M5-11,VO14X0.5(B)-FALP,WITH SLIT,65,100,11
3,02KXY,1123,M6-12,VO14X0.5(B)-FALP,,160,100,3
3,02KXY,1123,M6-16,VO14X0.5(B)-FALP,,195,100,3
3,01PFL,1103,D1-15,RCOT22-FALP,,490,50,3
3,01PFP,1118,A5-15,RCOT5-FALP,,170,100,2
3,02KXV,1114,K3-13,VO8X0.5(B)-FALP,WITH SLIT,75,500,3
