Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFH,VN_3126,A2-04,RCOT10-FALP,,55,100,4
3,01PFH,VN_3126,A2-12,RCOT10-FALP,,100,100,4
3,01PFH,VN_3126,A2-25,RCOT10-FALP,,170,100,4
3,01PFH,VN_3126,A2-32,RCOT10-FALP,,205,100,4
3,01PFH,VN_3126,A2-35,RCOT10-FALP,,230,100,4
3,01PFH,VN_3126,B1-07,RCOT10-FALP,,275,100,4
3,01PFI,VN_3126,B6-06,RCOT13-FALP,,95,100,4
3,01PFI,VN_3126,C5-15,RCOT13-FALP,,125,100,4
3,01PFI,VN_3126,B6-13,RCOT13-FALP,,155,100,4
3,01PFI,VN_3126,C6-11,RCOT13-FALP,,185,100,4
3,01PFJ,VN_3126,E2-12,RCOT15-FALP,,250,100,4
3,01PFP,VN_3126,A6-06,RCOT5-FALP,,65,100,4
3,01PFP,VN_3126,A6-07,RCOT5-FALP,,70,100,4
3,01PFP,VN_3126,A6-11,RCOT5-FALP,,90,100,4
3,01PFP,VN_3126,A5-01,RCOT5-FALP,,100,100,4
3,01PFP,VN_3126,A5-03,RCOT5-FALP,,110,100,4
3,01PFP,VN_3126,A5-04,RCOT5-FALP,,115,100,4
3,01PFP,VN_3126,A5-08,RCOT5-FALP,,135,100,4
3,01PFP,VN_3126,A5-09,RCOT5-FALP,,140,100,4
3,01PFP,VN_3126,A5-13,RCOT5-FALP,,160,100,4
3,01PFP,VN_3126,A5-16,RCOT5-FALP,,175,100,4
3,01PFP,VN_3126,A5-17,RCOT5-FALP,,180,100,4
3,01PFP,VN_3126,A5-22,RCOT5-FALP,,205,100,4
3,01PFP,VN_3126,A5-25,RCOT5-FALP,,220,100,4
3,01PFP,VN_3126,A5-33,RCOT5-FALP,,260,100,4
3,01PFP,VN_3126,A5-34,RCOT5-FALP,,265,100,4
3,01PFQ,VN_3126,E1-01,RCOT7-FALP,,100,100,4
3,01PFQ,VN_3126,E1-06,RCOT7-FALP,,125,100,4
3,01PFQ,VN_3126,E1-08,RCOT7-FALP,,135,100,4
3,01PFQ,VN_3126,E1-10,RCOT7-FALP,,145,100,4
3,01PFQ,VN_3126,E1-15,RCOT7-FALP,,170,100,4
3,01PFQ,VN_3126,E1-20,RCOT7-FALP,,195,100,4
3,01PFQ,VN_3126,E1-22,RCOT7-FALP,,205,100,4
