Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFP,VN_3128,E4-07,RCOT10-FALP,,210,100,1
3,01PFP,VN_3128,D6-05,RCOT10-FALP,,580,100,4
3,01PFP,VN_3128,E4-09,RCOT10-FALP,,910,100,4
3,01PFI,VN_3128,Q1-22,RCOT13-FALP,,260,100,4
3,01PFI,VN_3128,C6-01,RCOT13-FALP,,320,100,4
3,01PFI,VN_3128,Q1-23,RCOT13-FALP,,400,100,4
3,01PFP,VN_3128,A5-05,RCOT5-FALP,,120,100,4
3,01PFP,VN_3128,A5-16,RCOT5-FALP,,175,100,4
3,01PFP,VN_3128,A3-12,RCOT5-FALP,,605,100,4
3,01PFP,VN_3128,E5-19,RCOT5-FALP,,930,100,4
