Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFH,VN_3148,E4-08,RCOT10-FALP,,45,100,2
3,01PFH,VN_3148,A3-03,RCOT10-FALP,,50,100,2
3,01PFH,VN_3148,A2-04,RCOT10-FALP,,55,100,2
3,01PFH,VN_3148,A2-06,RCOT10-FALP,,70,100,2
3,01PFH,VN_3148,A2-10,RCOT10-FALP,,90,100,2
3,01PFH,VN_3148,A2-13,RCOT10-FALP,,105,100,2
3,01PFH,VN_3148,A2-12,RCOT10-FALP,,110,100,2
3,01PFH,VN_3148,A2-15,RCOT10-FALP,,115,100,2
3,01PFH,VN_3148,A2-24,RCOT10-FALP,,165,100,2
3,01PFH,VN_3148,A2-33,RCOT10-FALP,,220,100,2
3,01PFH,VN_3148,A2-35,RCOT10-FALP,,230,100,2
3,01PFH,VN_3148,A2-36,RCOT10-FALP,,235,100,2
3,01PFH,VN_3148,B2-11,RCOT10-FALP,,515,100,2
3,01PFH,VN_3148,D6-12,RCOT10-FALP,,625,100,2
3,01PFH,VN_3148,B2-02,RCOT10-FALP,,715,100,2
3,01PFI,VN_3148,B6-01,RCOT13-FALP,,55,100,2
3,01PFI,VN_3148,B6-06,RCOT13-FALP,,95,100,2
3,01PFI,VN_3148,B6-09,RCOT13-FALP,,110,100,2
3,01PFI,VN_3148,Temp. Location,RCOT13-FALP,,310,100,2
3,01PFI,VN_3148,C6-01,RCOT13-FALP,,320,100,2
3,01PFI,VN_3148,E6-07,RCOT13-FALP,,425,100,2
3,01PFI,VN_3148,E6-08,RCOT13-FALP,,455,100,2
3,01PFI,VN_3148,E6-09,RCOT13-FALP,,680,100,2
3,01PFI,VN_3148,E6-10,RCOT13-FALP,,715,100,2
3,01PFJ,VN_3148,B5-10,RCOT15-FALP,,55,100,2
3,01PFJ,VN_3148,E2-11,RCOT15-FALP,,85,100,2
3,01PFJ,VN_3148,E2-02,RCOT15-FALP,,105,100,2
3,01PFJ,VN_3148,B3-06,RCOT15-FALP,,120,100,2
3,01PFJ,VN_3148,B5-14,RCOT15-FALP,,135,100,2
3,01PFJ,VN_3148,B5-03,RCOT15-FALP,,145,100,2
3,01PFJ,VN_3148,B3-08,RCOT15-FALP,,150,100,2
3,01PFJ,VN_3148,E2-16,RCOT15-FALP,,165,100,2
3,01PFJ,VN_3148,B3-12,RCOT15-FALP,,240,100,2
3,01PFJ,VN_3148,E2-17,RCOT15-FALP,,305,100,2
3,01PFJ,VN_3148,B4-04,RCOT15-FALP,,475,100,2
3,01PFK,VN_3148,Temp. Location,RCOT19-FALP,,105,100,2
3,01PFK,VN_3148,Temp. Location,RCOT19-FALP,,130,100,2
3,01PFK,VN_3148,Temp. Location,RCOT19-FALP,,145,100,2
3,01PFK,VN_3148,C2-07,RCOT19-FALP,,150,100,2
3,01PFK,VN_3148,Temp. Location,RCOT19-FALP,,160,100,2
3,01PFK,VN_3148,C3-06,RCOT19-FALP,,180,100,2
3,01PFK,VN_3148,Temp. Location,RCOT19-FALP,,190,100,2
3,01PFK,VN_3148,C2-13,RCOT19-FALP,,210,100,2
3,01PFK,VN_3148,C3-10,RCOT19-FALP,,240,100,2
3,01PFK,VN_3148,C3-09,RCOT19-FALP,,350,100,2
3,01PFK,VN_3148,C2-14,RCOT19-FALP,,380,100,2
3,01PFK,VN_3148,Temp. Location,RCOT19-FALP,,455,100,2
3,01PFK,VN_3148,Temp. Location,RCOT19-FALP,,465,100,2
3,01PFK,VN_3148,Temp. Location,RCOT19-FALP,,530,100,2
3,01PFL,VN_3148,D1-07,RCOT22-FALP,,160,100,2
3,01PFL,VN_3148,D2-07,RCOT22-FALP,,180,100,2
3,01PFL,VN_3148,D2-08,RCOT22-FALP,,190,100,2
3,01PFL,VN_3148,D2-09,RCOT22-FALP,,210,100,2
3,01PFP,VN_3148,A6-02,RCOT5-FALP,,45,100,2
3,01PFP,VN_3148,A5-11,RCOT5-FALP,,50,100,2
3,01PFP,VN_3148,A5-13,RCOT5-FALP,,60,100,2
3,01PFP,VN_3148,A6-06,RCOT5-FALP,,65,100,2
3,01PFP,VN_3148,A6-07,RCOT5-FALP,,70,100,2
3,01PFP,VN_3148,A6-09,RCOT5-FALP,,80,100,2
3,01PFP,VN_3148,A6-10,RCOT5-FALP,,85,100,2
3,01PFP,VN_3148,A6-12,RCOT5-FALP,,95,100,2
3,01PFP,VN_3148,A5-01,RCOT5-FALP,,100,100,2
3,01PFP,VN_3148,A2-02,RCOT5-FALP,,105,100,2
3,01PFP,VN_3148,A5-03,RCOT5-FALP,,110,100,2
3,01PFP,VN_3148,A5-04,RCOT5-FALP,,115,100,2
3,01PFP,VN_3148,A5-05,RCOT5-FALP,,120,100,2
3,01PFP,VN_3148,A5-06,RCOT5-FALP,,125,100,2
3,01PFP,VN_3148,A5-10,RCOT5-FALP,,145,100,2
3,01PFP,VN_3148,A5-11,RCOT5-FALP,,150,100,2
3,01PFP,VN_3148,A5-16,RCOT5-FALP,,175,100,2
3,01PFP,VN_3148,A5-18,RCOT5-FALP,,185,100,2
3,01PFP,VN_3148,A5-21,RCOT5-FALP,,200,100,2
3,01PFP,VN_3148,A5-23,RCOT5-FALP,,210,100,2
3,01PFP,VN_3148,A5-29,RCOT5-FALP,,240,100,2
3,01PFP,VN_3148,A5-37,RCOT5-FALP,,280,100,2
3,01PFP,VN_3148,Temp. Location,RCOT5-FALP,,365,100,2
3,01PFP,VN_3148,A4-22,RCOT5-FALP,,405,100,2
3,01PFP,VN_3148,A4-26,RCOT5-FALP,,425,100,2
3,01PFP,VN_3148,A6-13,RCOT5-FALP,,500,100,2
3,01PFP,VN_3148,A6-23,RCOT5-FALP,,510,100,2
3,01PFP,VN_3148,E5-14,RCOT5-FALP,,685,100,2
3,01PFP,VN_3148,Temp. Location,RCOT5-FALP,,925,100,2
3,01PFQ,VN_3148,F1-11,RCOT7-FALP,,95,100,2
