Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFP,VN_3053,A6-03,RCOT5-FALP,,50,100,4
3,01PFP,VN_3053,A6-05,RCOT5-FALP,,60,100,4
3,01PFP,VN_3053,A6-08,RCOT5-FALP,,75,100,4
3,01PFP,VN_3053,A5-06,RCOT5-FALP,,125,100,4
3,01PFP,VN_3053,A5-21,RCOT5-FALP,,200,100,4
3,01PFP,VN_3053,A5-29,RCOT5-FALP,,240,100,4
3,01PFP,VN_3053,A5-37,RCOT5-FALP,,280,100,4
3,01PFP,VN_3154,A5-03,RCOT5-FALP,,110,100,4
3,01PFP,VN_3154,A5-18,RCOT5-FALP,,185,100,4
3,01PFP,VN_3154,A6-24,RCOT5-FALP,,920,100,4
3,01PFQ,VN_3154,E1-03,RCOT7-FALP,,110,100,4
3,01PFQ,VN_3154,E1-11,RCOT7-FALP,,150,100,4
3,01PFH,VN_3155,A2-05,RCOT10-FALP,,65,100,4
3,01PFH,VN_3155,E4-12,RCOT10-FALP,,445,100,4
3,01PFI,VN_3155,C5-13,RCOT13-FALP,,360,100,4
3,01PFP,VN_3155,A6-07,RCOT5-FALP,,70,100,4
3,01PFQ,VN_3155,E1-01,RCOT7-FALP,,100,100,4
