Serial No,Kanban Read,Parts Code,Line No,Stock Address,Parts Name,Comment,Length(mm),Quantity,Production Location
SN-8ba1a01LURf278c,TC-NCOT10-FALP_435_7101_100_01LUR_I3-05_1_200907100519,01LUR,7101,I3-05,NCOT10-FALP,,435,100,a-3
SN-7361c01LURc6134,TC-NCOT10-FALP_435_7101_100_01LUR_I3-05_2_200907100519,01LUR,7101,I3-05,NCOT10-FALP,,435,100,
SN-9859601LURf0bef,TC-NCOT10-FALP_440_7101_100_01LUR_I3-02_1_200907100519,01LUR,7101,I3-02,NCOT10-FALP,,440,100,
SN-348f801LURad16e,TC-NCOT10-FALP_440_7101_100_01LUR_I3-02_2_200907100519,01LUR,7101,I3-02,NCOT10-FALP,,440,100,
SN-c1b8501LURe43dc,TC-NCOT10-FALP_475_7101_100_01LUR_I3-04_1_200907100519,01LUR,7101,I3-04,NCOT10-FALP,,475,100,
SN-606a801LUR25cb2,TC-NCOT10-FALP_475_7101_100_01LUR_I3-04_2_200907100519,01LUR,7101,I3-04,NCOT10-FALP,,475,100,
SN-fd31801LUR97034,TC-NCOT10-FALP_520_7101_100_01LUR_I3-03_1_200907100519,01LUR,7101,I3-03,NCOT10-FALP,,520,100,
SN-4780401LURf6bed,TC-NCOT10-FALP_520_7101_100_01LUR_I3-03_2_200907100519,01LUR,7101,I3-03,NCOT10-FALP,,520,100,
SN-e5d2401LUS9382b,TC-NCOT13-FALP_130_7101_100_01LUS_I4-08_1_200907100519,01LUS,7101,I4-08,NCOT13-FALP,,130,100,
SN-c9f3a01LUSf04c7,TC-NCOT13-FALP_130_7101_100_01LUS_I4-08_2_200907100520,01LUS,7101,I4-08,NCOT13-FALP,,130,100,
SN-1fdef01LUT2d76f,TC-NCOT5-FALP_65_7101_100_01LUT_H3-11_1_200907100520,01LUT,7101,H3-11,NCOT5-FALP,,65,100,
SN-8a20701LUTb7948,TC-NCOT5-FALP_65_7101_100_01LUT_H3-11_2_200907100520,01LUT,7101,H3-11,NCOT5-FALP,,65,100,
SN-300b701LUT5197e,TC-NCOT5-FALP_85_7101_100_01LUT_H3-02_1_200907100520,01LUT,7101,H3-02,NCOT5-FALP,,85,100,
SN-2dcad01LUT84c54,TC-NCOT5-FALP_85_7101_100_01LUT_H3-02_2_200907100520,01LUT,7101,H3-02,NCOT5-FALP,,85,100,
SN-b5cba01LUTb1619,TC-NCOT5-FALP_85_7101_100_01LUT_H3-02_3_200907100520,01LUT,7101,H3-02,NCOT5-FALP,,85,100,
SN-b4c1f01LUT630aa,TC-NCOT5-FALP_110_7101_100_01LUT_H3-12_1_200907100520,01LUT,7101,H3-12,NCOT5-FALP,,110,100,
SN-9a6dd01LUT6d823,TC-NCOT5-FALP_110_7101_100_01LUT_H3-12_2_200907100520,01LUT,7101,H3-12,NCOT5-FALP,,110,100,
SN-2a76201LUTbf25c,TC-NCOT5-FALP_190_7101_100_01LUT_H3-22_1_200907100520,01LUT,7101,H3-22,NCOT5-FALP,,190,100,
