Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01MNP,7113,H1-01,NCOT7-FALP,,20,100,1
3,01MNP,7113,H1-15,NCOT7-FALP,,95,100,6
3,01MNP,7113,H1-14,NCOT7-FALP,,105,100,2
3,01MNP,7113,H1-21,NCOT7-FALP,,135,100,4
3,01MNP,7113,H1-23,NCOT7-FALP,,150,100,3
3,01MNP,7113,H1-28,NCOT7-FALP,,195,100,2
3,01MNP,7113,H1-38,NCOT7-FALP,,265,100,1
3,7291,7114,G5-37,VO8X0.5(B),,160,100,7
3,01LUR,7101,I3-05,NCOT10-FALP,,435,100,8
3,01LUR,7101,I3-02,NCOT10-FALP,,440,100,8
3,01LUR,7101,I3-04,NCOT10-FALP,,475,100,5
3,01LUR,7101,I3-03,NCOT10-FALP,,520,100,5
3,01LUS,7101,I4-08,NCOT13-FALP,,130,100,6
3,01LUT,7101,H3-11,NCOT5-FALP,,65,100,2
3,01LUT,7101,H3-43,NCOT5-FALP,,485,100,3
3,01LUT,7101,H2-04,NCOT5-FALP,,550,100,2
3,01MNP,7101,H1-17,NCOT7-FALP,,110,100,3
3,01MNP,7101,H1-18,NCOT7-FALP,,130,100,1
3,01MNP,7101,H1-41,NCOT7-FALP,,315,100,3
3,7319,7101,G4-05,VO10X0.5(B),WITH SLIT,90,100,2
3,7319,7101,G4-06,VO10X0.5(B),WITH SLIT,95,100,2
3,7319,7101,G4-13,VO10X0.5(B),WITH SLIT,220,100,3
3,7319,7101,G4-15,VO10X0.5(B),WITH SLIT,255,100,2
3,7319,7101,G4-19,VO10X0.5(B),WITH SLIT,340,100,2
3,7319,7101,G4-21,VO10X0.5(B),WITH SLIT,390,100,1
3,7319,7101,G4-26,VO10X0.5(B),,120,100,7
3,7410,7101,G3-08,VO12X0.5(B),WITH SLIT,125,100,6
3,7410,7101,G3-15,VO12X0.5(B),WITH SLIT,330,100,5
3,7410,7101,G3-18,VO12X0.5(B),WITH SLIT,395,100,1
3,7410,7101,G3-19,VO12X0.5(B),WITH SLIT,400,100,2
3,7410,7101,G3-20,VO12X0.5(B),WITH SLIT,405,100,2
3,7452,7101,G2-07,VO14X0.5(B),WITH SLIT,155,100,4
3,7452,7101,G2-10,VO14X0.5(B),WITH SLIT,210,100,3
3,7473,7101,G1-01,VO16X0.6(B),WITH SLIT,85,100,2
3,7473,7101,G1-06,VO16X0.6(B),WITH SLIT,205,100,1
3,7473,7101,G1-09,VO16X0.6(B),WITH SLIT,295,50,2
3,7473,7101,G1-11,VO16X0.6(B),WITH SLIT,365,50,2
3,7495,7101,G2-17,VO18X0.6(B),WITH SLIT,85,100,2
3,7495,7101,G2-19,VO18X0.6(B),WITH SLIT,180,100,1
3,7495,7101,G2-21,VO18X0.6(B),WITH SLIT,230,50,4
3,7495,7101,G2-22,VO18X0.6(B),WITH SLIT,250,50,3
3,7495,7101,G2-24,VO18X0.6(B),WITH SLIT,295,50,1
3,7515,7101,G1-18,VO20X0.6(B),WITH SLIT,180,100,2
3,7515,7101,G1-19,VO20X0.6(B),WITH SLIT,500,50,1
3,21430,7101,H5-12,VO24X0.6(B),WITH SLIT,330,50,2
3,21430,7101,H5-14,VO24X0.6(B),WITH SLIT,520,50,1
3,7161,7101,G6-03,VO6X0.5(B),WITH SLIT,45,100,3
3,7161,7101,G6-22,VO6X0.5(B),WITH SLIT,185,100,2
3,7161,7101,G6-24,VO6X0.5(B),WITH SLIT,200,100,1
3,7161,7101,G6-25,VO6X0.5(B),WITH SLIT,210,100,2
3,7161,7101,G6-29,VO6X0.5(B),WITH SLIT,320,100,1
3,7161,7101,G6-35,VO6X0.5(B),WITH SLIT,635,100,2
3,7161,7101,G6-41,VO6X0.5(B),,115,100,2
3,7161,7101,G6-45,VO6X0.5(B),,150,100,1
3,7291,7101,G5-15,VO8X0.5(B),WITH SLIT,185,100,1
3,7291,7101,G5-24,VO8X0.5(B),WITH SLIT,390,100,2
3,01LUU,7101,O3-54,VS100FP,,155,100,2
3,01LV4,7101,O3-65,VS70FP,,330,100,1
3,01LUR,7102,I3-05,NCOT10-FALP,,435,100,1
3,01LUS,7102,I4-08,NCOT13-FALP,,130,100,1
3,7319,7102,G4-05,VO10X0.5(B),WITH SLIT,90,100,1
3,7319,7102,G4-06,VO10X0.5(B),WITH SLIT,95,100,1
3,7495,7102,G2-17,VO18X0.6(B),WITH SLIT,85,100,1
3,7161,7102,G6-08,VO6X0.5(B),WITH SLIT,90,100,1
3,7161,7102,G6-45,VO6X0.5(B),,150,100,1
3,7291,7102,G5-40,VO8X0.5(B),,185,100,2
3,01LUT,7103,H3-43,NCOT5-FALP,,485,100,1
3,01MNP,7103,H1-18,NCOT7-FALP,,130,100,1
3,01MNP,7103,H1-41,NCOT7-FALP,,315,100,1
3,7319,7103,G4-05,VO10X0.5(B),WITH SLIT,90,100,2
3,7319,7103,G4-06,VO10X0.5(B),WITH SLIT,95,100,2
3,7410,7103,G3-19,VO12X0.5(B),WITH SLIT,400,100,1
3,7452,7103,G2-10,VO14X0.5(B),WITH SLIT,210,100,1
3,7495,7103,G2-17,VO18X0.6(B),WITH SLIT,85,100,2
3,7495,7103,G2-19,VO18X0.6(B),WITH SLIT,180,100,1
3,7495,7103,G2-27,VO18X0.6(B),WITH SLIT,365,50,1
3,7161,7103,G6-08,VO6X0.5(B),WITH SLIT,90,100,2
