Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01MNP,5015,H1-13,NCOT7-FALP,,90,100,1
3,02KXT,5015,M2-13,VO4X0.5(B)-FALP,,60,100,1
3,01LUT,5018,H3-03,NCOT5-FALP,,50,100,2
3,01LUT,5018,H3-25,NCOT5-FALP,,300,100,1
3,01LUT,5018,H2-03,NCOT5-FALP,,700,100,3
3,01MNP,5018,H1-24,NCOT7-FALP,,175,100,1
3,02KXX,5018,L3-23,VO12X0.5(B)-FALP,,160,100,1
3,02KXV,5022,K1-06,VO8X0.5(B)-FALP,,125,100,1
3,01LV3,5022,O3-75,VS50X0.3FP,,170,100,1
3,01LV5,5022,O4-54,VS70X0.3FP,,105,100,1
3,01LUT,5029,H3-22,NCOT5-FALP,,190,100,1
3,01LUT,5029,H3-32,NCOT5-FALP,,260,100,1
3,01LUT,5029,H3-37,NCOT5-FALP,,325,100,2
3,01MNP,5029,H1-24,NCOT7-FALP,,175,100,1
3,01MNP,5029,I1-18,NCOT7-FALP,,570,100,1
3,01LUS,5031,I5-06,NCOT13-FALP,,160,100,1
3,01LUR,5103,I2-09,NCOT10-FALP,,170,100,2
3,01LUT,5103,H3-18,NCOT5-FALP,,170,100,1
3,01MNP,5103,H1-18,NCOT7-FALP,,130,100,1
3,01MNP,5103,H1-28,NCOT7-FALP,,195,100,2
3,02KXX,5103,L3-18,VO12X0.5(B)-FALP,,120,100,3
3,02KXU,5103,J5-04,VO6X0.5(B)-FALP,,50,100,6
3,02KXU,5103,J5-13,VO6X0.5(B)-FALP,,95,100,1
3,02KXU,5103,J5-22,VO6X0.5(B)-FALP,,100,100,1
3,10326,5103,O1-72,VS100X0.3,,70,100,2
3,01LUT,5104,H3-17,NCOT5-FALP,,120,100,1
3,01MNP,5104,H1-37,NCOT7-FALP,,280,100,2
3,02KXX,5104,L3-11,VO12X0.5(B)-FALP,,80,100,2
3,02KXX,5104,L3-20,VO12X0.5(B)-FALP,,130,100,2
3,02KXU,5104,J5-06,VO6X0.5(B)-FALP,,60,100,2
3,02KXU,5104,J5-26,VO6X0.5(B)-FALP,,120,100,1
3,02KXU,5104,J5-40,VO6X0.5(B)-FALP,,185,100,2
3,02KXU,5104,J4-07,VO6X0.5(B)-FALP,,260,100,1
3,02KXU,5104,J4-13,VO6X0.5(B)-FALP,,295,100,1
3,02KXV,5104,K1-11,VO8X0.5(B)-FALP,,145,100,4
3,02KXV,5104,K2-01,VO8X0.5(B)-FALP,,310,100,1
3,7230,5104,O1-52,VS70X0.3,,60,100,1
3,7230,5104,O1-55,VS70X0.3,,80,100,2
3,7230,5104,O1-70,VS70X0.3,,315,100,1
3,8146,5105,F5-09,HCOT10(GR),,60,100,2
3,8146,5105,F5-12,HCOT10(GR),,120,100,1
3,8147,5105,F5-01,HCOT15(GR),,90,100,1
3,23270,5105,F4-02,HCOT5(GR),,45,100,1
3,23270,5105,F4-07,HCOT5(GR),,85,100,1
3,23270,5105,F4-11,HCOT5(GR),,150,100,1
3,38818,5105,D5-11,NCOT10-DFPH,,130,100,1
3,38818,5105,D5-19,NCOT10-DFPH,,235,100,1
3,38821,5105,D5-08,NCOT19-DFPH,,310,50,5
3,38821,5105,D5-09,NCOT19-DFPH,,315,50,2
3,38821,5105,D5-10,NCOT19-DFPH,,325,50,2
3,38826,5105,D5-02,NCOT5-DFPH,,160,100,1
3,7778,5105,O6-14,POX10X0.4(GR),,170,100,1
3,7778,5105,O6-15,POX10X0.4(GR),,250,100,2
3,02KXV,5105,K1-02,VO8X0.5(B)-FALP,,105,100,1
3,02KXV,5105,K1-05,VO8X0.5(B)-FALP,,120,100,2
3,02KXV,5105,K1-15,VO8X0.5(B)-FALP,,165,100,1
