Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,23270,3133,F4-32,HCOT5(GR),,690,100,4
3,23270,3133,F4-30,HCOT5(GR),,680,100,4
3,23270,3133,F4-33,HCOT5(GR),,420,100,4
3,01PFH,3133,A2-12,RCOT10-FALP,,100,100,4
3,01PFH,3133,A2-14,RCOT10-FALP,,110,100,4
3,01PFH,3133,D6-17,RCOT10-FALP,,1130,100,4
3,01PFH,3133,A2-15,RCOT10-FALP,,115,100,4
3,01PFH,3133,A2-16,RCOT10-FALP,,120,100,4
3,01PFH,3133,A2-18,RCOT10-FALP,,130,100,4
3,01PFH,3133,A2-21,RCOT10-FALP,,145,100,4
3,01PFH,3133,A2-27,RCOT10-FALP,,180,100,4
3,01PFH,3133,A2-29,RCOT10-FALP,,190,100,4
3,01PFH,3133,A2-30,RCOT10-FALP,,195,100,4
3,01PFH,3133,E4-02,RCOT10-FALP,,265,100,4
3,01PFH,3133,A1-03,RCOT10-FALP,,280,100,4
3,01PFH,3133,B1-06,RCOT10-FALP,,430,100,4
3,01PFH,3133,B1-09,RCOT10-FALP,,465,100,4
3,01PFH,3133,A2-03,RCOT10-FALP,,50,100,4
3,01PFH,3133,E4-04,RCOT10-FALP,,500,100,4
3,01PFH,3133,A2-04,RCOT10-FALP,,55,100,4
3,01PFH,3133,A3-16,RCOT10-FALP,,60,100,4
3,01PFH,3133,A2-05,RCOT10-FALP,,65,100,4
3,01PFH,3133,A2-06,RCOT10-FALP,,70,100,4
3,01PFH,3133,B2-03,RCOT10-FALP,,730,100,4
3,01PFH,3133,B1-08,RCOT10-FALP,,775,100,4
3,01PFH,3133,A2-08,RCOT10-FALP,,80,100,4
3,01PFH,3133,B1-11,RCOT10-FALP,,845,100,4
3,01PFI,3133,C5-16,RCOT13-FALP,,255,100,4
3,01PFI,3133,B6-16,RCOT13-FALP,,170,100,4
3,01PFI,3133,E6-05,RCOT13-FALP,,555,100,4
3,01PFI,3133,E6-04,RCOT13-FALP,,535,100,4
3,01PFI,3133,C5-18,RCOT13-FALP,,430,100,4
3,01PFI,3133,C5-10,RCOT13-FALP,,65,100,4
3,01PFI,3133,C5-17,RCOT13-FALP,,445,100,4
3,01PFI,3133,C5-15,RCOT13-FALP,,125,100,4
3,01PFI,3133,C6-09,RCOT13-FALP,,135,100,4
3,01PFJ,3133,B5-19,RCOT15-FALP,,210,100,4
3,01PFJ,3133,E2-06,RCOT15-FALP,,155,100,4
3,01PFJ,3133,B4-05,RCOT15-FALP,,490,100,4
3,01PFJ,3133,E2-10,RCOT15-FALP,,360,100,4
3,01PFJ,3133,B3-10,RCOT15-FALP,,200,100,4
3,01S68,3133,E3-10,RCOT17-FALP,,360,100,4
3,01S69,3133,E3-07,RCOT17-FALP,,235,100,4
3,01S70,3133,E3-01,RCOT17-FALP,,155,100,4
3,01S71,3133,E3-05,RCOT17-FALP,,210,100,4
3,01S72,3133,Temp Location,RCOT17-FALP,,200,100,4
3,01S73,3133,E3-14,RCOT17-FALP,,555,100,4
3,01S74,3133,E3-11,RCOT17-FALP,,365,100,4
3,01PFK,3133,C2-16,RCOT19-FALP,,555,100,4
3,01PFK,3133,Temp Location,RCOT19-FALP,,200,100,4
3,01PFK,3133,C2-18,RCOT19-FALP,,365,100,4
3,01PFL,3133,D2-09,RCOT22-FALP,,555,100,4
3,01PFL,3133,Temp Location,RCOT22-FALP,,200,100,4
3,01PFL,3133,D2-08,RCOT22-FALP,,235,100,4
3,01PFP,3133,A5-01,RCOT5-FALP,,100,100,4
3,01PFP,3133,A5-02,RCOT5-FALP,,105,100,4
3,01PFP,3133,A5-03,RCOT5-FALP,,110,100,4
3,01PFP,3133,E5-09,RCOT5-FALP,,1140,100,4
3,01PFP,3133,A5-04,RCOT5-FALP,,115,100,4
3,01PFP,3133,A5-05,RCOT5-FALP,,120,100,4
3,01PFP,3133,A5-06,RCOT5-FALP,,125,100,4
3,01PFP,3133,E5-17,RCOT5-FALP,,1250,100,4
3,01PFP,3133,A5-07,RCOT5-FALP,,130,100,4
3,01PFP,3133,A5-08,RCOT5-FALP,,135,100,4
3,01PFP,3133,A5-09,RCOT5-FALP,,140,100,4
3,01PFP,3133,A5-10,RCOT5-FALP,,145,100,4
3,01PFP,3133,A5-13,RCOT5-FALP,,160,100,4
3,01PFP,3133,A5-14,RCOT5-FALP,,165,100,4
3,01PFP,3133,A5-17,RCOT5-FALP,,180,100,4
3,01PFP,3133,A5-21,RCOT5-FALP,,200,100,4
3,01PFP,3133,A5-23,RCOT5-FALP,,210,100,4
3,01PFP,3133,A5-27,RCOT5-FALP,,230,100,4
3,01PFP,3133,A5-38,RCOT5-FALP,,285,100,4
3,01PFP,3133,A5-39,RCOT5-FALP,,290,100,4
3,01PFP,3133,A4-02,RCOT5-FALP,,305,100,4
3,01PFP,3133,A4-18,RCOT5-FALP,,385,100,4
3,01PFP,3133,A4-31,RCOT5-FALP,,450,100,4
3,01PFP,3133,A6-03,RCOT5-FALP,,50,100,4
3,01PFP,3133,A6-04,RCOT5-FALP,,55,100,4
3,01PFP,3133,A3-19,RCOT5-FALP,,560,100,4
3,01PFP,3133,A6-05,RCOT5-FALP,,60,100,4
3,01PFP,3133,E5-11,RCOT5-FALP,,625,100,4
3,01PFP,3133,E5-12,RCOT5-FALP,,635,100,4
3,01PFP,3133,A6-06,RCOT5-FALP,,65,100,4
3,01PFP,3133,E5-20,RCOT5-FALP,,745,100,4
3,01PFP,3133,A6-08,RCOT5-FALP,,75,100,4
3,01PFP,3133,A6-09,RCOT5-FALP,,80,100,4
3,01PFP,3133,A6-10,RCOT5-FALP,,85,100,4
3,01PFP,3133,A6-11,RCOT5-FALP,,90,100,4
3,01PFP,3133,E5-20,RCOT5-FALP,,930,100,4
3,01PFP,3133,A6-12,RCOT5-FALP,,95,100,4
3,01PFQ,3133,E1-05,RCOT7-FALP,,120,100,4
3,01PFQ,3133,E1-10,RCOT7-FALP,,145,100,4
3,01PFQ,3133,E1-11,RCOT7-FALP,,150,100,4
3,01PFQ,3133,E1-12,RCOT7-FALP,,155,100,4
3,01PFQ,3133,E1-14,RCOT7-FALP,,165,100,4
3,01PFQ,3133,E1-19,RCOT7-FALP,,190,100,4
3,01PFQ,3133,E1-21,RCOT7-FALP,,200,100,4
3,01PFQ,3133,E1-25,RCOT7-FALP,,220,100,4
3,01PFQ,3133,E1-26,RCOT7-FALP,,225,100,4
3,01PFQ,3133,E1-29,RCOT7-FALP,,240,100,4
