Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFH, T20 INITIAL_L6,E4-04,RCOT10-FALP,,500,100,3
3,01PFP, T20 INITIAL_L6,A6-03,RCOT5-FALP,,50,100,3
3,01PFP, T20 INITIAL_L6,A6-09,RCOT5-FALP,,80,100,3
3,01PFP, T20 INITIAL_L6,A6-12,RCOT5-FALP,,95,100,3
3,01PFP, T20 INITIAL_L6,A5-03,RCOT5-FALP,,110,100,3
3,01PFH, T20 INITIAL_L6,B1-08,RCOT10-FALP,,775,100,3
3,01PFP, T20 INITIAL_L6,E5-09,RCOT5-FALP,,1140,100,3
3,01PFP, T20 INITIAL_L6,A5-05,RCOT5-FALP,,120,100,3
3,01PFP, T20 INITIAL_L6,A5-07,RCOT5-FALP,,130,100,3
3,01PFP, T20 INITIAL_L6,A5-08,RCOT5-FALP,,135,100,3
3,01PFP, T20 INITIAL_L6,A5-21,RCOT5-FALP,,200,100,3
3,01PFP, T20 INITIAL_L6,E5-11,RCOT5-FALP,,625,100,3
3,01PFP, T20 INITIAL_L6,E5-12,RCOT5-FALP,,635,100,3
3,01PFP, T20 INITIAL_L6,A6-08,RCOT5-FALP,,75,100,3
3,01PFP, T20 INITIAL_L6,A6-10,RCOT5-FALP,,85,100,3
3,01PFQ, T20 INITIAL_L6,E1-31,RCOT7-FALP,,250,100,3
3,01PFQ, T20 INITIAL_L6,F1-21,RCOT7-FALP,,340,100,3
3,01PFQ, T20 INITIAL_L6,F1-08,RCOT7-FALP,,80,100,3
3,01PFH,T20 INITIAL_L1,E4-04,RCOT10-FALP,,500,100,2
3,01PFP,T20 INITIAL_L1,A6-03,RCOT5-FALP,,50,100,2
3,01PFP,T20 INITIAL_L1,A6-09,RCOT5-FALP,,80,100,2
3,01PFP,T20 INITIAL_L1,A6-12,RCOT5-FALP,,95,100,2
3,01PFP,T20 INITIAL_L1,A5-03,RCOT5-FALP,,110,100,2
3,01PFH,T20 INITIAL_L1,B1-08,RCOT10-FALP,,775,100,2
3,01PFP,T20 INITIAL_L1,E5-09,RCOT5-FALP,,1140,100,2
3,01PFP,T20 INITIAL_L1,A5-05,RCOT5-FALP,,120,100,2
3,01PFP,T20 INITIAL_L1,A5-07,RCOT5-FALP,,130,100,2
3,01PFP,T20 INITIAL_L1,A5-08,RCOT5-FALP,,135,100,2
3,01PFP,T20 INITIAL_L1,A5-21,RCOT5-FALP,,200,100,2
3,01PFP,T20 INITIAL_L1,E5-11,RCOT5-FALP,,625,100,2
3,01PFP,T20 INITIAL_L1,E5-12,RCOT5-FALP,,635,100,2
3,01PFP,T20 INITIAL_L1,A6-08,RCOT5-FALP,,75,100,2
3,01PFP,T20 INITIAL_L1,A6-10,RCOT5-FALP,,85,100,2
3,01PFQ,T20 INITIAL_L1,E1-31,RCOT7-FALP,,250,100,2
3,01PFQ,T20 INITIAL_L1,F1-21,RCOT7-FALP,,340,100,2
3,01PFQ,T20 INITIAL_L1,F1-08,RCOT7-FALP,,80,100,2
