Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFP,TAA A/B,A5-01,RCOT5-FALP,,100,100,2
3,01PFP,TAA A/B,A5-02,RCOT5-FALP,,105,100,2
3,01PFP,TAA A/B,A5-12,RCOT5-FALP,,155,100,2
3,01PFP,TAA A/B,A5-15,RCOT5-FALP,,170,100,2
3,01PFP,TAA A/B,A5-16,RCOT5-FALP,,175,100,2
3,01PFP,TAA A/B,A5-17,RCOT5-FALP,,180,100,2
3,01PFP,TAA A/B,A5-19,RCOT5-FALP,,190,100,2
3,01PFP,TAA A/B,A5-26,RCOT5-FALP,,225,100,2
3,01PFP,TAA A/B,A4-21,RCOT5-FALP,,400,100,2
3,01PFP,TAA A/B,A6-06,RCOT5-FALP,,65,100,3
3,01PFP,TAA A/B,A6-08,RCOT5-FALP,,75,100,2
3,01PFP,TAA A/B,A6-10,RCOT5-FALP,,85,100,2
3,01PFP,TAA A/B,A6-12,RCOT5-FALP,,95,100,2
3,01PFQ,TAA A/B,F3-06,RCOT7-FALP,,845,100,2
3,01PFH,TAA A/B,B1-11,RCOT10-FALP,,845,100,2
3,01PFP,TAD A/B,A6-06,RCOT5-FALP,,65,100,3
3,01PFP,TAD A/B,A6-08,RCOT5-FALP,,75,100,2
3,01PFP,TAD A/B,A6-10,RCOT5-FALP,,85,100,2
3,01PFP,TAD A/B,A6-12,RCOT5-FALP,,95,100,2
3,01PFP,TAD A/B,A5-01,RCOT5-FALP,,100,100,2
3,01PFP,TAD A/B,A5-06,RCOT5-FALP,,125,100,2
3,01PFP,TAD A/B,A5-15,RCOT5-FALP,,170,100,2
3,01PFP,TAD A/B,A5-16,RCOT5-FALP,,175,100,2
3,01PFP,TAD A/B,A5-17,RCOT5-FALP,,180,100,2
3,01PFP,TAD A/B,A5-26,RCOT5-FALP,,225,100,2
3,01PFP,TAD A/B,A4-21,RCOT5-FALP,,400,100,2
3,01PFQ,TAD A/B,E1-16,RCOT7-FALP,,175,100,2
3,01PFH,TAD A/B,A2-26,RCOT10-FALP,,175,100,2
,,,,,,,,
,,,,,,,,
Prepared By:,,,,,,Received By:,,
,,,,,,,,
Frank Laurence Novicio,,,,,,,,
