Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFH,3108,B1-11,RCOT10-FALP,,845,100,4
3,01PFJ,3108,Temp. Location,RCOT15-FALP,,255,100,4
3,01PFP,3108,A5-12,RCOT5-FALP,,155,100,4
3,01PFP,3108,A5-17,RCOT5-FALP,,180,100,4
3,01PFP,3108,A5-26,RCOT5-FALP,,225,100,4
3,01PFP,3108,A4-03,RCOT5-FALP,,310,100,4
3,01PFP,3108,A4-21,RCOT5-FALP,,400,100,4
3,01S68,3108,C4-01,RCOT17-FALP,,70,100,4
3,01PFP,3109,A6-08,RCOT5-FALP,,75,100,4
3,01PFP,3109,A5-17,RCOT5-FALP,,180,100,4
3,01PFP,3109,A4-21,RCOT5-FALP,,400,100,4
