Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFP,4004,A6-02,RCOT5-FALP,,45,100,1
3,01PFH,4102,A2-14,RCOT10-FALP,,110,100,1
3,01PFH,4102,A2-27,RCOT10-FALP,,180,100,1
3,01PFH,4102,A2-35,RCOT10-FALP,,230,100,1
3,01PFH,4102,A1-02,RCOT10-FALP,,270,100,1
3,01PFI,4102,B6-08,RCOT13-FALP,,105,100,1
3,01PFI,4102,B6-11,RCOT13-FALP,,140,100,1
3,01PFI,4102,B6-22,RCOT13-FALP,,230,100,1
3,01PFP,4102,A6-06,RCOT5-FALP,,65,100,3
3,01PFP,4102,A5-02,RCOT5-FALP,,105,100,4
3,01PFP,4102,A5-03,RCOT5-FALP,,110,100,2
3,01PFP,4102,A6-20,RCOT5-FALP,,645,100,1
3,01PFQ,4102,F1-11,RCOT7-FALP,,95,100,1
3,01PFQ,4102,E1-03,RCOT7-FALP,,110,100,1
3,01PFQ,4102,E1-05,RCOT7-FALP,,120,100,1
3,01PFQ,4102,E1-33,RCOT7-FALP,,260,100,1
3,01PFQ,4102,F1-29,RCOT7-FALP,,370,100,1
3,01PFQ,4102,F2-10,RCOT7-FALP,,440,100,1
3,01PFQ,4102,F2-14,RCOT7-FALP,,485,100,1
3,02KXW,4102,L5-29,VO10X0.5(B)-FALP,WITH SLIT,120,100,1
3,02KXW,4102,L4-20,VO10X0.5(B)-FALP,WITH SLIT,240,100,1
3,02KXW,4102,K5-23,VO10X0.5(B)-FALP,,95,100,2
3,02KXW,4102,K6-16,VO10X0.5(B)-FALP,,215,100,1
0,02KXY,4102,Special Kanban,VO14X0.5(B)-FALP,WITH SLIT,100,30,3
3,02KXY,4102,M5-23,VO14X0.5(B)-FALP,WITH SLIT,130,100,1
0,02KY0,4102,Special Kanban,VO16X0.6(B)-FALP,WITH SLIT,100,30,3
3,02KY1,4102,M6-19,VO18X0.6(B)-FALP,WITH SLIT,155,50,1
0,02KY2,4102,Special Kanban,VO20X0.6(B)-FALP,WITH SLIT,160,30,2
3,02KXU,4102,J5-06,VO6X0.5(B)-FALP,,60,100,2
3,02KXU,4102,J5-23,VO6X0.5(B)-FALP,,105,100,3
3,02KXU,4102,J5-26,VO6X0.5(B)-FALP,,120,100,4
3,02KXU,4102,J5-37,VO6X0.5(B)-FALP,,200,100,1
3,02KXV,4102,K3-14,VO8X0.5(B)-FALP,WITH SLIT,80,100,4
3,01JJU,4102,O3-14,VSC100BS,,60,100,3
3,01JJU,4102,O3-20,VSC100BS,,65,100,1
3,01JJU,4102,O3-12,VSC100BS,,70,100,3
3,01JJU,4102,O3-16,VSC100BS,,90,100,2
3,01JJU,4102,O3-17,VSC100BS,,130,100,1
3,01JJV,4102,O3-42,VSC120BS,,65,100,1
3,01JJT,4102,O3-31,VSC70BS,,50,100,1
3,01JJT,4102,O3-32,VSC70BS,,110,100,2
3,01JJT,4102,O3-36,VSC70BS,,150,100,1
3,02KXX,4107,L1-04,VO12X0.5(B)-FALP,WITH SLIT,300,100,3
3,02KXU,4107,J2-04,VO6X0.5(B)-FALP,WITH SLIT,190,100,3
3,02KXW,4108,L5-13,VO10X0.5(B)-FALP,WITH SLIT,415,100,4
3,02KY1,4106,M1-26,VO18X0.6(B)-FALP,WITH SLIT,150,100,5
3,02KXW,4107,L4-25,VO10X0.5(B)-FALP,WITH SLIT,290,100,3
3,02KXU,4107,J2-03,VO6X0.5(B)-FALP,WITH SLIT,185,100,5
0,02KXW,4108,Temp. Location,VO10X0.5(B)-FALP,WITH SLIT,310,100,3
3,02KXT,4108,M2-32,VO4X0.5(B)-FALP,WITH SLIT,235,100,2
3,02KY2,4105,N2-18,VO20X0.6(B)-FALP,WITH SLIT,150,100,3
3,01JJP,4108,O2-63,VSC70BS,,355,100,1
3,01PFP,4102,A5-24,RCOT5-FALP,,215,100,1
3,01PFP,4102,A6-09,RCOT5-FALP,,80,100,3
3,02KXV,4009,K1-05,VO8X0.5(B)-FALP,,120,100,3
