Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01LUR,5103,I3-07,NCOT10-FALP,,110,100,4
3,01LUV,5103,O4-23,VS100X0.3FP,,55,100,4
3,01LUV,5103,O4-26,VS100X0.3FP,,80,100,4
3,01LUV,5103,O4-37,VS100X0.3FP,,100,100,4
3,01LUV,5103,O4-28,VS100X0.3FP,,145,100,4
3,01LUX,5103,O4-19,VS120X0.3FP,,55,100,4
3,01LUX,5103,O4-40,VS120X0.3FP,,100,100,4
3,01LUX,5103,O4-20,VS120X0.3FP,,145,100,4
3,01LV5,5103,O4-77,VS70X0.3FP,,125,100,4
3,01MNP,5103,H1-11,NCOT7-FALP,,100,100,4
3,01MNP,5103,H1-16,NCOT7-FALP,,125,100,4
3,01MNP,5103,H1-25,NCOT7-FALP,,160,100,4
3,01MNP,5103,H1-28,NCOT7-FALP,,195,100,4
3,02HY5,5103,O4-36,VS30-NTFP,,30,100,4
3,02KXU,5103,J3-17,VO6X0.5(B)-FALP,With Slit,40,100,4
3,02KXU,5103,J5-06,VO6X0.5(B)-FALP,,60,100,4
3,02KXU,5103,J5-13,VO6X0.5(B)-FALP,,95,100,4
3,02KXU,5103,J5-42,VO6X0.5(B)-FALP,,195,100,4
3,02KXV,5103,J1-28,VO8X0.5(B)-FALP,,80,100,4
3,02KXV,5103,K1-27,VO8X0.5(B)-FALP,,230,100,4
3,02KXX,5103,L1-03,VO12X0.5(B)-FALP,With Slit,85,100,4
3,07165,5103,O6-32,VO6X0.5(Y),,50,100,4
3,07165,5103,O6-04,VO6X0.5(Y),,65,100,4
3,07165,5103,O6-33,VO6X0.5(Y),,80,100,4
3,01LUR,5104,I2-17,NCOT10-FALP,,210,100,4
3,01LUT,5104,H3-13,NCOT5-FALP,,130,100,4
3,01LUT,5104,H3-19,NCOT5-FALP,,200,100,4
3,01LUT,5104,H2-09,NCOT5-FALP,,910,100,4
3,01LUT,5104,H3-45,NCOT5-FALP,,1340,100,4
3,01LUV,5104,O4-32,VS100X0.3FP,,160,100,4
3,01LV3,5104,O3-75,VS50X0.3FP,,170,100,4
3,01LV5,5104,O4-42,VS70X0.3FP,,50,100,4
3,01LV5,5104,O4-48,VS70X0.3FP,,80,100,4
3,01LV5,5104,O4-64,VS70X0.3FP,,270,100,4
3,01MNP,5104,H1-12,NCOT7-FALP,,115,100,4
3,01MNP,5104,H1-23,NCOT7-FALP,,150,100,4
3,01MNP,5104,H1-31,NCOT7-FALP,,210,100,4
3,01MNP,5104,I1-21,NCOT7-FALP,,220,100,4
3,02HY5,5104,O4-36,VS30-NTFP,,30,100,4
3,02KXU,5104,J5-06,VO6X0.5(B)-FALP,,60,100,4
3,02KXU,5104,J5-31,VO6X0.5(B)-FALP,,145,100,4
3,02KXU,5104,J5-36,VO6X0.5(B)-FALP,,170,100,4
3,02KXU,5104,J2-18,VO6X0.5(B)-FALP,With Slit,280,100,4
3,02KXU,5104,J5-19,VO6X0.5(B)-FALP,,490,100,4
3,02KXV,5104,J1-26,VO8X0.5(B)-FALP,,70,100,4
3,02KXV,5104,K1-03 ,VO8X0.5(B)-FALP,,110,100,4
3,02KXV,5104,K1-10,VO8X0.5(B)-FALP,,140,100,4
3,02KXV,5104,K2-05,VO8X0.5(B)-FALP,,330,100,4
3,02KXX,5104,L3-20,VO12X0.5(B)-FALP,,130,100,4
3,07290,5104,O6-26,VO8X0.5(Y),,45,100,4
3,07290,5104,O6-27,VO8X0.5(Y),,70,100,4
3,07290,5104,O6-31,VO8X0.5(Y),,100,100,4
3,23270,5104,F4-08,HCOT5(GR),,115,100,4
3,01MNP,5009,H1-37,NCOT7-FALP,,280,100,4
3,02KXV,5009,K1-19,VO8X0.5(B)-FALP,,180,100,4
3,01LUT,5138,H3-10,NCOT5-FALP,,100,100,4
3,01MNP,5138,H1-05,NCOT7-FALP,,45,100,4
3,01MNP,5138,H1-13,NCOT7-FALP,,90,100,4
3,01MNP,5138,H1-42,NCOT7-FALP,,325,100,4
3,02KXT,5138,M2-13,VO4X0.5(B)-FALP,,60,100,4
3,02KXU,5138,J5-38,VO6X0.5(B)-FALP,,175,100,4
3,02KXV,5138,J5-31,VO8X0.5(B)-FALP,,145,100,4
3,02KXV,5138,J4-18,VO8X0.5(B)-FALP,,330,100,4
3,02KXV,5138,J1-02,VO8X0.5(B)-FALP,,450,100,4
3,02KXW,5138,L4-22,VO10X0.5(B)-FALP,With Slit,260,100,4
3,02KXX,5138,L1-01,VO12X0.5(B)-FALP,With Slit,260,100,4
3,01LUV,5139,O4-14,VS100X0.3FP,,75,100,4
3,01LV5,5139,O4-46,VS70X0.3FP,,75,100,4
3,01LV5,5139,O4-60,VS70X0.3FP,,85,100,4
3,01LV5,5139,O4-62,VS70X0.3FP,,170,100,4
3,02KXV,5139,J1-29,VO8X0.5(B)-FALP,,85,100,4
3,02KXV,5139,K1-01,VO8X0.5(B)-FALP,,100,100,4
3,02KXV,5139,K1-27,VO8X0.5(B)-FALP,,230,100,4
3,02KXV,5139,K1-39,VO8X0.5(B)-FALP,,295,100,4
3,02KXW,5139,K5-25,VO10X0.5(B)-FALP,,105,100,4
3,07165,5139,O6-34,VO6X0.5(Y),,125,100,4
3,02KXU,5140,J3-23,VO6X0.5(B)-FALP,With Slit,70,100,4
3,02KXU,5140,J3-36,VO6X0.5(B)-FALP,With Slit,140,100,4
3,02KXU,5140,J5-28,VO6X0.5(B)-FALP,,175,100,4
3,02KXU,5140,J5-42,VO6X0.5(B)-FALP,,195,100,4
3,02KXV,5140,K1-02,VO8X0.5(B)-FALP,,105,100,4
3,02KXV,5140,K1-08,VO8X0.5(B)-FALP,,135,100,4
3,02KXV,5140,K1-14,VO8X0.5(B)-FALP,,160,100,4
3,02KXV,5140,K1-16,VO8X0.5(B)-FALP,,170,100,4
3,02KXV,5140,K2-01,VO8X0.5(B)-FALP,,310,100,4
3,02KXV,5140,K3-05,VO8X0.5(B)-FALP,With Slit,400,100,4
