Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban,,,
3,01LUR,5137,I2-05,NCOT10-FALP,,100,100,3,,,
3,01LUS,5137,I5-06,NCOT13-FALP,,95,100,3,,,
3,01LUT,5137,Special Kanban,NCOT5-FALP,,160,50,3,,,
3,01LUT,5137,H2-19,NCOT5-FALP,,375,100,3,,,
3,01MNP,5137,H1-02,NCOT7-FALP,,40,100,3,,,
3,01MNP,5137,H1-10,NCOT7-FALP,,50,100,3,,,
3,02KXW,5137,K5-27,VO10X0.5(B)-FALP,,120,100,3,,,
3,02KXW,5137,K6-04,VO10X0.5(B)-FALP,,160,100,3,,,
3,02KXX,5137,L2-15,VO12X0.5(B)-FALP,WITH SLIT,95,100,3,,,
3,02KXU,5137,J3-17,VO6X0.5(B)-FALP,WITH SLIT,40,100,3,,,
3,02KXU,5137,J5-22,VO6X0.5(B)-FALP,,100,100,3,,,
3,02KXU,5137,J4-09,VO6X0.5(B)-FALP,,275,100,3,,,
3,07165,5137,E3-03,VO6X0.5(Y),,45,100,3,,,
3,07165,5137,E3-20,VO6X0.5(Y),,60,100,3,,,
3,07165,5137,Special Kanban,VO6X0.5(Y),,65,50,3,,,
3,02KXV,5137,J1-21,VO8X0.5(B)-FALP,,45,100,3,,,
3,02KXV,5137,K1-01,VO8X0.5(B)-FALP,,120,100,3,,,
3,02KXV,5137,K1-15,VO8X0.5(B)-FALP,,165,100,3,,,
3,02KXV,5137,K2-01,VO8X0.5(B)-FALP,,310,100,3,,,
3,02HY5,5137,,VS30-NTFP,,30,500,3,,,
3,08159,5136,H5-31,HCOT13(GR),,90,100,3,,,
3,23270,5136,F4-02,HCOT5(GR),,45,100,3,,,
3,23270,5136,F4-05,HCOT5(GR),,70,100,3,,,
3,23270,5136,F4-27,HCOT5(GR),,375,100,3,,,
3,00354,5136,F5-17,HCOT7(GR),,30,100,3,,,
3,01LUR,5136,Special Kanban,NCOT10-FALP,,410,50,3,,,
3,01LUS,5136,I4-01,NCOT13-FALP,,50,100,3,,,
3,01LUT,5136,H3-15,NCOT5-FALP,,115,100,3,,,
3,01LUT,5136,H3-13,NCOT5-FALP,,130,100,3,,,
3,01LUT,5136,H2-22,NCOT5-FALP,,230,100,3,,,
3,01LUT,5136,Special Kanban,NCOT5-FALP,,610,50,3,,,
3,01LUT,5136,H5-17,NCOT5-FALP,,1390,100,3,,,
3,01MNP,5136,H1-13,NCOT7-FALP,,90,100,3,,,
3,01MNP,5136,H1-20,NCOT7-FALP,,120,100,3,,,
3,01MNP,5136,H1-19,NCOT7-FALP,,145,100,3,,,
3,01MNP,5136,H1-35,NCOT7-FALP,,240,100,3,,,
3,01MNP,5136,H1-34,NCOT7-FALP,,255,100,3,,,
3,02KXW,5136,K5-23,VO10X0.5(B)-FALP,,95,100,3,,,
3,02KXW,5136,K5-29,VO10X0.5(B)-FALP,,130,100,3,,,
3,02KXW,5136,L4-04,VO10X0.5(B)-FALP,WITH SLIT,155,100,3,,,
3,02KXX,5136,L3-20,VO12X0.5(B)-FALP,,130,100,3,,,
3,02KXU,5136,J3-19,VO6X0.5(B)-FALP,WITH SLIT,50,100,3,,,
3,02KXU,5136,J3-23,VO6X0.5(B)-FALP,WITH SLIT,70,100,3,,,
3,02KXU,5136,J5-22,VO6X0.5(B)-FALP,,100,100,3,,,
3,02KXU,5136,J3-39,VO6X0.5(B)-FALP,WITH SLIT,155,100,3,,,
3,02KXU,5136,J2-02,VO6X0.5(B)-FALP,WITH SLIT,180,100,3,,,
3,02KXU,5136,J2-05,VO6X0.5(B)-FALP,WITH SLIT,195,100,3,,,
3,02KXU,5136,J4-01,VO6X0.5(B)-FALP,,220,100,3,,,
3,02KXU,5136,J4-03,VO6X0.5(B)-FALP,,230,100,3,,,
3,02KXV,5136,J1-26,VO8X0.5(B)-FALP,,70,100,3,,,
3,02KXV,5136,K1-19,VO8X0.5(B)-FALP,,180,100,3,,,
3,02KXV,5136,K3-38,VO8X0.5(B)-FALP,WITH SLIT,200,100,3,,,
3,02KXV,5136,K1-36,VO8X0.5(B)-FALP,,275,100,3,,,
3,02KXV,5136,K1-40,VO8X0.5(B)-FALP,,305,100,3,,,
3,07290,5136,E3-26,VO8X0.5(Y),,45,100,3,,,
3,33964,5136,O1-46,HPES40X2.0,,70,100,3,,,
3,01LV5,5136,O4-50,VS70X0.3FP,,70,100,3,,,
3,02KXU,5134,J5-39,VO6X0.5(B)-FALP,,180,100,3,,,
3,02KXV,5134,K1-10,VO8X0.5(B)-FALP,,140,100,3,,,
3,02KXW,5133,L5-18,VO10X0.5(B)-FALP,WITH SLIT,70,100,3,,,
3,02KXW,5133,K5-26,VO10X0.5(B)-FALP,,110,100,3,,,
3,02KXY,5133,M5-11,VO14X0.5(B)-FALP,WITH SLIT,65,100,3,,,
3,02KXU,5133,J5-08,VO6X0.5(B)-FALP,,70,100,3,,,
3,02KXV,5133,J1-26,VO8X0.5(B)-FALP,,70,100,3,,,
3,02KXV,5133,K1-10,VO8X0.5(B)-FALP,,140,100,3,,,
3,02KXW,5133,L5-21,VO10X0.5(B)-FALP,WITH SLIT,80,100,3,,,
3,02KXW,5133,K5-26,VO10X0.5(B)-FALP,,110,100,3,,,
3,02KXU,5133,J5-08,VO6X0.5(B)-FALP,,70,100,3,,,
3,02KXV,5133,J1-26,VO8X0.5(B)-FALP,,70,100,3,,,
3,02KXV,5133,J1-30,VO8X0.5(B)-FALP,,90,100,3,,,
3,02KXV,5133,K1-21,VO8X0.5(B)-FALP,,190,100,3,,,
3,01LUT,5134,Special Kanban,NCOT5-FALP,,60,50,3,,,
3,01LUT,5134,H3-04,NCOT5-FALP,,75,100,3,,,
3,01LUT,5134,H3-15,NCOT5-FALP,,115,100,3,,,
3,01LUT,5134,H2-24,NCOT5-FALP,,135,100,3,,,
3,01MNP,5134,H1-32,NCOT7-FALP,,215,100,3,,,
3,01MNP,5134,H1-37,NCOT7-FALP,,280,100,3,,,
3,01MNP,5134,I1-05,NCOT7-FALP,,355,100,3,,,
3,01MNP,5134,I1-04,NCOT7-FALP,,400,100,3,,,
3,02KXU,5031,J3-19,VO6X0.5(B)-FALP,WITH SLIT,50,100,3,,,
3,02KXU,5031,J3-25,VO6X0.5(B)-FALP,WITH SLIT,80,100,3,,,
3,02KXU,5031,J2-05,VO6X0.5(B)-FALP,WITH SLIT,195,100,3,,,
