Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,02KXU,2111,J5-09,VO6X0.5(B)-FALP,,75,100,3
3,02KXU,2111,J5-26,VO6X0.5(B)-FALP,,120,100,6
3,02KXU,2111,J5-31,VO6X0.5(B)-FALP,,145,100,3
3,02KXU,2111,J5-36,VO6X0.5(B)-FALP,,170,100,3
3,02KXU,2111,J5-42,VO6X0.5(B)-FALP,,195,100,3
3,02KXU,2111,J4-04,VO6X0.5(B)-FALP,,235,100,3
3,02KXV,2111,K1-06,VO8X0.5(B)-FALP,,125,100,3
3,02KXV,2111,K1-09,VO8X0.5(B)-FALP,,200,100,3
3,02KXV,2111,K1-23,VO8X0.5(B)-FALP,,210,100,3
3,02KXX,2111,L3-12,VO12X0.5(B)-FALP,,90,100,3
3,02KXX,2111,L3-18,VO12X0.5(B)-FALP,,120,100,2
3,02KXX,2111,L3-22,VO12X0.5(B)-FALP,,145,100,3
3,02KXW,2111,K5-22,VO10X0.5(B)-FALP,,90,100,2
3,02KXW,2111,K5-28,VO10X0.5(B)-FALP,,125,100,3
3,08877,2111,O2-48,VS100,,130,100,3
3,08878,2111,O1-05,VS70,,85,100,3
0,17539,2122,Temp. Location,VS50,,185,100,5
