Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,00343,7109,D4-09,NCOT10,,50,100,2
3,00343,7110,D4-09,NCOT10,,50,100,2
3,07410,7109,G3-22,VO12X0.5(B),With Slit,600,100,2
3,07410,7110,G3-22,VO12X0.5(B),With Slit,600,100,2
3,07495,7109,G2-31,VO18X0.6(B),With Slit,165,100,2
3,07495,7110,G2-32,VO18X0.6(B),With Slit,165,100,2
3,07161,7109,G6-52,VO6X0.5(B),With Slit,165,100,2
3,07161,7110,G6-52,VO6X0.5(B),With Slit,165,100,2
3,07161,7110,G5-51,VO6X0.5(B),,320,100,2
3,07161,7109,G5-51,VO6X0.5(B),,320,100,2
3,07291,7110,G5-46,VO8X0.5(B),,260,100,2
3,07291,7109,G5-46,VO8X0.5(B),,260,100,2
,,,,,,,,
