Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFQ,1004,E1-15,RCOT7-FALP,,170,100,2
3,02KXY,1004,M5-28,VO14X0.5(B)-FALP,WITH SLIT,165,100,2
0,07776,1004,Temp. Location,POX8X0.4(GR),WITH SLIT,310,100,2
0,02KXX,1004,Temp. Location,VO12X0.5(B)-FALP,,285,100,2
3,02KY0,1004,M3-20,VO16X0.6(B)-FALP,WITH SLIT,165,100,2
3,02KXU,1005,J2-10,VO6X0.5(B)-FALP,WITH SLIT,220,100,2
3,02KXV,1005,K1-01,VO8X0.5(B)-FALP,,100,100,2
3,02KXV,1005,K1-08,VO8X0.5(B)-FALP,,135,100,2
3,02KXY,1005,M6-10,VO14X0.5(B)-FALP,,135,100,2
3,02KXU,1006,J2-27,VO6X0.5(B)-FALP,WITH SLIT,380,100,2
3,02KXV,1006,K3-04,VO8X0.5(B)-FALP,WITH SLIT,460,100,2
3,02KXY,1006,M5-27,VO14X0.5(B)-FALP,WITH SLIT,160,100,2
3,02KY0,1006,M3-13,VO16X0.6(B)-FALP,WITH SLIT,110,100,2
3,07780,1006,E4-12,POX14X0.4(GR),WITH SLIT,60,100,2
0,08146,1006,Temp. Location,HCOT10(GR),,70,100,2
3,23270,1006,F4-19,HCOT5(GR),,215,100,2
3,26189,1006,E3-24,POX12X0.4(GR),WITH SLIT,145,100,2
3,02KXW,1006,L4-26,VO10X0.5(B)-FALP,WITH SLIT,460,100,2
3,02KXU,1007,J5-25,VO6X0.5(B)-FALP,,115,100,2
3,02KXU,1007,J5-30,VO6X0.5(B)-FALP,,140,100,2
3,02KXU,1007,J2-17,VO6X0.5(B)-FALP,WITH SLIT,275,100,2
3,02KXV,1007,K1-18,VO8X0.5(B)-FALP,,205,100,2
3,02KXV,1007,K1-30,VO8X0.5(B)-FALP,,245,100,2
0,02KXW,1007,Temp. Location,VO10X0.5(B)-FALP,,115,100,2
3,02KXU,1007,J3-34,VO6X0.5(B)-FALP,WITH SLIT,130,100,2
3,02KXY,1007,M5-18,VO14X0.5(B)-FALP,WITH SLIT,95,100,2
3,02KXU,1007,J3-29,VO6X0.5(B)-FALP,WITH SLIT,100,100,2
3,02KXV,1007,K3-13,VO8X0.5(B)-FALP,WITH SLIT,75,100,2
0,02KXV,1007,Temp. Location,VO8X0.5(B)-FALP,WITH SLIT,45,100,2
3,02KXU,1007,J2-09,VO6X0.5(B)-FALP,WITH SLIT,215,100,2
3,02KXU,1008,J3-05,VO6X0.5(B)-FALP,WITH SLIT,435,100,2
3,02KXY,1008,M4-12,VO14X0.5(B)-FALP,WITH SLIT,290,100,2
3,02KXV,1008,J1-21,VO8X0.5(B)-FALP,,45,100,2
3,02KXU,1033,J3-35,VO6X0.5(B)-FALP,WITH SLIT,135,100,2
3,02KXU,1101,J2-05,VO6X0.5(B)-FALP,WITH SLIT,195,100,2
3,02KXV,1101,K3-19,VO8X0.5(B)-FALP,WITH SLIT,110,100,2
3,02KXV,1101,K3-20,VO8X0.5(B)-FALP,WITH SLIT,115,100,2
3,02KXW,1101,L5-24,VO10X0.5(B)-FALP,WITH SLIT,95,100,2
3,02KXX,1101,L2-25,VO12X0.5(B)-FALP,WITH SLIT,160,100,2
3,02KYC,1101,N5-04,VO22X1(B)-FALP,WITH SLIT,150,100,2
3,38914,1101,E2-11,VO6X0.5(Y)WKPH,,170,100,2
3,02KY0,1101,M3-14,VO16X0.6(B)-FALP,WITH SLIT,120,100,2
3,01PFH,1102,A2-29,RCOT10-FALP,,190,100,2
0,01PFJ,1102,Temp. Location,RCOT15-FALP,,260,100,2
3,01PFJ,1102,B5-22,RCOT15-FALP,,320,100,2
3,01S69,1102,C5-07,RCOT5-NC-FALP,,130,100,2
3,02KXU,1102,J5-39,VO6X0.5(B)-FALP,,180,100,2
3,02KXV,1102,K1-31,VO8X0.5(B)-FALP,,250,100,2
3,02KY0,1102,M3-12,VO16X0.6(B)-FALP,WITH SLIT,105,100,2
3,01PFL,1103,D1-14,RCOT22-FALP,,195,50,2
3,01PFL,1103,D1-15,RCOT22-FALP,,490,50,2
3,02KXU,1103,J5-44,VO6X0.5(B)-FALP,,210,100,2
3,02KXU,1103,J5-45,VO6X0.5(B)-FALP,,215,100,2
3,02KXV,1103,K3-16,VO8X0.5(B)-FALP,WITH SLIT,90,100,2
3,02KXV,1103,K3-33,VO8X0.5(B)-FALP,WITH SLIT,180,100,2
3,02KXW,1103,L5-19,VO10X0.5(B)-FALP,WITH SLIT,75,100,2
3,02KXW,1103,L4-03,VO10X0.5(B)-FALP,WITH SLIT,145,100,2
3,02KXX,1103,L2-26,VO12X0.5(B)-FALP,WITH SLIT,165,100,2
3,02KY1,1103,M1-12,VO18X0.6(B)-FALP,WITH SLIT,125,100,2
3,02KY1,1103,M1-16,VO18X0.6(B)-FALP,WITH SLIT,200,100,2
3,02KY2,1103,N2-10,VO20X0.6(B)-FALP,WITH SLIT,135,100,2
0,02KYC,1103,Temp. Location,VO22X1(B)-FALP,WITH SLIT,240,50,2
3,02KYD,1103,N3-06,VO24X1(B)-FALP,WITH SLIT,80,100,2
3,02KXU,1112,J3-22,VO6X0.5(B)-FALP,WITH SLIT,65,100,2
3,02KXX,1114,L2-09,VO12X0.5(B)-FALP,WITH SLIT,60,100,2
3,02KXX,1114,L3-08,VO12X0.5(B)-FALP,,60,100,2
0,07773,1115,Temp. Location,POX6X0.35(GR),,125,100,2
